id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
me02-001,001,Myrapla,50,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-002,002,Duflor,70,Pflanze,,Rang 1,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-003,003,Giflor,150,Pflanze,,Rang 2,Selten,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-004,004,Mega-Skaraborn-ex,280,Pflanze,,Basis,Doppelselten,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-005,005,Loturzel,70,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-006,006,Lombrero,90,Pflanze,,Rang 1,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-007,007,Kappalores,160,Pflanze,,Rang 2,Ungewöhnlich,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-008,008,Genesect,120,Pflanze,,Basis,Selten,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-009,009,Micrick,50,Pflanze,,Basis,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-010,010,Lextremo,120,Pflanze,,Rang 1,Ungewöhnlich,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-011,011,Glumanda,80,Feuer,,Basis,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-012,012,Glutexo,110,Feuer,,Rang 1,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-013,013,Mega-Glurak X-ex,360,Feuer,,Rang 2,Doppelselten,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-014,014,Lavados,120,Feuer,,Basis,Selten,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-015,015,Flampion,80,Feuer,,Basis,Häufig,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
me02-016,016,Flampivian,150,Feuer,,Rang 1,Ungewöhnlich,,"normal, reverse, holo",Fatale Flammen,Mega-Entwicklung,130
