id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
me02-001,001,Mystherbe,50,Plante,,De base,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-002,002,Ortide,70,Plante,,Niveau 1,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-003,003,Rafflesia,150,Plante,,Niveau 2,Rare,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-004,004,Méga-Scarhino-ex,280,Plante,,De base,Double rare,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-005,005,Nénupiot,70,Plante,,De base,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-006,006,Lombre,90,Plante,,Niveau 1,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-007,007,Ludicolo,160,Plante,,Niveau 2,Peu Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-008,008,Genesect,120,Plante,,De base,Rare,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-009,009,Lilliterelle,50,Plante,,De base,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-010,010,Gambex,120,Plante,,Niveau 1,Peu Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-011,011,Salamèche,80,Feu,,De base,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-012,012,Reptincel,110,Feu,,Niveau 1,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-013,013,Méga-Dracaufeu X-ex,360,Feu,,Niveau 2,Double rare,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-014,014,Sulfura,120,Feu,,De base,Rare,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-015,015,Darumarond,80,Feu,,De base,Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
me02-016,016,Darumacho,150,Feu,,Niveau 1,Peu Commune,,"normal, reverse, holo",Flammes Fantasmagoriques,Méga-Évolution,130
