id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy4-1,1,Bluzuk,60,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-2,2,Omot,90,Pflanze,Bluzuk,Rang 1,Selten,5ban Graphics,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-3,3,Yanma,70,Pflanze,,Basis,Häufig,Shin Nagasawa,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-4,4,Yanmega,110,Pflanze,Yanma,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-5,5,Strawickl,50,Pflanze,,Basis,Häufig,kawayoo,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-6,6,Folikon,70,Pflanze,Strawickl,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-7,7,Matrifol,130,Pflanze,Folikon,Rang 2,Selten,Atsuko Nishida,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-8,8,Laukaps,50,Pflanze,,Basis,Häufig,Sanosuke Sakuma,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-9,9,Dartignis,80,Feuer,Dartiri,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-10,10,Fiaro,130,Feuer,Dartignis,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-11,11,Leufeo,60,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-12,12,Pyroleo,110,Feuer,Leufeo,Rang 1,Selten,Naoki Saito,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-13,13,Krabby,70,Wasser,,Basis,Häufig,kirisAki,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-14,14,Kingler,100,Wasser,Krabby,Rang 1,Ungewöhnlich,match,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-15,15,Karnimani,60,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-16,16,Tyracroc,80,Wasser,Karnimani,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-17,17,Impergator,150,Wasser,Tyracroc,Rang 2,Selten,Shin Nagasawa,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-18,18,Finneon,50,Wasser,,Basis,Häufig,Shigenori Negishi,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-19,19,Lumineon,80,Wasser,Finneon,Rang 1,Ungewöhnlich,sui,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-20,20,Quabbel,70,Wasser,,Basis,Häufig,Kyoko Umemoto,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-21,21,Apoquallyp,100,Wasser,Quabbel,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-22,22,Mamolida,100,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-23,23,Voltenso EX,170,Elektro,,Basis,Ultra Selten,Eske Yoshinob,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-24a,24a,M Voltenso EX,210,Elektro,Voltenso-EX,MEGA,Selten,5ban Graphics,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-24,24,M Voltenso EX,210,Elektro,Voltenso-EX,MEGA,Ultra Selten,5ban Graphics,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-25,25,Pachirisu,70,Elektro,,Basis,Selten,Mizue,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-26,26,Wattzapf,30,Elektro,,Basis,Häufig,TOKIYA,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-27,27,Voltula,80,Elektro,Wattzapf,Rang 1,Selten,Masakazu Fukuda,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-28,28,Eguana,60,Elektro,,Basis,Häufig,HiRON,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-29,29,Eguana,50,Elektro,,Basis,Häufig,5ban Graphics,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-30,30,Elezard,90,Elektro,Eguana,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-31,31,Zubat,50,Psycho,,Basis,Häufig,match,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-32,32,Golbat,70,Psycho,Zubat,Rang 1,Ungewöhnlich,Kanako Eo,"normal, reverse, holo",Phantomkräfte,XY,124
xy4-33,33,Iksbat,130,Psycho,Golbat,Rang 2,Selten,Satoshi Shirai,"normal, reverse, holo",Phantomkräfte,XY,124
