id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw10-1,1,Surskit,50,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-2,2,Masquerain,80,Grass,Surskit,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-3,3,Lileep,80,Grass,,RESTORED,Uncommon,Suwama Chiaki,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-4,4,Cradily,120,Grass,Lileep,Stage1,Rare,kawayoo,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-5,5,Tropius,100,Grass,,Basic,Uncommon,Shigenori Negishi,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-6,6,Karrablast,60,Grass,,Basic,Common,match,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-7,7,Shelmet,60,Grass,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-8,8,Accelgor,80,Grass,Shelmet,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-9,9,Virizion-EX,170,Grass,,,Rare,Ryo Ueda,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-10,10,Genesect,100,Grass,,Basic,Rare,Masakazu Fukuda,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-11,11,Genesect-EX,170,Grass,,,Rare,Eske Yoshinob,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-12,12,Larvesta,70,Fire,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-13,13,Volcarona,100,Fire,Larvesta,Stage1,Rare,5ban Graphics,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-14,14,Squirtle,50,Water,,Basic,Common,Akira Komayama,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-15,15,Wartortle,80,Water,Squirtle,Stage1,Uncommon,Akira Komayama,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-16,16,Blastoise,140,Water,Wartortle,Stage2,Rare,Satoshi Shirai,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-17,17,Lapras,100,Water,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-18,18,Remoraid,60,Water,,Basic,Common,Masakazu Fukuda,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-19,19,Octillery,90,Water,Remoraid,Stage1,Uncommon,5ban Graphics,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-20,20,Suicune,100,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Plasma Blast,Black & White,105
bw10-21,21,Snorunt,60,Water,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Plasma Blast,Black & White,105
