id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw9-1,1,Aspicot,50,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-2,2,Coconfort,80,Plante,Aspicot,Niveau 1,Peu Commune,match,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-3,3,Dardargnan,120,Plante,Coconfort,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-4,4,Noeunoeuf,30,Plante,,De base,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-5,5,Noadkoko,100,Plante,Noeunoeuf,Niveau 1,Rare,match,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-6,6,Arcko,60,Plante,,De base,Commune,Naoki Saito,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-7,7,Massko,80,Plante,Arcko,Niveau 1,Peu Commune,Suwama Chiaki,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-8,8,Jungko,130,Plante,Massko,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-9,9,Cacnea,70,Plante,,De base,Commune,Midori Harada,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-10,10,Cacturne,90,Plante,Cacnea,Niveau 1,Rare,Suwama Chiaki,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-11,11,Phyllali,100,Plante,Évoli,Niveau 1,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-12,12,Pyroli,100,Feu,Évoli,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-13,13,Heatran-EX,180,Feu,,,Rare,Eske Yoshinob,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-14,14,Funécire,60,Feu,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-15,15,Mélancolux,80,Feu,Funécire,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-16,16,Lugulabre,130,Feu,Mélancolux,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-17,17,Reshiram,130,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-18,18,Hypotrempe,60,Eau,,De base,Commune,Midori Harada,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-19,19,Hypocéan,80,Eau,Hypotrempe,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-20,20,Aquali,110,Eau,Évoli,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-21,21,Axoloto,70,Eau,,De base,Commune,sui,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-22,22,Maraiste,100,Eau,Axoloto,Niveau 1,Rare,Atsuko Nishida,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-23,23,Givrali,90,Eau,Évoli,Niveau 1,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-24,24,Tritonde,60,Eau,,De base,Commune,MAHOU,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-25,25,Batracné,90,Eau,Tritonde,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-26,26,Crapustule,140,Eau,Batracné,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-27,27,Sorbébé,60,Eau,,De base,Commune,Akira Komayama,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-28,28,Sorboul,80,Eau,Sorbébé,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-29,29,Sorbouboul,130,Eau,Sorboul,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-30,30,Hexagel,80,Eau,,De base,Peu Commune,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-31,31,Kyurem,130,Eau,,De base,Rare,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-32,32,Voltorbe,60,Électrique,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-33,33,Électrode,90,Électrique,Voltorbe,Niveau 1,Rare,HiRON,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-34,34,Voltali,90,Électrique,Évoli,Niveau 1,Peu Commune,5ban Graphics,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-35,35,Loupio,70,Électrique,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
bw9-36,36,Lanturn,90,Électrique,Loupio,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Glaciation Plasma,Noir & Blanc,122
