id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw8-1,1,Chelast,70,Pflanze,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-2,2,Chelcarain,100,Pflanze,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-3,3,Chelterrar,150,Pflanze,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-4,4,Wadribie,30,Pflanze,,Basis,Häufig,Yukiko Baba,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-5,5,Honweisel,100,Pflanze,,Rang 1,Selten,Hajime Kusajima,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-6,6,Kikugi,40,Pflanze,,Basis,Häufig,sui,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-7,7,Kinoso,70,Pflanze,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-8,8,Strawickl,40,Pflanze,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-9,9,Folikon,80,Pflanze,,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-10,10,Matrifol,140,Pflanze,,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-11,11,Maracamba,90,Pflanze,,Basis,Ungewöhnlich,Shigenori Negishi,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-12,12,Tarnpignon,40,Pflanze,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-13,13,Hutsassa,90,Pflanze,,Rang 1,Ungewöhnlich,5ban Graphics,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-14,14,Lavados-EX,170,Feuer,,,Selten,Eske Yoshinob,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-15,15,Panflam,50,Feuer,,Basis,Häufig,sui,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-16,16,Panpyro,80,Feuer,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-17,17,Panferno,130,Feuer,,Rang 2,Selten,5ban Graphics,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-18,18,Victini-EX,110,Feuer,,,Selten,Eske Yoshinob,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-19,19,Grillmak,70,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-20,20,Grillchita,90,Feuer,,Rang 1,Ungewöhnlich,Naoki Saito,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-21,21,Lichtel,60,Feuer,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-22,22,Laternecto,70,Feuer,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-23,23,Furnifraß,90,Feuer,,Basis,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-24,24,Schiggy,60,Wasser,,Basis,Häufig,Naoki Saito,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-25,25,Arktos-EX,170,Wasser,,,Selten,Toyste Beach,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
bw8-26,26,Quiekel,60,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Plasma-Sturm,Schwarz & Weiß,138
