id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
bw8-1,1,Turtwig,70,Grass,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-2,2,Grotle,100,Grass,Turtwig,Stage1,Uncommon,Sumiyoshi Kizuki,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-3,3,Torterra,150,Grass,Grotle,Stage2,Rare,5ban Graphics,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-4,4,Combee,30,Grass,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-5,5,Vespiquen,100,Grass,Combee,Stage1,Rare,Hajime Kusajima,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-6,6,Cherubi,40,Grass,,Basic,Common,sui,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-7,7,Cherrim,70,Grass,Cherubi,Stage1,Rare,Kagemaru Himeno,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-8,8,Sewaddle,40,Grass,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-9,9,Swadloon,80,Grass,Sewaddle,Stage1,Uncommon,Kyoko Umemoto,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-10,10,Leavanny,140,Grass,Swadloon,Stage2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-11,11,Maractus,90,Grass,,Basic,Uncommon,Shigenori Negishi,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-12,12,Foongus,40,Grass,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-13,13,Amoonguss,90,Grass,Foongus,Stage1,Uncommon,5ban Graphics,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-14,14,Moltres-EX,170,Fire,,,Rare,Eske Yoshinob,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-15,15,Chimchar,50,Fire,,Basic,Common,sui,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-16,16,Monferno,80,Fire,Chimchar,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-17,17,Infernape,130,Fire,Monferno,Stage2,Rare,5ban Graphics,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-18,18,Victini-EX,110,Fire,,,Rare,Eske Yoshinob,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-19,19,Pansear,70,Fire,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Plasma Storm,Black & White,138
bw8-20,20,Simisear,90,Fire,Pansear,Stage1,Uncommon,Naoki Saito,"normal, reverse, holo",Plasma Storm,Black & White,138
