id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl1-1,1,Pharamp,130,Électrique,Lainergie,Niveau 2,Rare Holo,Atsuko Nishida,"reverse, holo",Platine,Platine,133
pl1-2,2,Tortank,130,Eau,Carabaffe,Niveau 2,Rare Holo,Kagemaru Himeno,"reverse, holo",Platine,Platine,133
pl1-3,3,Brasegali,130,Feu,Galifeu,Niveau 2,Rare Holo,Hajime Kusajima,"reverse, holo",Platine,Platine,133
pl1-4,4,Delcatty,90,Incolore,Skitty,Niveau 1,Rare Holo,Mitsuhiro Arita,"reverse, holo",Platine,Platine,133
pl1-5,5,Dialga,100,Métal,,De base,Rare Holo,Mitsuhiro Arita,"reverse, holo",Platine,Platine,133
pl1-6,6,Dialga,100,Métal,,De base,Rare Holo,Kouki Saitou,"reverse, holo",Platine,Platine,133
pl1-7,7,Dialga ,100,Métal,,De base,Rare Holo,Yusuke Ishikawa,"reverse, holo",Platine,Platine,133
pl1-8,8,Gardevoir,120,Psy,Kirlia,Niveau 2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Platine,Platine,133
pl1-9,9,Giratina,100,Psy,,De base,Rare Holo,Kouki Saitou,"reverse, holo",Platine,Platine,133
pl1-10,10,Giratina,100,Psy,,De base,Rare Holo,Hajime Kusajima,"reverse, holo",Platine,Platine,133
pl1-11,11,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Rare Holo,Kouki Saitou,"reverse, holo",Platine,Platine,133
pl1-12,12,Palkia ,100,Eau,,De base,Rare Holo,Yusuke Ishikawa,"reverse, holo",Platine,Platine,133
pl1-13,13,Charkos,130,Combat,Kranidos,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Platine,Platine,133
pl1-14,14,Shaymin,70,Plante,,De base,Rare Holo,Kagemaru Himeno,"reverse, holo",Platine,Platine,133
pl1-15,15,Shaymin,80,Plante,,De base,Rare Holo,Atsuko Nishida,"reverse, holo",Platine,Platine,133
pl1-16,16,Monaflemit,150,Incolore,Vigoroth,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Platine,Platine,133
pl1-17,17,Dimoret ,80,Obscurité,,De base,Rare Holo,Makoto Imai,"reverse, holo",Platine,Platine,133
pl1-18,18,Altaria,90,Incolore,Tylton,Niveau 1,Rare,Naoyo Kimura,"normal, reverse",Platine,Platine,133
pl1-19,19,Branette,90,Psy,Polychombr,Niveau 1,Rare,Tomokazu Komiya,"normal, reverse",Platine,Platine,133
pl1-20,20,Bastiodon,130,Métal,Dinoclier,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-21,21,Charmillon,120,Plante,Armulys,Niveau 2,Rare,Suwama Chiaki,"normal, reverse",Platine,Platine,133
pl1-22,22,Leuphorie,120,Incolore,Leveinard,Niveau 1,Rare,Atsuko Nishida,"normal, reverse",Platine,Platine,133
pl1-23,23,Dialga,100,Métal,,De base,Rare,Kent Kanetsuna,"normal, reverse",Platine,Platine,133
pl1-24,24,Triopikeur,90,Combat,Taupiqueur,Niveau 1,Rare,Sumiyoshi Kizuki,"normal, reverse",Platine,Platine,133
pl1-25,25,Papinox,130,Psy,Blindalys,Niveau 2,Rare,Yukiko Baba,"normal, reverse",Platine,Platine,133
pl1-26,26,Pingoléon,130,Eau,Prinplouf,Niveau 2,Rare,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-27,27,Giratina,100,Psy,,De base,Rare,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-28,28,Giratina,110,Psy,,De base,Rare,Yusuke Ishikawa,"normal, reverse, holo",Platine,Platine,133
pl1-29,29,Akwakwak,90,Eau,Psykokwak,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-30,30,Leviator ,110,Eau,,De base,Rare,Kent Kanetsuna,"normal, reverse",Platine,Platine,133
pl1-31,31,Simiabraz,110,Feu,Chimpenfeu,Niveau 2,Rare,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-32,32,Mélokrik,90,Plante,Crikzik,Niveau 1,Rare,Atsuko Nishida,"normal, reverse",Platine,Platine,133
pl1-33,33,Coudlangue,120,Incolore,Excelangue,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-34,34,Ludicolo,120,Plante,Lombre,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-35,35,Lovdisc,70,Eau,,De base,Rare,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-36,36,Feunard,90,Feu,Goupix,Niveau 1,Rare,Suwama Chiaki,"normal, reverse",Platine,Platine,133
pl1-37,37,Palkia,100,Eau,,De base,Rare,Kent Kanetsuna,"normal, reverse",Platine,Platine,133
pl1-38,38,Shaymin,80,Plante,,De base,Rare,Kouki Saitou,"normal, reverse, holo",Platine,Platine,133
pl1-39,39,Torterra,140,Plante,Boskara,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-40,40,Coatox ,90,Psy,,De base,Rare,Ryota Saito,"normal, reverse",Platine,Platine,133
pl1-41,41,Archéodong ,90,Métal,,De base,Peu Commune,Makoto Imai,"normal, reverse",Platine,Platine,133
pl1-42,42,Cacturne,90,Plante,Cacnea,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-43,43,Vortente,80,Plante,,De base,Peu Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-44,44,Blindalys,80,Plante,Chenipotte,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse",Platine,Platine,133
pl1-45,45,Galifeu,80,Feu,Poussifeu,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse",Platine,Platine,133
pl1-46,46,Kranidos,80,Combat,Fossile crâne,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-47,47,Nostenfert ,80,Psy,,De base,Peu Commune,Makoto Imai,"normal, reverse",Platine,Platine,133
pl1-48,48,Lainergie,80,Électrique,Wattouat,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Platine,Platine,133
pl1-49,49,Boskara,90,Plante,Tortipouss,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-50,50,Demolosse ,90,Feu,,De base,Peu Commune,Kent Kanetsuna,"normal, reverse",Platine,Platine,133
pl1-51,51,Kirlia,80,Psy,Tarsal,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse",Platine,Platine,133
pl1-52,52,Lombre,80,Plante,Nénupiot,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Platine,Platine,133
pl1-53,53,Lucario,90,Métal,Riolu,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-54,54,Grahyena,90,Obscurité,Medhyena,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-55,55,Magirêve,90,Psy,Feuforêve,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-56,56,Chimpenfeu,80,Feu,Ouisticram,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-57,57,Grotadmorv,100,Psy,Tadmorv,Niveau 1,Peu Commune,Hajime Kusajima,"normal, reverse",Platine,Platine,133
pl1-58,58,Octillery,90,Eau,Remoraid,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Platine,Platine,133
pl1-59,59,Prinplouf,80,Eau,Tiplouf,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-60,60,Tarinorme,90,Combat,Tarinor,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-61,61,Seviper,80,Psy,,De base,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Platine,Platine,133
pl1-62,62,Dinoclier,80,Métal,Fossile armure,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-63,63,Armulys,80,Plante,Chenipotte,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse",Platine,Platine,133
pl1-64,64,Vigoroth,80,Incolore,Parecool,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-65,65,Carabaffe,80,Eau,Carapuce,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",Platine,Platine,133
pl1-66,66,Mangriff,80,Incolore,,De base,Peu Commune,Hajime Kusajima,"normal, reverse",Platine,Platine,133
pl1-67,67,Cacnea,50,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse",Platine,Platine,133
pl1-68,68,Vortente,80,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-69,69,Leveinard,90,Incolore,,De base,Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-70,70,Ouisticram,50,Feu,,De base,Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-71,71,Apitrini,60,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-72,72,Taupiqueur,50,Combat,,De base,Commune,Midori Harada,"normal, reverse",Platine,Platine,133
pl1-73,73,Insolourdo,60,Incolore,,De base,Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-74,74,Dynavolt,50,Électrique,,De base,Commune,Miki Tanaka,"normal, reverse",Platine,Platine,133
pl1-75,75,Tadmorv,60,Psy,,De base,Commune,Yukiko Baba,"normal, reverse",Platine,Platine,133
pl1-76,76,Ptiravi,60,Incolore,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-77,77,Corboss ,80,Obscurité,,De base,Commune,Yusuke Ishikawa,"normal, reverse",Platine,Platine,133
pl1-78,78,Crikzik,60,Plante,,De base,Commune,Kyoko Umemoto,"normal, reverse",Platine,Platine,133
pl1-79,79,Lokhlass,80,Eau,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-80,80,Excelangue,90,Incolore,,De base,Commune,Yuka Morii,"normal, reverse",Platine,Platine,133
pl1-81,81,Nénupiot,50,Plante,,De base,Commune,Masakazu Fukuda,"normal, reverse",Platine,Platine,133
pl1-82,82,Wattouat,60,Électrique,,De base,Commune,Yuka Morii,"normal, reverse",Platine,Platine,133
pl1-83,83,Feuforêve,50,Psy,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-84,84,Tarinor,60,Combat,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-85,85,Tiplouf,60,Eau,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-86,86,Medhyena,50,Obscurité,,De base,Commune,Tomokazu Komiya,"normal, reverse",Platine,Platine,133
pl1-87,87,Psykokwak,60,Eau,,De base,Commune,Tomokazu Komiya,"normal, reverse",Platine,Platine,133
pl1-88,88,Chaffreux ,90,Incolore,,De base,Commune,Ryota Saito,"normal, reverse",Platine,Platine,133
pl1-89,89,Tarsal,60,Psy,,De base,Commune,Miki Tanaka,"normal, reverse",Platine,Platine,133
pl1-90,90,Remoraid,60,Eau,,De base,Commune,Miki Tanaka,"normal, reverse",Platine,Platine,133
pl1-91,91,Riolu,60,Combat,,De base,Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-92,92,Polychombr,50,Psy,,De base,Commune,Kyoko Umemoto,"normal, reverse",Platine,Platine,133
pl1-93,93,Skitty,60,Incolore,,De base,Commune,Masakazu Fukuda,"normal, reverse",Platine,Platine,133
pl1-94,94,Moufflair ,80,Psy,,De base,Commune,Makoto Imai,"normal, reverse",Platine,Platine,133
pl1-95,95,Parecool,50,Incolore,,De base,Commune,Atsuko Nishida,"normal, reverse",Platine,Platine,133
pl1-96,96,Carapuce,60,Eau,,De base,Commune,Masakazu Fukuda,"normal, reverse",Platine,Platine,133
pl1-97,97,Tylton,40,Incolore,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-98,98,Tauros,70,Incolore,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-99,99,Poussifeu,60,Feu,,De base,Commune,Naoyo Kimura,"normal, reverse",Platine,Platine,133
pl1-100,100,Chartor,80,Feu,,De base,Commune,Kouki Saitou,"normal, reverse",Platine,Platine,133
pl1-101,101,Tortipouss,60,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Platine,Platine,133
pl1-102,102,Goupix,50,Feu,,De base,Commune,Mitsuhiro Arita,"normal, reverse",Platine,Platine,133
pl1-103,103,Chenipotte,50,Plante,,De base,Commune,Yuka Morii,"normal, reverse",Platine,Platine,133
pl1-104,104,Espace-Temps brisé,,,,,Peu Commune,Kent Kanetsuna,"normal, reverse",Platine,Platine,133
pl1-105,105,Le complot d'Hélio,,,,,Peu Commune,Ken Sugimori,"normal, reverse",Platine,Platine,133
pl1-106,106,QG Galaxie,,,,,Peu Commune,Ryota Saito,"normal, reverse",Platine,Platine,133
pl1-107,107,Niveau Max,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-108,108,Herbe sauveuse,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-109,109,L'enquête de Beladonis,,,,,Peu Commune,Ken Sugimori,"normal, reverse",Platine,Platine,133
pl1-110,110,Baie de mémoire,,,,,Peu Commune,Shizurow,"normal, reverse",Platine,Platine,133
pl1-111,111,Vallée miasme,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-112,112,PlusPower,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-113,113,Poké Ball,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-114,114,Pokédex HANDY910is,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
pl1-115,115,Rescousse Pokémon,,,,,Peu Commune,Ryo Ueda,"normal, reverse",Platine,Platine,133
