id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh10.5-001,001,Bulbizarre,70,Plante,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-002,002,Herbizarre,100,Plante,Bulbizarre,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-003,003,Florizarre,180,Plante,Herbizarre,Niveau 2,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-004,004,Florizarre Radieux,150,Plante,,De base,Radieux Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-005,005,Noadkoko d'Alola V,240,Plante,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-006,006,Mimigal,60,Plante,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-007,007,Migalos,110,Plante,Mimigal,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-008,008,Salamèche,60,Feu,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-009,009,Reptincel,90,Feu,Salamèche,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-010,010,Dracaufeu,170,Feu,Reptincel,Niveau 2,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-011,011,Dracaufeu Radieux,160,Feu,,De base,Radieux Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-012,012,Sulfura,120,Feu,,De base,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-013,013,Chamallot,80,Feu,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-014,014,Camérupt,140,Feu,Chamallot,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-015,015,Carapuce,70,Eau,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-016,016,Carabaffe,90,Eau,Carapuce,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-017,017,Tortank,170,Eau,Carabaffe,Niveau 2,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-018,018,Tortank Radieux,150,Eau,,De base,Radieux Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-019,019,Ramoloss,70,Eau,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-020,020,Flagadoss,120,Eau,Ramoloss,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-021,021,Magicarpe,30,Eau,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-022,022,Léviator,170,Eau,Magicarpe,Niveau 1,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-023,023,Lokhlass,120,Eau,,De base,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-024,024,Artikodin,120,Eau,,De base,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-025,025,Sovkipou,70,Eau,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-026,026,Sarmuraï,130,Eau,Sovkipou,Niveau 1,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-027,027,Pikachu,60,Électrique,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-028,028,Pikachu,70,Électrique,,De base,Holo Rare,,"normal, reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-029,029,Électhor,120,Électrique,,De base,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-030,030,Mewtwo V,220,Psy,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-031,031,Mewtwo VSTAR,280,Psy,Mewtwo-V,VSTAR,Holo Rare VMAX,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-032,032,Natu,50,Psy,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-033,033,Xatu,110,Psy,Natu,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-034,034,Séléroc,90,Psy,,De base,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-035,035,Nymphali,120,Psy,Évoli,Niveau 1,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-036,036,Onix,120,Combat,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-037,037,Embrylex,60,Combat,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-038,038,Ymphect,90,Combat,Embrylex,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-039,039,Solaroc,90,Combat,,De base,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-040,040,Bétochef V,230,Combat,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-041,041,Rattata d'Alola,40,Obscurité,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-042,042,Rattatac d'Alola,120,Obscurité,Rattata d'Alola,Niveau 1,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-043,043,Tyranocif,180,Obscurité,Ymphect,Niveau 2,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-044,044,Steelix,180,Métal,Onix,Niveau 1,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-045,045,Meltan,70,Métal,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-046,046,Melmetal,160,Métal,Meltan,Niveau 1,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-047,047,Melmetal V,220,Métal,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-048,048,Melmetal VMAX,330,Métal,Melmetal-V,ESCOUADE,Holo Rare VMAX,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-049,049,Dracolosse V,230,Dragon,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-050,050,Dracolosse VSTAR,280,Dragon,Dracolosse-V,VSTAR,Holo Rare VSTAR,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-051,051,Leveinard,130,Incolore,,De base,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-052,052,Leuphorie,200,Incolore,Leveinard,Niveau 1,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-053,053,Métamorph,70,Incolore,,De base,Holo Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-054,054,Évoli,60,Incolore,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-055,055,Ronflex,150,Incolore,,De base,Holo Rare,,"reverse, holo",Pokémon GO,Épée et Bouclier,88
swsh10.5-056,056,Capumain,60,Incolore,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-057,057,Capidextre,90,Incolore,Capumain,Niveau 1,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-058,058,Monaflèmit V,230,Incolore,,De base,Holo Rare V,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-059,059,Keunotor,70,Incolore,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-060,060,Castorno,110,Incolore,Keunotor,Niveau 1,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-061,061,Poichigeon,60,Incolore,,De base,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-062,062,Colombeau,80,Incolore,Poichigeon,Niveau 1,Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-063,063,Déflaisan,140,Incolore,Colombeau,Niveau 2,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-064,064,Capitaine d'équipe Blanche,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-065,065,Capitaine d'équipe Candela,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-066,066,Incubateur d'Œufs,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-067,067,Module Leurre,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-068,068,PokéStop,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-069,069,Super Bonbon,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-070,070,Capitaine d'équipe Spark,,,,,Peu Commune,,"normal, reverse",Pokémon GO,Épée et Bouclier,88
swsh10.5-071,071,Noadkoko d'Alola V,240,Plante,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-072,072,Mewtwo V,220,Psy,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-073,073,Bétochef V,230,Combat,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-074,074,Bétochef V,230,Combat,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-075,075,Melmetal V,220,Métal,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-076,076,Dracolosse V,230,Dragon,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-077,077,Monaflèmit V,230,Incolore,,De base,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-078,078,Recherches Professorales,,,,,Ultra Rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-079,079,Mewtwo VSTAR,280,Psy,Mewtwo-V,VSTAR,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-080,080,Melmetal VMAX,330,Métal,Melmetal-V,ESCOUADE,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-081,081,Dracolosse VSTAR,280,Dragon,Dracolosse-V,VSTAR,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-082,082,Capitaine d'équipe Blanche,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-083,083,Capitaine d'équipe Candela,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-084,084,Recherches Professorales,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-085,085,Capitaine d'équipe Spark,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-086,086,Mewtwo VSTAR,280,Psy,Mewtwo-V,VSTAR,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-087,087,Incubateur d'Œufs,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
swsh10.5-088,088,Module Leurre,,,,,Magnifique rare,,holo,Pokémon GO,Épée et Bouclier,88
