id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex16-1,1,Galeking,110,Métal,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-2,2,Altaria,80,Incolore,,Niveau 1,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-3,3,Armaldo,120,Combat,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-4,4,Branette,70,Psy,,Niveau 1,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-5,5,Brasegali,100,Feu,,Niveau 2,Rare,Masakazu Fukuda,holo,EX Gardiens du Pouvoir,EX,108
ex16-6,6,Dracaufeu,120,Feu,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-7,7,Vacilys,110,Plante,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-8,8,Delcatty,70,Incolore,,Niveau 1,Rare,Masakazu Fukuda,"normal, holo",EX Gardiens du Pouvoir,EX,108
ex16-9,9,Gardevoir,100,Psy,,Niveau 2,Rare,Midori Harada,"normal, holo",EX Gardiens du Pouvoir,EX,108
ex16-10,10,Kabutops,110,Combat,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-11,11,Mackogneur,120,Combat,,Niveau 2,Rare,Ken Sugimori,holo,EX Gardiens du Pouvoir,EX,108
ex16-12,12,Raichu,70,Électrique,,Niveau 1,Rare,Hajime Kusajima,holo,EX Gardiens du Pouvoir,EX,108
ex16-13,13,Monaflemit,120,Incolore,,Niveau 2,Rare,Midori Harada,holo,EX Gardiens du Pouvoir,EX,108
ex16-14,14,Teraclope,80,Psy,,Niveau 1,Rare,Ken Sugimori,"normal, holo",EX Gardiens du Pouvoir,EX,108
ex16-15,15,Lanturn,80,Électrique,,Niveau 1,Rare,Midori Harada,normal,EX Gardiens du Pouvoir,EX,108
ex16-16,16,Magneton,70,Électrique,,Niveau 1,Rare,Masakazu Fukuda,normal,EX Gardiens du Pouvoir,EX,108
