id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv08.5-001,001,Owei,60,Pflanze,,Basis,Häufig,Iori Suzuki,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-002,002,Kokowei,140,Pflanze,Owei,Rang 1,Ungewöhnlich,Dsuke,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-003,003,Pinsir,120,Pflanze,,Basis,Häufig,Uninori,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-004,004,Knospi,30,Pflanze,,Basis,Häufig,Yoriyuki Ikegami,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-005,005,Folipurba,120,Pflanze,Evoli,Rang 1,Selten,Kuroimori,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-006,006,Folipurba-ex,270,Pflanze,Evoli,Rang 1,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-007,007,Waumboll,60,Pflanze,,Basis,Häufig,Kyoko Umemoto,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-008,008,Elfun,100,Pflanze,Waumboll,Rang 1,Selten,Mizue,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-009,009,Knapfel,40,Pflanze,,Basis,Häufig,Yoriyuki Ikegami,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-010,010,Sirapfel,80,Pflanze,Knapfel,Rang 1,Ungewöhnlich,Saboteri,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-011,011,Hydrapfel-ex,330,Pflanze,Sirapfel,Rang 2,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-012,012,Türkisgrüne-Maske-Ogerpon-ex,210,Pflanze,,Basis,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-013,013,Flamara,130,Feuer,Evoli,Rang 1,Selten,Ryota Murayama,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-014,014,Flamara-ex,270,Feuer,Evoli,Rang 1,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-015,015,Leufeo,70,Feuer,,Basis,Häufig,Whisker,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-016,016,Pyroleo,120,Feuer,Leufeo,Rang 1,Ungewöhnlich,Takeshi Nakamura,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-017,017,Ofenmaske-Ogerpon-ex,210,Feuer,,Basis,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-018,018,Flegmon,70,Wasser,,Basis,Häufig,Natsumi Yoshida,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-019,019,Laschoking,130,Wasser,Flegmon,Rang 1,Ungewöhnlich,Oswaldo KATO,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-020,020,Goldini,50,Wasser,,Basis,Häufig,saino misaki,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-021,021,Golking,110,Wasser,Goldini,Rang 1,Ungewöhnlich,Nelnal,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-022,022,Aquana,130,Wasser,Evoli,Rang 1,Selten,kirisAki,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-023,023,Aquana-ex,280,Wasser,Evoli,Rang 1,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-024,024,Suicune,120,Wasser,,Basis,Ungewöhnlich,Kuroimori,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-025,025,Glaziola,120,Wasser,Evoli,Rang 1,Selten,rika,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-026,026,Glaziola-ex,270,Wasser,Evoli,Rang 1,Doppelselten,aky CG Works,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-027,027,Brunnenmaske-Ogerpon-ex,210,Wasser,,Basis,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-028,028,Pikachu-ex,190,Elektro,,Basis,Doppelselten,N-DESIGN Inc.,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-029,029,Blitza,110,Elektro,Evoli,Rang 1,Selten,sui,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-030,030,Blitza-ex,260,Elektro,Evoli,Rang 1,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-031,031,Eisenhand-ex,230,Elektro,,Basis,Doppelselten,PLANETA Mochizuki,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-032,032,Eisendorn-ex,230,Elektro,,Basis,Doppelselten,PLANETA Mochizuki,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-033,033,Psiana,110,Psycho,Evoli,Rang 1,Selten,Kariya,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-034,034,Psiana-ex,270,Psycho,Evoli,Rang 1,Doppelselten,5ban Graphics,"reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-035,035,Zwirrlicht,60,Psycho,,Basis,Häufig,IKEDA Saki,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
sv08.5-036,036,Zwirrklop,90,Psycho,Zwirrlicht,Rang 1,Häufig,Aya Kusube,"normal, reverse, holo",Prismatische Entwicklungen,Karmesin & Purpur,180
