id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv08.5-001,001,Exeggcute,60,Grass,,Basic,Common,Iori Suzuki,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-002,002,Exeggutor,140,Grass,Exeggcute,Stage1,Uncommon,Dsuke,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-003,003,Pinsir,120,Grass,,Basic,Common,Uninori,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-004,004,Budew,30,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-005,005,Leafeon,120,Grass,Eevee,Stage1,Rare,Kuroimori,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-006,006,Leafeon ex,270,Grass,Eevee,Stage1,Double rare,5ban Graphics,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-007,007,Cottonee,60,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-008,008,Whimsicott,100,Grass,Cottonee,Stage1,Rare,Mizue,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-009,009,Applin,40,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-010,010,Dipplin,80,Grass,Applin,Stage1,Uncommon,Saboteri,"normal, reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-011,011,Hydrapple ex,330,Grass,Dipplin,Stage2,Double rare,5ban Graphics,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-012,012,Teal Mask Ogerpon ex,210,Grass,,Basic,Double rare,5ban Graphics,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
sv08.5-013,013,Flareon,130,Fire,Eevee,Stage1,Rare,Ryota Murayama,"reverse, holo",Prismatic Evolutions,Scarlet & Violet,180
