id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh2-1,1,Raupy,50,Pflanze,,Basis,Häufig,Uta,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-2,2,Safcon,80,Pflanze,Raupy,Rang 1,Ungewöhnlich,Asako Ito,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-3,3,Smettbo,140,Pflanze,Safcon,Rang 2,Selten,Taira Akitsu,"normal, reverse, holo",Clash der Rebellen,Schwert & Schild,209
swsh2-4,4,Sichlor,80,Pflanze,,Basis,Häufig,KEIICHIRO ITO,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-5,5,Pottrott,80,Pflanze,,Basis,Ungewöhnlich,HYOGONOSUKE,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-6,6,Skaraborn,130,Pflanze,,Basis,Ungewöhnlich,otumami,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-7,7,Loturzel,60,Pflanze,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-8,8,Lombrero,90,Pflanze,Loturzel,Rang 1,Ungewöhnlich,Miki Tanaka,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-9,9,Kappalores,160,Pflanze,Lombrero,Rang 2,Selten,Masakazu Fukuda,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-10,10,Gehweiher,50,Pflanze,,Basis,Häufig,Masakazu Fukuda,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-11,11,Maskeregen,90,Pflanze,Gehweiher,Rang 1,Ungewöhnlich,chibi,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-12,12,Shnebedeck,90,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-13,13,Rexblisar,140,Pflanze,Shnebedeck,Rang 1,Selten,Kazuma Koda,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-14,14,Paragoni,60,Pflanze,,Basis,Häufig,sui,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-15,15,Trombork,130,Pflanze,Paragoni,Rang 1,Selten,kawayoo,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-16,16,Mabula,60,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-17,17,Gortrom V,220,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Clash der Rebellen,Schwert & Schild,209
swsh2-18,18,Gortrom VMAX,330,Pflanze,Gortrom-V,VMAX,Holografisch Selten VMAX,5ban Graphics,holo,Clash der Rebellen,Schwert & Schild,209
swsh2-19,19,Cottomi V,180,Pflanze,,Basis,Holografisch Selten V,5ban Graphics,holo,Clash der Rebellen,Schwert & Schild,209
swsh2-20,20,Knapfel,40,Pflanze,,Basis,Häufig,Mizue,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-21,21,Knapfel,40,Pflanze,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Clash der Rebellen,Schwert & Schild,209
swsh2-22,22,Drapfel,80,Pflanze,Knapfel,Rang 1,Holografisch Selten,Shin Nagasawa,"reverse, holo",Clash der Rebellen,Schwert & Schild,209
