id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh2-1,1,Caterpie,50,Grass,,Basic,Common,Uta,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-2,2,Metapod,80,Grass,Caterpie,Stage1,Uncommon,Asako Ito,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-3,3,Butterfree,140,Grass,Metapod,Stage2,Rare,Taira Akitsu,"normal, reverse, holo",Rebel Clash,Sword & Shield,209
swsh2-4,4,Scyther,80,Grass,,Basic,Common,KEIICHIRO ITO,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-5,5,Shuckle,80,Grass,,Basic,Uncommon,HYOGONOSUKE,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-6,6,Heracross,130,Grass,,Basic,Uncommon,otumami,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-7,7,Lotad,60,Grass,,Basic,Common,Sumiyoshi Kizuki,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-8,8,Lombre,90,Grass,Lotad,Stage1,Uncommon,Miki Tanaka,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-9,9,Ludicolo,160,Grass,Lombre,Stage2,Rare,Masakazu Fukuda,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-10,10,Surskit,50,Grass,,Basic,Common,Masakazu Fukuda,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-11,11,Masquerain,90,Grass,Surskit,Stage1,Uncommon,chibi,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-12,12,Snover,90,Grass,,Basic,Common,Shibuzoh.,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-13,13,Abomasnow,140,Grass,Snover,Stage1,Rare,Kazuma Koda,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-14,14,Phantump,60,Grass,,Basic,Common,sui,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-15,15,Trevenant,130,Grass,Phantump,Stage1,Rare,kawayoo,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-16,16,Grubbin,60,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-17,17,Rillaboom V,220,Grass,,Basic,Holo Rare V,5ban Graphics,holo,Rebel Clash,Sword & Shield,209
swsh2-18,18,Rillaboom VMAX,330,Grass,Rillaboom V,VMAX,Holo Rare VMAX,5ban Graphics,holo,Rebel Clash,Sword & Shield,209
swsh2-19,19,Eldegoss V,180,Grass,,Basic,Holo Rare V,5ban Graphics,holo,Rebel Clash,Sword & Shield,209
swsh2-20,20,Applin,40,Grass,,Basic,Common,Mizue,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-21,21,Applin,40,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-22,22,Flapple,80,Grass,Applin,Stage1,Holo Rare,Shin Nagasawa,"reverse, holo",Rebel Clash,Sword & Shield,209
swsh2-23,23,Appletun,90,Grass,Applin,Stage1,Holo Rare,Akira Komayama,"reverse, holo",Rebel Clash,Sword & Shield,209
swsh2-24,24,Vulpix,60,Fire,,Basic,Common,sui,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-25,25,Ninetales,120,Fire,Vulpix,Stage1,Rare,AKIRA EGAWA,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-26,26,Ninetales V,200,Fire,,Basic,Holo Rare V,Saki Hayashiro,holo,Rebel Clash,Sword & Shield,209
swsh2-27,27,Growlithe,80,Fire,,Basic,Common,Ryota Murayama,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-28,28,Arcanine,130,Fire,Growlithe,Stage1,Rare,Hasuno,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-29,29,Magmar,90,Fire,,Basic,Common,Shigenori Negishi,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-30,30,Magmortar,140,Fire,Magmar,Stage1,Rare,Kazuma Koda,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-31,31,Litwick,60,Fire,,Basic,Common,Sekio,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-32,32,Lampent,80,Fire,Litwick,Stage1,Uncommon,Kyoko Umemoto,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-33,33,Chandelure,140,Fire,Lampent,Stage2,Holo Rare,Taira Akitsu,"reverse, holo",Rebel Clash,Sword & Shield,209
swsh2-34,34,Heatmor,120,Fire,,Basic,Uncommon,Satoshi Shirai,"normal, reverse",Rebel Clash,Sword & Shield,209
swsh2-35,35,Cinderace V,210,Fire,,Basic,Holo Rare V,5ban Graphics,holo,Rebel Clash,Sword & Shield,209
