id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh2-1,1,Chenipan,50,Plante,,De base,Commune,Uta,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-2,2,Chrysacier,80,Plante,Chenipan,Niveau 1,Peu Commune,Asako Ito,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-3,3,Papilusion,140,Plante,Chrysacier,Niveau 2,Rare,Taira Akitsu,"normal, reverse, holo",Clash des Rebelles,Épée et Bouclier,209
swsh2-4,4,Insécateur,80,Plante,,De base,Commune,KEIICHIRO ITO,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-5,5,Caratroc,80,Plante,,De base,Peu Commune,HYOGONOSUKE,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-6,6,Scarhino,130,Plante,,De base,Peu Commune,otumami,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-7,7,Nénupiot,60,Plante,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-8,8,Lombre,90,Plante,Nénupiot,Niveau 1,Peu Commune,Miki Tanaka,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-9,9,Ludicolo,160,Plante,Lombre,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-10,10,Arakdo,50,Plante,,De base,Commune,Masakazu Fukuda,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-11,11,Maskadra,90,Plante,Arakdo,Niveau 1,Peu Commune,chibi,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-12,12,Blizzi,90,Plante,,De base,Commune,Shibuzoh.,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-13,13,Blizzaroi,140,Plante,Blizzi,Niveau 1,Rare,Kazuma Koda,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-14,14,Brocélôme,60,Plante,,De base,Commune,sui,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-15,15,Desséliande,130,Plante,Brocélôme,Niveau 1,Rare,kawayoo,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-16,16,Larvibule,60,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-17,17,Gorythmic V,220,Plante,,De base,Holo Rare V,5ban Graphics,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-18,18,Gorythmic VMAX,330,Plante,Gorythmic-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-19,19,Blancoton V,180,Plante,,De base,Holo Rare V,5ban Graphics,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-20,20,Verpom,40,Plante,,De base,Commune,Mizue,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-21,21,Verpom,40,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-22,22,Pomdrapi,80,Plante,Verpom,Niveau 1,Holo Rare,Shin Nagasawa,"reverse, holo",Clash des Rebelles,Épée et Bouclier,209
swsh2-23,23,Dratatin,90,Plante,Verpom,Niveau 1,Holo Rare,Akira Komayama,"reverse, holo",Clash des Rebelles,Épée et Bouclier,209
swsh2-24,24,Goupix,60,Feu,,De base,Commune,sui,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-25,25,Feunard,120,Feu,Goupix,Niveau 1,Rare,AKIRA EGAWA,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-26,26,Feunard V,200,Feu,,De base,Holo Rare V,Saki Hayashiro,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-27,27,Caninos,80,Feu,,De base,Commune,Ryota Murayama,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-28,28,Arcanin,130,Feu,Caninos,Niveau 1,Rare,Hasuno,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-29,29,Magmar,90,Feu,,De base,Commune,Shigenori Negishi,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-30,30,Maganon,140,Feu,Magmar,Niveau 1,Rare,Kazuma Koda,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-31,31,Funécire,60,Feu,,De base,Commune,Sekio,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-32,32,Mélancolux,80,Feu,Funécire,Niveau 1,Peu Commune,Kyoko Umemoto,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-33,33,Lugulabre,140,Feu,Mélancolux,Niveau 2,Holo Rare,Taira Akitsu,"reverse, holo",Clash des Rebelles,Épée et Bouclier,209
swsh2-34,34,Aflamanoir,120,Feu,,De base,Peu Commune,Satoshi Shirai,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-35,35,Pyrobut V,210,Feu,,De base,Holo Rare V,5ban Graphics,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-36,36,Pyrobut VMAX,320,Feu,Pyrobut-V,ESCOUADE,Holo Rare VMAX,5ban Graphics,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-37,37,M. Mime de Galar,80,Eau,,De base,Commune,kirisAki,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-38,38,M. Glaquette de Galar,110,Eau,M. Mime de Galar,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-39,39,Magicarpe,30,Eau,,De base,Commune,kanahei,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-40,40,Léviator,180,Eau,Magicarpe,Niveau 1,Holo Rare,hatachu,"reverse, holo",Clash des Rebelles,Épée et Bouclier,209
swsh2-41,41,Goélise,70,Eau,,De base,Commune,0313,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-42,42,Bekipan,120,Eau,Goélise,Niveau 1,Peu Commune,Eri Yamaki,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
swsh2-43,43,Milobellus V,210,Eau,,De base,Holo Rare V,Ayaka Yoshida,holo,Clash des Rebelles,Épée et Bouclier,209
swsh2-44,44,Tritonde,60,Eau,,De base,Commune,Aya Kusube,"normal, reverse",Clash des Rebelles,Épée et Bouclier,209
