id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl2-1,1,Arkani,100,Feuer,,Rang 1,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-2,2,Bollterus GL,90,Metall,,Basis,"Selten, Holografisch",Hajime Kusajima,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-3,3,Darkrai G,90,Unlicht,,Basis,"Selten, Holografisch",Makoto Imai,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-4,4,Bojelin GL,80,Wasser,,Basis,"Selten, Holografisch",Midori Harada,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-5,5,Libelldra,120,Farblos,,Rang 2,"Selten, Holografisch",Kouki Saitou,"normal, reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-6,6,Frosdeje GL,70,Wasser,,Basis,"Selten, Holografisch",Atsuko Nishida,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-7,7,Jirachi,60,Metall,,Basis,"Selten, Holografisch",Kenkichi Toyama,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-8,8,Lucario GL,80,Kampf,,Basis,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-9,9,Luxtra GL,80,Elektro,,Basis,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-10,10,Traunmagil GL,80,Psycho,,Basis,"Selten, Holografisch",Naoyo Kimura,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-11,11,Rameidon GL,90,Kampf,,Basis,"Selten, Holografisch",Suwama Chiaki,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-12,12,Roserade GL,80,Pflanze,,Basis,"Selten, Holografisch",Kanako Eo,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-13,13,Tengulist,130,Unlicht,,Rang 2,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Aufstieg der Rivalen,Platin,120
pl2-14,14,Stolloss,130,Metall,,Rang 2,Selten,Naoyo Kimura,"normal, reverse",Aufstieg der Rivalen,Platin,120
pl2-15,15,Bibor,110,Pflanze,,Rang 2,Selten,Kagemaru Himeno,"reverse, holo",Aufstieg der Rivalen,Platin,120
