id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl2-1,1,Arcanin Niv. 53,100,Feu,Caninos,Niveau 1,Rare Holo,Masakazu Fukuda,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-2,2,Bastiodon  Niv. 41,90,Métal,,De base,Rare Holo,Hajime Kusajima,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-3,3,Darkrai  Niv. 58,90,Obscurité,,De base,Rare Holo,Makoto Imai,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-4,4,Mustéflott  Niv. 37,80,Eau,,De base,Rare Holo,Midori Harada,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-5,5,Flygon Niv. 65,120,Incolore,Vibraninf,Niveau 2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Rivaux Émergeants,Platine,120
pl2-6,6,Momartik  Niv. 44,70,Eau,,De base,Rare Holo,Atsuko Nishida,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-7,7,Jirachi Niv. 39,60,Métal,,De base,Rare Holo,Kenkichi Toyama,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-8,8,Lucario  Niv. 32,80,Combat,,De base,Rare Holo,Kagemaru Himeno,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-9,9,Luxray  Niv. 48,80,Électrique,,De base,Rare Holo,Kouki Saitou,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-10,10,Magirêve  Niv. 26,80,Psy,,De base,Rare Holo,Naoyo Kimura,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-11,11,Charkos  Niv. 63,90,Combat,,De base,Rare Holo,Suwama Chiaki,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-12,12,Roserade  Niv. 22,80,Plante,,De base,Rare Holo,Kanako Eo,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-13,13,Tengalice Niv. 55,130,Obscurité,Pifeuil,Niveau 2,Rare Holo,Kagemaru Himeno,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-14,14,Galeking Niv. 53,130,Métal,Galegon,Niveau 2,Rare,Naoyo Kimura,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-15,15,Dardargnan Niv. 47,110,Plante,Coconfort,Niveau 2,Rare,Kagemaru Himeno,"reverse, holo",Rivaux Émergeants,Platine,120
pl2-16,16,Archéodong  Niv. 54,90,Psy,,De base,Rare,Mitsuhiro Arita,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-17,17,Drascore  Niv. 53,100,Obscurité,,De base,Rare,Kouki Saitou,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-18,18,Mentali  Niv. 55,80,Psy,,De base,Rare,Mitsuhiro Arita,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-19,19,Pyroli Niv. 38,80,Feu,Evoli,Niveau 1,Rare,Midori Harada,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-20,20,Gallame  Niv. 59,80,Psy,,De base,Rare,Mitsuhiro Arita,"normal, reverse",Rivaux Émergeants,Platine,120
pl2-21,21,Tritosor Mer Orient Niv. 40,90,Eau,Sancoki Mer Orient,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Rivaux Émergeants,Platine,120
