id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy6-1,1,Noeunoeuf,40,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-2,2,Noadkoko,120,Plante,Noeunoeuf,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-3,3,Chenipotte,60,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-4,4,Armulys,80,Plante,Chenipotte,Niveau 1,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-5,5,Charmillon,130,Plante,Armulys,Niveau 2,Rare,Midori Harada,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-6,6,Blindalys,80,Plante,Chenipotte,Niveau 1,Commune,MAHOU,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-7,7,Papinox,140,Plante,Blindalys,Niveau 2,Peu Commune,Akira Komayama,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-8,8,Papinox,130,Plante,Blindalys,Niveau 2,Rare,match,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-9,9,Ningale,40,Plante,,De base,Commune,Kyoko Umemoto,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-10,10,Ninjask,70,Plante,Ningale,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-11,11,Munja,30,Plante,Ningale,Niveau 1,Rare,Aya Kusube,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-12,12,Tropius,110,Plante,,De base,Peu Commune,Kyoko Umemoto,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-13,13,Victini,70,Feu,,De base,Rare,Kouki Saitou,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-14,14,Braisillon,70,Feu,Passerouge,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-15,15,Flambusard,130,Feu,Braisillon,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-16,16,Artikodin,120,Eau,,De base,Rare,Naoki Saito,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-17,17,Artikodin,120,Eau,,De base,Rare,5ban Graphics,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-18,18,Goélise,60,Eau,,De base,Commune,MAHOU,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-19,19,Bekipan,100,Eau,Goélise,Niveau 1,Peu Commune,Midori Harada,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-20,20,Pikachu,60,Électrique,,De base,Commune,Naoki Saito,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-21,21,Voltorbe,60,Électrique,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-22,22,Électrode,90,Électrique,Voltorbe,Niveau 1,Peu Commune,Tomokazu Komiya,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-23,23,Électhor,120,Électrique,,De base,Rare,Hitoshi Ariga,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-24,24,Dynavolt,60,Électrique,,De base,Commune,Akira Komayama,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-25,25,Élecsprint,90,Électrique,Dynavolt,Niveau 1,Peu Commune,match,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-26,26,Fulguris EX,170,Électrique,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-27,27,Natu,50,Psy,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-28,28,Natu,40,Psy,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-29,29,Xatu,90,Psy,Natu,Niveau 1,Rare,Hajime Kusajima,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-30,30,Polichombr,60,Psy,,De base,Commune,Yukiko Baba,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-31,31,Branette,80,Psy,Polichombr,Niveau 1,Rare,Aya Kusube,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-32,32,Branette,90,Psy,Polichombr,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-33,33,Deoxys,110,Psy,,De base,Rare,kawayoo,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-34,34,Gallame EX,170,Psy,,De base,Ultra Rare,Eske Yoshinob,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-35,35,M-Gallame EX,220,Psy,Gallame-EX,MÉGA,Ultra Rare,5ban Graphics,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-36,36,Scorplane,70,Combat,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-37,37,Scorvol,90,Combat,Scorplane,Niveau 1,Peu Commune,Hajime Kusajima,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-38,38,Opermine,60,Combat,,De base,Commune,Kanako Eo,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-39,39,Brutalibré,80,Combat,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-40,40,Absol,100,Obscurité,,De base,Rare,Kagemaru Himeno,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-41,41,Sepiatop,50,Obscurité,,De base,Commune,Akira Komayama,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-42,42,Jirachi,70,Métal,,De base,Rare,Sanosuke Sakuma,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-43,43,Togepi,40,Fée,,De base,Commune,HiRON,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-44,44,Togetic,80,Fée,Togepi,Niveau 1,Peu Commune,Kanako Eo,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-45,45,Togekiss,140,Fée,Togetic,Niveau 2,Rare,Sumiyoshi Kizuki,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-46,46,Togekiss,130,Fée,Togetic,Niveau 2,Rare,PLANETA,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-47,47,Strassie,70,Fée,,De base,Rare,Akira Komayama,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-48,48,Trousselin,60,Fée,,De base,Rare,Kagemaru Himeno,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-49,49,Minidraco,50,Dragon,,De base,Commune,Miki Tanaka,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-50,50,Draco,80,Dragon,Minidraco,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-51,51,Dracolosse,150,Dragon,Draco,Niveau 2,Rare,kawayoo,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-52,52,Dracolosse,160,Dragon,Draco,Niveau 2,Rare,hatachu,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-53,53,Altaria,80,Dragon,Tylton,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-54,54,Draby,60,Dragon,,De base,Commune,Kagemaru Himeno,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-55,55,Draby,60,Dragon,,De base,Commune,kirisAki,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-56,56,Drackhaus,80,Dragon,Draby,Niveau 1,Peu Commune,sui,"normal, reverse, holo",Ciel Rugissant,XY,112
xy6-57,57,Drattak,160,Dragon,Drackhaus,Niveau 2,Rare,TOKIYA,"normal, reverse, holo",Ciel Rugissant,XY,112
