id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex1-1,1,Stolloss,110,Metall,,Rang 2,Selten,Mitsuhiro Arita,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-2,2,Papinella,80,Pflanze,,Rang 2,Selten,Hajime Kusajima,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-3,3,Lohgock,100,Feuer,,Rang 2,Selten,Kouki Saitou,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-4,4,Camerupt,90,Feuer,,Rang 1,Selten,Ken Sugimori,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-5,5,Enekoro,70,Farblos,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-6,6,Pudox,90,Pflanze,,Rang 2,Selten,Midori Harada,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-7,7,Guardevoir,100,Psycho,,Rang 2,Selten,Ken Sugimori,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-8,8,Hariyama,90,Kampf,,Rang 1,Selten,Naoyo Kimura,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-9,9,Voltenso,70,Elektro,,Rang 1,Selten,Mitsuhiro Arita,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-10,10,Magnayen,70,Unlicht,,Rang 1,Selten,Atsuko Nishida,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-11,11,Gewaldro,120,Pflanze,,Rang 2,Selten,Midori Harada,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-12,12,Letarking,120,Farblos,,Rang 2,Selten,Ken Sugimori,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-13,13,Sumpex,110,Wasser,,Rang 2,Selten,Mitsuhiro Arita,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-14,14,Wailord,120,Wasser,,Rang 1,Selten,Ken Sugimori,"reverse, holo",EX Rubin & Saphir,EX,109
ex1-15,15,Lohgock,110,Feuer,,Rang 2,Selten,Ken Sugimori,"normal, reverse",EX Rubin & Saphir,EX,109
ex1-16,16,Kapilz,70,Pflanze,,Rang 1,Selten,Ken Sugimori,"normal, reverse",EX Rubin & Saphir,EX,109
ex1-17,17,Donphan,80,Kampf,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",EX Rubin & Saphir,EX,109
ex1-18,18,Nasgnet,60,Kampf,,Basis,Selten,Mitsuhiro Arita,"normal, reverse",EX Rubin & Saphir,EX,109
ex1-19,19,Pelipper,70,Wasser,,Rang 1,Selten,Kouki Saitou,"normal, reverse",EX Rubin & Saphir,EX,109
