id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex1-1,1,Galeking,110,Métal,,Niveau 2,Rare,Mitsuhiro Arita,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-2,2,Charmillon,80,Plante,,Niveau 2,Rare,Hajime Kusajima,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-3,3,Brasegali,100,Feu,,Niveau 2,Rare,Kouki Saitou,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-4,4,Camerupt,90,Feu,,Niveau 1,Rare,Ken Sugimori,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-5,5,Delcatty,70,Incolore,,Niveau 1,Rare,Atsuko Nishida,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-6,6,Papinox,90,Plante,,Niveau 2,Rare,Midori Harada,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-7,7,Gardevoir,100,Psy,,Niveau 2,Rare,Ken Sugimori,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-8,8,Hariyama,90,Combat,,Niveau 1,Rare,Naoyo Kimura,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-9,9,Elecsprint,70,Électrique,,Niveau 1,Rare,Mitsuhiro Arita,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-10,10,Grahyena,70,Obscurité,,Niveau 1,Rare,Atsuko Nishida,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-11,11,Jungko,120,Plante,,Niveau 2,Rare,Midori Harada,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-12,12,Monaflemit,120,Incolore,,Niveau 2,Rare,Ken Sugimori,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-13,13,Laggron,110,Eau,,Niveau 2,Rare,Mitsuhiro Arita,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-14,14,Wailord,120,Eau,,Niveau 1,Rare,Ken Sugimori,"reverse, holo",EX Rubis & Saphir,EX,109
ex1-15,15,Brasegali,110,Feu,,Niveau 2,Rare,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-16,16,Chapignon,70,Plante,,Niveau 1,Rare,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-17,17,Donphan,80,Combat,,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-18,18,Tarinor,60,Combat,,De base,Rare,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-19,19,Bekipan,70,Eau,,Niveau 1,Rare,Kouki Saitou,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-20,20,Jungko,100,Plante,,Niveau 2,Rare,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-21,21,Poissoroy,70,Eau,,Niveau 1,Rare,Hajime Kusajima,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-22,22,Sharpedo,70,Eau,,Niveau 1,Rare,Hajime Kusajima,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-23,23,Laggron,100,Eau,,Niveau 2,Rare,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-24,24,Smogogo,80,Plante,,Niveau 1,Rare,Atsuko Nishida,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-25,25,Galekid,50,Métal,,De base,Peu Commune,Midori Harada,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-26,26,Blindalys,70,Plante,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-27,27,Galifeu,70,Feu,,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-28,28,Galifeu,80,Feu,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-29,29,Delcatty,80,Incolore,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-30,30,Dynavolt,50,Électrique,,De base,Peu Commune,Hajime Kusajima,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-31,31,Massko,70,Plante,,Niveau 1,Peu Commune,Midori Harada,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-32,32,Massko,80,Plante,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-33,33,Hariyama,80,Combat,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-34,34,Kirlia,70,Psy,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-35,35,Kirlia,70,Psy,,Niveau 1,Peu Commune,Atsuko Nishida,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-36,36,Galegon,70,Métal,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-37,37,Galegon,80,Métal,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-38,38,Lineon,70,Incolore,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-39,39,Elecsprint,70,Électrique,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-40,40,Flobio,70,Eau,,Niveau 1,Peu Commune,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-41,41,Flobio,80,Eau,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-42,42,Grahyena,70,Obscurité,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-43,43,Armulys,60,Plante,,Niveau 1,Peu Commune,Hajime Kusajima,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-44,44,Skitty,40,Incolore,,De base,Peu Commune,Midori Harada,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-45,45,Parecool,40,Incolore,,De base,Peu Commune,Kagemaru Himeno,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-46,46,Heledelle,70,Incolore,,Niveau 1,Peu Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-47,47,Vigoroth,70,Incolore,,Niveau 1,Peu Commune,Kagemaru Himeno,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-48,48,Wailmer,80,Eau,,De base,Peu Commune,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-49,49,Galekid,40,Métal,,De base,Commune,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-50,50,Galekid,50,Métal,,De base,Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-51,51,Carvanha,40,Eau,,De base,Commune,Hajime Kusajima,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-52,52,Dynavolt,50,Électrique,,De base,Commune,Ken Sugimori,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-53,53,Dynavolt,50,Électrique,,De base,Commune,Mitsuhiro Arita,"normal, reverse",EX Rubis & Saphir,EX,109
ex1-54,54,Smogo,50,Plante,,De base,Commune,Atsuko Nishida,"normal, reverse",EX Rubis & Saphir,EX,109
