id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
smp-SM01,SM01,Brindibou,50,Plante,,De base,Rare,Mitsuhiro Arita,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM02,SM02,Flamiaou,60,Feu,,De base,Rare,Megumi Mizutani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM03,SM03,Otaquin,60,Eau,,De base,Rare,match,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM05,SM05,Ronflex GX,190,Incolore,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM06,SM06,Rocabot,60,Combat,,De base,Rare,match,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM07,SM07,Picassaut,60,Incolore,,De base,Rare,match,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM08,SM08,Flamiaou,60,Feu,,De base,Rare,Kouki Saitou,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM09,SM09,Togedemaru,70,Électrique,,De base,Rare,match,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM10,SM10,Lampignon,100,Plante,Spododo,Niveau 1,Rare,Mizue,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM100,SM100,Lucario GX,210,Combat,Riolu,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM101,SM101,Necrozma Ailes de l’Aurore GX,180,Psy,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM102,SM102,Necrozma Crinière du Couchant GX,190,Métal,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM103,SM103,Lunala GX,230,Psy,Cosmovum,Niveau 2,Rare,PLANETA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM104,SM104,Solgaleo GX,250,Métal,Cosmovum,Niveau 2,Rare,PLANETA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM105,SM105,Lougaroc,120,Combat,Rocabot,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM106,SM106,Necrozma Ailes de l’Aurore,130,Psy,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM107,SM107,Necrozma Crinière du Couchant,130,Métal,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM108,SM108,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM109,SM109,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM11,SM11,Denticrisse,110,Eau,,De base,Rare,Mizue,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM110,SM110,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM111,SM111,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM112,SM112,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM113,SM113,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM114,SM114,Pikachu de Sacha,70,Électrique,,De base,Commune,2017 Pikachu Project,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM115,SM115,Cancrelove,110,Plante,,De base,Rare,You Iribi,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM116,SM116,Câblifère,120,Électrique,,De base,Rare,TOKIYA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM117,SM117,Sepiatroce,90,Psy,Sepiatop,Niveau 1,Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM118,SM118,Lougaroc,120,Combat,Rocabot,Niveau 1,Rare,sui,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM119,SM119,Noeunoeuf,50,Plante,,De base,Rare,OOYAMA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM12,SM12,Quartermac,110,Combat,,De base,Rare,Naoki Saito,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM120,SM120,Rocabot,50,Combat,,De base,Rare,Hideki Ishikawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM121,SM121,Raikou GX,170,Électrique,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM122,SM122,Zygarde GX,180,Combat,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM123,SM123,Necrozma Ailes de l’Aurore,130,Psy,,De base,Rare,nagimiso,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM124,SM124,Necrozma Crinière du Couchant,130,Métal,,De base,Rare,nagimiso,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM125,SM125,Mandrillon GX,210,Psy,Vémini,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM126,SM126,Ultra-Necrozma GX,190,Dragon,,De base,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM127,SM127,Sablaireau d’Alola,120,Métal,Sabelette d’Alola,Niveau 1,Rare,kirisAki,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM128,SM128,Feunard d’Alola,110,Fée,Goupix d’Alola,Niveau 1,Rare,kirisAki,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM129,SM129,Kyogre,130,Eau,,De base,Rare,Anesaki Dynamic,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM13,SM13,Gouroutan,120,Incolore,,De base,Rare,Mitsuhiro Arita,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM130,SM130,Élecsprint,110,Électrique,Dynavolt,Niveau 1,Rare,Ryota Murayama,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM131,SM131,Bamboiselle,140,Métal,,De base,Rare,Masakazu Fukuda,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM132,SM132,Delcatty,90,Incolore,Skitty,Niveau 1,Rare,0313,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM133,SM133,Fulguris GX,180,Électrique,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM134,SM134,Boréas GX,180,Incolore,,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM135,SM135,Latias,110,Dragon,,De base,Rare,Kouki Saitou,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM136,SM136,Latios,120,Dragon,,De base,Rare,Kouki Saitou,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM137,SM137,Reshiram GX,180,Feu,,De base,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM138,SM138,Zekrom GX,180,Électrique,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM139,SM139,Drattak GX,250,Dragon,Drackhaus,Niveau 2,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM14,SM14,Lougaroc GX,200,Combat,Rocabot,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM140,SM140,Drattak,150,Dragon,Drackhaus,Niveau 2,Rare,Mitsuhiro Arita,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM141,SM141,Kyurem Blanc GX,190,Dragon,,De base,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM142,SM142,Kyurem,130,Dragon,,De base,Rare,TOKIYA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM143,SM143,Sulfura,120,Feu,,De base,Rare,Hitoshi Ariga,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM144,SM144,Artikodin,120,Eau,,De base,Rare,Hitoshi Ariga,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM145,SM145,Électhor,120,Électrique,,De base,Rare,Hitoshi Ariga,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM146,SM146,Phyllali GX,200,Plante,Évoli,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM147,SM147,Givrali GX,200,Eau,Évoli,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM148,SM148,Festival des Champions,,,,,Rare,Naoki Saito,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM149,SM149,Suicune,110,Eau,,De base,Rare,Anesaki Dynamic,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM15,SM15,Zygarde,130,Combat,,De base,Rare,kawayoo,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM150,SM150,Raikou,120,Électrique,,De base,Rare,Kagemaru Himeno,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM151,SM151,Giratina,130,Psy,,De base,Rare,Hasuno,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM152,SM152,Tokopiyon,110,Fée,,De base,Rare,Mizue,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM153,SM153,Brindibou,60,Plante,,De base,Rare,Masakazu Fukuda,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM154,SM154,Tritox,60,Feu,,De base,Rare,Naoki Saito,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM155,SM155,Hyporoi GX,230,Eau,Hypocéan,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM156,SM156,Dracolosse GX,250,Dragon,Draco,,Rare,5ban Graphics,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM157,SM157,Pikachu,60,Électrique,,De base,Rare,Megumi Mizutani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM158,SM158,Dracaufeu,150,Feu,Reptincel,Niveau 2,Rare,Anesaki Dynamic,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM159,SM159,Électhor,110,Électrique,,De base,Rare,Misa Tsutsui,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM16,SM16,Solgaleo GX,250,Métal,Cosmovum,,Rare,PLANETA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM160,SM160,Nidoqueen,160,Psy,Nidorina,Niveau 2,Rare,Midori Harada,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM161,SM161,Jirachi,70,Métal,,De base,Rare,Mizue,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM162,SM162,Pikachu,60,Électrique,,De base,Rare,Saya Tsuruta,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM163,SM163,Mimiqui,70,Fée,,De base,Rare,Saya Tsuruta,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM164,SM164,Deoxys,110,Psy,,De base,Rare,You Iribi,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM165,SM165,Ultra-Necrozma,130,Dragon,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM166,SM166,Magicarpe et Wailord GX,300,Eau,,,Rare,Mitsuhiro Arita,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM167,SM167,Celebi et Florizarre GX,270,Plante,,,Ultra Rare,Shin Nagasawa,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM168,SM168,Pikachu et Zekrom GX,240,Électrique,,,Ultra Rare,kawayoo,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM169,SM169,Évoli et Ronflex GX,270,Incolore,,,Ultra Rare,Tomokazu Komiya,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM17,SM17,Lunala GX,250,Psy,Cosmovum,,Rare,PLANETA,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM170,SM170,Détective Pikachu,90,Électrique,,,Rare,,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM171,SM171,Pyroli GX,210,Feu,Évoli,,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM172,SM172,Aquali GX,210,Eau,Évoli,,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM173,SM173,Voltali GX,200,Électrique,Évoli,,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
smp-SM174,SM174,Évoli GX,160,Incolore,,,Rare,PLANETA Otani,"normal, reverse, holo",Promo SM,Soleil et Lune,243
