id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-sm-r-2,2,Lightning Energy,,,,,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-4,4,Stufful,70,Colorless,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-6,6,Golbat,80,Psychic,Zubat,Stage1,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-11,11,Zubat,50,Psychic,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-13,13,Spearow,60,Colorless,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-14,14,Pikachu,60,Lightning,,Basic,None,kodama,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-15,15,Potion,,,,,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-16,16,Grubbin,70,Grass,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-17,17,Alolan Raichu,110,Lightning,Pikachu,Stage1,None,5ban Graphics,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-18,18,Bewear,130,Colorless,Stufful,Stage1,Rare,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-19,19,Hau,,,,,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-20,20,Psychic Energy,,,,,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-21,21,Great Ball,,,,,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-22,22,Drowzee,70,Psychic,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-23,23,Hau,,,,,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-25,25,Great Ball,,,,,Uncommon,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-26,26,Togedemaru,70,Lightning,,Basic,Common,,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-29,29,Pikachu,60,Lightning,,Basic,None,kodama,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
tk-sm-r-30,30,Alolan Raichu,110,Lightning,Pikachu,Stage1,None,5ban Graphics,"normal, reverse, holo",SM trainer Kit (Alolan Raichu),Trainer kits,30
