id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
tk-sm-l-1,1,Chenipan,50,Plante,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-4,4,Piclairon,80,Incolore,Picassaut,Niveau 1,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-5,5,Énergie Combat,,,,,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-11,11,Passerouge,50,Incolore,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-12,12,Manglouton,70,Incolore,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-13,13,Braisillon,70,Incolore,Passerouge,Niveau 1,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-14,14,Rocabot,60,Combat,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-15,15,Picassaut,50,Incolore,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-16,16,Lougaroc,110,Combat,Rocabot,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-18,18,Makuhita,80,Combat,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-19,19,Tili,,,,,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-21,21,Super Ball,,,,,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-22,22,Bazoucan,140,Incolore,Piclairon,Niveau 2,Rare,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-23,23,Tili,,,,,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-25,25,Super Ball,,,,,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-27,27,Malasada Maxi,,,,,Peu Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-29,29,Rocabot,60,Combat,,De base,Commune,,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
tk-sm-l-30,30,Lougaroc,110,Combat,Rocabot,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",SM Kit du dresseur (Lougarox),Kits du dresseur,30
