id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
svp-001,001,Sprigatito,70,Grass,,Basic,None,Yuu Nishida,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-002,002,Fuecoco,80,Fire,,Basic,None,Ryuta Fuse,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-003,003,Quaxly,70,Water,,Basic,None,Narumi Sato,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-004,004,Mimikyu ex,190,Psychic,,Basic,None,PLANETA Yamashita,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-005,005,Quaquaval,170,Water,Quaxwell,Stage2,None,kodama,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-006,006,Pawmot,130,Lightning,Pawmo,Stage2,None,GIDORA,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-007,007,Hawlucha,70,Fighting,,Basic,None,Yuya Oka,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-008,008,Revavroom,140,Metal,Varoom,Stage1,None,DOM,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-009,009,Spidops,120,Grass,Tarountula,Stage1,None,Anesaki Dynamic,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-010,010,Espathra,110,Psychic,Flittle,Stage1,None,Sanosuke Sakuma,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-011,011,Arcanine,130,Fire,Growlithe,Stage1,None,Ryuta Fuse,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-012,012,Dondozo,150,Water,,Basic,None,Shin Nagasawa,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-013,013,Miraidon,120,Lightning,,Basic,None,Akira Komayama,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-014,014,Koraidon,130,Fighting,,Basic,None,Mina Nakai,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-015,015,Flaaffy,90,Lightning,Mareep,Stage1,None,0313,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-016,016,Ampharos ex,330,Lightning,Flaaffy,Stage2,None,PLANETA Tsuji,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-017,017,Lucario ex,260,Fighting,Riolu,Stage1,None,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-018,018,Cyclizar ex,210,Colorless,,Basic,None,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-019,019,Baxcalibur,160,Water,Arctibax,Stage2,None,Oswaldo KATO,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-020,020,Tinkaton,140,Psychic,Tinkatuff,Stage2,None,Anesaki Dynamic,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-021,021,Murkrow,60,Darkness,,Basic,None,Shiburingaru,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-022,022,Pelipper,120,Colorless,Wingull,Stage1,None,Nisota Niso,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-023,023,Smoliv,60,Grass,,Basic,None,Misa Tsutsui,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-024,024,Growlithe,90,Fire,,Basic,None,Uta,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-025,025,Tinkatink,70,Psychic,,Basic,None,Kouki Saitou,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-026,026,Varoom,60,Metal,,Basic,None,Mina Nakai,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-027,027,Pikachu,60,Lightning,,Basic,None,Atsushi Furusawa,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-028,028,Miraidon ex,220,Lightning,,Basic,None,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-029,029,Koraidon ex,230,Fighting,,Basic,None,aky CG Works,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-030,030,Chien-Pao ex,220,Water,,Basic,None,aky CG Works,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-031,031,Tinkaton ex,300,Psychic,Tinkatuff,Stage2,None,takuyoa,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-032,032,Annihilape ex,320,Fighting,Primeape,Stage2,None,PLANETA Hiiragi,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
svp-033,033,Meowscarada ex,310,Grass,Floragato,Stage2,None,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Scarlet & Violet,219
