id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
svp-001,001,Poussacha,70,Plante,,De base,Sans Rareté,Yuu Nishida,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-002,002,Chochodile,80,Feu,,De base,Sans Rareté,Ryuta Fuse,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-003,003,Coiffeton,70,Eau,,De base,Sans Rareté,Narumi Sato,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-004,004,Mimiqui-ex,190,Psy,,De base,Sans Rareté,PLANETA Yamashita,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-005,005,Palmaval,170,Eau,Canarbello,Niveau 2,Sans Rareté,kodama,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-006,006,Pohmarmotte,130,Électrique,Pohmotte,Niveau 2,Sans Rareté,GIDORA,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-007,007,Brutalibré,70,Combat,,De base,Sans Rareté,Yuya Oka,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-008,008,Vrombotor,140,Métal,Vrombi,Niveau 1,Sans Rareté,DOM,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-009,009,Filentrappe,120,Plante,Tissenboule,Niveau 1,Sans Rareté,Anesaki Dynamic,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-010,010,Cléopsytra,110,Psy,Flotillon,Niveau 1,Sans Rareté,Sanosuke Sakuma,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-011,011,Arcanin,130,Feu,Caninos,Niveau 1,Sans Rareté,Ryuta Fuse,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-012,012,Oyacata,150,Eau,,De base,Sans Rareté,Shin Nagasawa,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-013,013,Miraidon,120,Électrique,,De base,Sans Rareté,Akira Komayama,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-014,014,Koraidon,130,Combat,,De base,Sans Rareté,Mina Nakai,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-015,015,Lainergie,90,Électrique,Wattouat,Niveau 1,Sans Rareté,0313,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-016,016,Pharamp-ex,330,Électrique,Lainergie,Niveau 2,Sans Rareté,PLANETA Tsuji,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-017,017,Lucario-ex,260,Combat,Riolu,Niveau 1,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-018,018,Motorizard-ex,210,Incolore,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-019,019,Glaivodo,160,Eau,Cryodo,Niveau 2,Sans Rareté,Oswaldo KATO,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-020,020,Forgelina,140,Psy,Forgella,Niveau 2,Sans Rareté,Anesaki Dynamic,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-021,021,Cornèbre,60,Obscurité,,De base,Sans Rareté,Shiburingaru,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-022,022,Bekipan,120,Incolore,Goélise,Niveau 1,Sans Rareté,Nisota Niso,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-023,023,Olivini,60,Plante,,De base,Sans Rareté,Misa Tsutsui,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-024,024,Caninos,90,Feu,,De base,Sans Rareté,Uta,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-025,025,Forgerette,70,Psy,,De base,Sans Rareté,Kouki Saitou,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-026,026,Vrombi,60,Métal,,De base,Sans Rareté,Mina Nakai,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-027,027,Pikachu,60,Électrique,,De base,Sans Rareté,Atsushi Furusawa,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-028,028,Miraidon-ex,220,Électrique,,De base,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-029,029,Koraidon-ex,230,Combat,,De base,Sans Rareté,aky CG Works,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-030,030,Baojian-ex,220,Eau,,De base,Sans Rareté,aky CG Works,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-031,031,Forgelina-ex,300,Psy,Forgella,Niveau 2,Sans Rareté,takuyoa,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-032,032,Courrousinge-ex,320,Combat,Colossinge,Niveau 2,Sans Rareté,PLANETA Hiiragi,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-033,033,Miascarade-ex,310,Plante,Matourgeon,Niveau 2,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-034,034,Flâmigator-ex,340,Feu,Crocogril,Niveau 2,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-035,035,Palmaval-ex,320,Eau,Canarbello,Niveau 2,Sans Rareté,5ban Graphics,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-036,036,Superdofin,150,Eau,Dofin,Niveau 1,Sans Rareté,nagimiso,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-037,037,Mélo,30,Psy,,De base,Sans Rareté,Mina Nakai,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-038,038,Togekiss,150,Psy,Togetic,Niveau 2,Sans Rareté,OKACHEKE,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-039,039,Mysdibule,90,Métal,,De base,Sans Rareté,Souichirou Gunjima,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-040,040,Pohm,50,Électrique,,De base,Sans Rareté,Ryuta Fuse,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-041,041,Axoloto de Paldea,60,Obscurité,,De base,Sans Rareté,kirisAki,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-042,042,Tomberro,130,Psy,Toutombe,Niveau 1,Sans Rareté,Pani Kobayashi,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-043,043,Évoli,60,Incolore,,De base,Sans Rareté,saino misaki,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-044,044,Salamèche,60,Feu,,De base,Sans Rareté,MINAMINAMI Take,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-045,045,"Hôtel "" Au paradis des Pokémon """,,,,,Sans Rareté,Naoki Saito,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-046,046,Bulbizarre,70,Plante,,De base,Sans Rareté,OKACHEKE,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
svp-047,047,Salamèche,70,Feu,,De base,Sans Rareté,NC Empire,"normal, reverse, holo",SVP Black Star Promos,Écarlate et Violet,192
