id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swshp-SWSH001,SWSH001,Chimpep,60,Pflanze,,Basis,Keine,kirisAki,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH002,SWSH002,Hopplo,60,Feuer,,Basis,Keine,Hitoshi Ariga,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH003,SWSH003,Memmeon,60,Wasser,,Basis,Keine,Mizue,,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH004,SWSH004,Mauzi V,180,Farblos,,Basis,Keine,aky CG Works,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH005,SWSH005,Mauzi VMAX,300,Farblos,Mauzi-V,VMAX,Keine,aky CG Works,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH006,SWSH006,Gortrom,170,Pflanze,Chimstix,Rang 2,Keine,Kouki Saitou,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH007,SWSH007,Mottineva,90,Wasser,Snomnom,Rang 1,Keine,kirisAki,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH008,SWSH008,Galar-Mauzinger,120,Metall,Galar-Mauzi,Rang 1,Keine,Akira Komayama,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH009,SWSH009,Chillabell,90,Farblos,Picochilla,Rang 1,Keine,Shibuzoh.,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH010,SWSH010,Cottini,50,Pflanze,,Basis,Keine,Naoki Saito,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH011,SWSH011,Wolly,60,Farblos,,Basis,Keine,Hitoshi Ariga,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH012,SWSH012,Morpeko,80,Elektro,,Basis,Keine,Kagemaru Himeno,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH013,SWSH013,Galar-Ponita,70,Psycho,,Basis,Keine,kirisAki,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH014,SWSH014,Gortrom V,220,Pflanze,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH015,SWSH015,Liberlo V,210,Feuer,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH016,SWSH016,Intelleon V,200,Wasser,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH017,SWSH017,Riffex V,210,Elektro,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH018,SWSH018,Zacian V,220,Metall,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH019,SWSH019,Zamazenta V,230,Metall,,Basis,Keine,aky CG Works,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH020,SWSH020,Pikachu,70,Elektro,,Basis,Keine,Hideki Ishikawa,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH021,SWSH021,Mortipot V,170,Psycho,,Basis,Keine,PLANETA Igarashi,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH022,SWSH022,Drapfel,80,Pflanze,Knapfel,Rang 1,Keine,Hitoshi Ariga,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH023,SWSH023,Luxtra,160,Elektro,Luxio,Rang 2,Keine,Megumi Higuchi,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH024,SWSH024,Montecarbo,160,Kampf,Wagong,Rang 2,Keine,Kouki Saitou,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH025,SWSH025,Deponitox,120,Unlicht,Unratütox,Rang 1,Selten,tetsuya koizumi,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH026,SWSH026,Mantax,110,Wasser,,Basis,Keine,0313,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH027,SWSH027,Noctuh,110,Farblos,Hoothoot,Rang 1,Keine,Misa Tsutsui,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH028,SWSH028,Duraludon,130,Metall,,Basis,Keine,Ryuta Fuse,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH029,SWSH029,Rayquaza,130,Farblos,,Basis,Keine,so-taro,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH030,SWSH030,Patinaraja V,220,Metall,,Basis,Keine,5ban Graphics,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH031,SWSH031,Morpeko,80,Elektro,,Basis,Keine,Hitoshi Ariga,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH032,SWSH032,Relaxo,150,Farblos,,Basis,Keine,Tika Matsuno,,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH033,SWSH033,Zacian,130,Metall,,Basis,Keine,Kouki Saitou,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH034,SWSH034,Zamazenta,130,Metall,,Basis,Keine,Kouki Saitou,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH035,SWSH035,Silvarro,140,Pflanze,Arboretoss,Rang 2,Keine,Souichirou Gunjima,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH036,SWSH036,Lecryodon,130,Elektro,Seltenes Fossil,Rang 1,Keine,Hasuno,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH037,SWSH037,Trikephalo,160,Unlicht,Duodino,Rang 2,Keine,Taira Akitsu,,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH038,SWSH038,Kangama,130,Farblos,,Basis,Keine,HYOGONOSUKE,holo,SCSC Promokarten,Schwert & Schild,285
swshp-SWSH039,SWSH039,Pikachu,60,Elektro,,Basis,Keine,Hitoshi Ariga,holo,SCSC Promokarten,Schwert & Schild,285
