id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swshp-SWSH001,SWSH001,Grookey,60,Grass,,Basic,None,kirisAki,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH002,SWSH002,Scorbunny,60,Fire,,Basic,None,Hitoshi Ariga,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH003,SWSH003,Sobble,60,Water,,Basic,None,Mizue,,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH004,SWSH004,Meowth V,180,Colorless,,Basic,None,aky CG Works,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH005,SWSH005,Meowth VMAX,300,Colorless,Meowth V,VMAX,None,aky CG Works,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH006,SWSH006,Rillaboom,170,Grass,Thwackey,Stage2,None,Kouki Saitou,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH007,SWSH007,Frosmoth,90,Water,Snom,Stage1,None,kirisAki,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH008,SWSH008,Galarian Perrserker,120,Metal,Galarian Meowth,Stage1,None,Akira Komayama,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH009,SWSH009,Cinccino,90,Colorless,Minccino,Stage1,None,Shibuzoh.,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH010,SWSH010,Gossifleur,50,Grass,,Basic,None,Naoki Saito,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH011,SWSH011,Wooloo,60,Colorless,,Basic,None,Hitoshi Ariga,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH012,SWSH012,Morpeko,80,Lightning,,Basic,None,Kagemaru Himeno,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH013,SWSH013,Galarian Ponyta,70,Psychic,,Basic,None,kirisAki,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH014,SWSH014,Rillaboom V,220,Grass,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH015,SWSH015,Cinderace V,210,Fire,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH016,SWSH016,Inteleon V,200,Water,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH017,SWSH017,Toxtricity V,210,Lightning,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH018,SWSH018,Zacian V,220,Metal,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH019,SWSH019,Zamazenta V,230,Metal,,Basic,None,aky CG Works,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH020,SWSH020,Pikachu,70,Lightning,,Basic,None,Hideki Ishikawa,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH021,SWSH021,Polteageist V,170,Psychic,,Basic,None,PLANETA Igarashi,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH022,SWSH022,Flapple,80,Grass,Applin,Stage1,None,Hitoshi Ariga,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH023,SWSH023,Luxray,160,Lightning,Luxio,Stage2,None,Megumi Higuchi,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH024,SWSH024,Coalossal,160,Fighting,Carkol,Stage2,None,Kouki Saitou,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH025,SWSH025,Garbodor,120,Darkness,Trubbish,Stage1,Rare,tetsuya koizumi,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH026,SWSH026,Mantine,110,Water,,Basic,None,0313,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH027,SWSH027,Noctowl,110,Colorless,Hoothoot,Stage1,None,Misa Tsutsui,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH028,SWSH028,Duraludon,130,Metal,,Basic,None,Ryuta Fuse,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH029,SWSH029,Rayquaza,130,Colorless,,Basic,None,so-taro,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH030,SWSH030,Copperajah V,220,Metal,,Basic,None,5ban Graphics,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH031,SWSH031,Morpeko,80,Lightning,,Basic,None,Hitoshi Ariga,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH032,SWSH032,Snorlax,150,Colorless,,Basic,None,Tika Matsuno,,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH033,SWSH033,Zacian,130,Metal,,Basic,None,Kouki Saitou,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH034,SWSH034,Zamazenta,130,Metal,,Basic,None,Kouki Saitou,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH035,SWSH035,Decidueye,140,Grass,Dartrix,Stage2,None,Souichirou Gunjima,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH036,SWSH036,Arctozolt,130,Lightning,Rare Fossil,Stage1,None,Hasuno,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH037,SWSH037,Hydreigon,160,Darkness,Zweilous,Stage2,None,Taira Akitsu,,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH038,SWSH038,Kangaskhan,130,Colorless,,Basic,None,HYOGONOSUKE,holo,SWSH Black Star Promos,Sword & Shield,287
swshp-SWSH039,SWSH039,Pikachu,60,Lightning,,Basic,None,Hitoshi Ariga,holo,SWSH Black Star Promos,Sword & Shield,287
