id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A4a-001,001,Hoppip,50,Grass,,Basic,One Diamond,Kyoko Umemoto,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-002,002,Skiploom,60,Grass,Hoppip,Stage1,Two Diamond,Dsuke,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-003,003,Jumpluff ex,160,Grass,Skiploom,Stage2,Four Diamond,PLANETA Tsuji,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-004,004,Sunkern,50,Grass,,Basic,One Diamond,Toshinao Aoki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-005,005,Sunflora,90,Grass,Sunkern,Stage1,Two Diamond,Miki Tanaka,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-006,006,Celebi,70,Grass,,Basic,Three Diamond,Yuu Nishida,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-007,007,Durant,70,Grass,,Basic,One Diamond,Midori Harada,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-008,008,Slugma,80,Fire,,Basic,One Diamond,Yukiko Baba,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-009,009,Magcargo,120,Fire,Slugma,Stage1,Two Diamond,Eri Yamaki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-010,010,Entei ex,140,Fire,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-011,011,Fletchinder,70,Fire,Fletchling,Stage1,One Diamond,5ban Graphics,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-012,012,Talonflame,130,Fire,Fletchinder,Stage2,Two Diamond,5ban Graphics,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-013,013,Poliwag,60,Water,,Basic,One Diamond,Yuka Morii,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-014,014,Poliwhirl,80,Water,Poliwag,Stage1,Two Diamond,Kanako Eo,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-015,015,Tentacool,60,Water,,Basic,One Diamond,Hajime Kusajima,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-016,016,Tentacruel,110,Water,Tentacool,Stage1,Two Diamond,Hajime Kusajima,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-017,017,Slowpoke,60,Water,,Basic,One Diamond,Saya Tsuruta,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-018,018,Slowking,130,Water,Slowpoke,Stage1,Two Diamond,Aya Kusube,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-019,019,Jynx,70,Water,,Basic,One Diamond,Yukiko Baba,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-020,020,Suicune ex,140,Water,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-021,021,Feebas,30,Water,,Basic,One Diamond,Suwama Chiaki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-022,022,Milotic,120,Water,Feebas,Stage1,Three Diamond,AKIRA EGAWA,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-023,023,Mantyke,30,Water,,Basic,Three Diamond,Shibuzoh.,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-024,024,Cryogonal,80,Water,,Basic,One Diamond,Masakazu Fukuda,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-025,025,Raikou ex,130,Lightning,,Basic,Four Diamond,PLANETA CG Works,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-026,026,Tynamo,40,Lightning,,Basic,One Diamond,Naoki Saito,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-027,027,Eelektrik,90,Lightning,Tynamo,Stage1,One Diamond,Suwama Chiaki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-028,028,Eelektross,150,Lightning,Eelektrik,Stage2,Two Diamond,tetsuya koizumi,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-029,029,Stunfisk,90,Lightning,,Basic,One Diamond,Naoki Saito,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-030,030,Yamper,60,Lightning,,Basic,One Diamond,Akira Komayama,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-031,031,Boltund,120,Lightning,Yamper,Stage1,Three Diamond,Tomomi Ozaki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-032,032,Misdreavus,50,Psychic,,Basic,One Diamond,Suwama Chiaki,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
A4a-033,033,Mismagius,100,Psychic,Misdreavus,Stage1,Two Diamond,tono,"normal, reverse, holo",Secluded Springs,Pokémon TCG Pocket,105
