id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp3-1,1,Ampharos,130,Elektro,,Rang 2,"Selten, Holografisch",Kouki Saitou,"normal, reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-2,2,Turtok,120,Wasser,,Rang 2,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-3,3,Glurak,130,Feuer,,Rang 2,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-4,4,Entei,80,Feuer,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-5,5,Libelldra,120,Kampf,,Rang 2,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-6,6,Galagladi,130,Kampf,,Rang 2,"Selten, Holografisch",Daisuke Ito,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-7,7,Guardevoir,110,Psycho,,Rang 2,"Selten, Holografisch",Atsuko Nishida,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-8,8,Gastrodon Östliches Meer,100,Wasser,,Rang 1,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-9,9,Gastrodon Westliches Meer,100,Kampf,,Rang 1,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-10,10,Ho-Oh,90,Feuer,,Basis,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-11,11,Papungha,90,Pflanze,,Rang 2,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-12,12,Schlurplek,110,Farblos,,Rang 1,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-13,13,Kappalores,100,Wasser,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-14,14,Lugia,90,Farblos,,Basis,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-15,15,Mew,60,Psycho,,Basis,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-16,16,Raikou,80,Elektro,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-17,17,Roserade,90,Pflanze,,Rang 1,"Selten, Holografisch",Ken Sugimori,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-18,18,Brutalanda,140,Farblos,,Rang 2,"Selten, Holografisch",Kazuyuki Kano,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-19,19,Suicune,70,Wasser,,Basis,"Selten, Holografisch",Ryo Ueda,"reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-20,20,Bisaflor,130,Pflanze,,Rang 2,"Selten, Holografisch",Kazuyuki Kano,"normal, reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-21,21,Absol,70,Unlicht,,Basis,Selten,Ken Sugimori,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
dp3-22,22,Arkani,100,Feuer,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
dp3-23,23,Banette,80,Psycho,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
dp3-24,24,Digdri,90,Kampf,,Rang 1,Selten,Ken Sugimori,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
dp3-25,25,Elevoltek,100,Elektro,,Rang 1,Selten,Kouki Saitou,"normal, reverse, holo",Rätselhafte Wunder,Diamant & Perl,132
dp3-26,26,Lektrobal,80,Elektro,,Rang 1,Selten,Ken Sugimori,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
dp3-27,27,Wiesenior,90,Farblos,,Rang 1,Selten,Kagemaru Himeno,"normal, reverse",Rätselhafte Wunder,Diamant & Perl,132
