id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp3-1,1,Ampharos,130,Lightning,Flaaffy,Stage2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-2,2,Blastoise,120,Water,Wartortle,Stage2,Rare Holo,Daisuke Ito,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-3,3,Charizard,130,Fire,Charmeleon,Stage2,Rare Holo,Daisuke Ito,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-4,4,Entei,80,Fire,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-5,5,Flygon,120,Fighting,Vibrava,Stage2,Rare Holo,Daisuke Ito,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-6,6,Gallade,130,Fighting,Kirlia,Stage2,Rare Holo,Daisuke Ito,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-7,7,Gardevoir,110,Psychic,Kirlia,Stage2,Rare Holo,Atsuko Nishida,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-8,8,Gastrodon East Sea,100,Water,Shellos East Sea,Stage1,Rare Holo,Kazuyuki Kano,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-9,9,Gastrodon West Sea,100,Fighting,Shellos West Sea,Stage1,Rare Holo,Kazuyuki Kano,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-10,10,Ho-Oh,90,Fire,,Basic,Rare Holo,Kazuyuki Kano,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-11,11,Jumpluff,90,Grass,Skiploom,Stage2,Rare Holo,Kagemaru Himeno,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-12,12,Lickilicky,110,Colorless,Lickitung,Stage1,Rare Holo,Kazuyuki Kano,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-13,13,Ludicolo,100,Water,Lombre,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-14,14,Lugia,90,Colorless,,Basic,Rare Holo,Kazuyuki Kano,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-15,15,Mew,60,Psychic,,Basic,Rare Holo,Kagemaru Himeno,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-16,16,Raikou,80,Lightning,,Basic,Rare Holo,Ryo Ueda,"reverse, holo",Secret Wonders,Diamond & Pearl,132
dp3-17,17,Roserade,90,Grass,Roselia,Stage1,Rare Holo,Ken Sugimori,"reverse, holo",Secret Wonders,Diamond & Pearl,132
