id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp3-1,1,Pharamp,130,Électrique,Lainergie,Niveau 2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-2,2,Tortank,120,Eau,Carabaffe,Niveau 2,Rare Holo,Daisuke Ito,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-3,3,Dracaufeu,130,Feu,Reptincel,Niveau 2,Rare Holo,Daisuke Ito,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-4,4,Entei,80,Feu,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-5,5,Libegon,120,Combat,Vibraninf,Niveau 2,Rare Holo,Daisuke Ito,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-6,6,Gallame,130,Combat,Kirlia,Niveau 2,Rare Holo,Daisuke Ito,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-7,7,Gardevoir,110,Psy,Kirlia,Niveau 2,Rare Holo,Atsuko Nishida,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-8,8,Tritosor Mer Orient,100,Eau,Sancoki Mer Orient,Niveau 1,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-9,9,Tritosor Mer Occident,100,Combat,Sancoki Mer Occident,Niveau 1,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-10,10,Ho-Oh,90,Feu,,De base,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-11,11,Cotovol,90,Plante,Floravol,Niveau 2,Rare Holo,Kagemaru Himeno,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-12,12,Coudlangue,110,Incolore,Excelangue,Niveau 1,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-13,13,Ludicolo,100,Eau,Lombre,Niveau 2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-14,14,Lugia,90,Incolore,,De base,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-15,15,Mew,60,Psy,,De base,Rare Holo,Kagemaru Himeno,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-16,16,Raikou,80,Électrique,,De base,Rare Holo,Ryo Ueda,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-17,17,Roserade,90,Plante,Roselia,Niveau 1,Rare Holo,Ken Sugimori,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-18,18,Drattak,140,Incolore,Drackhaus,Niveau 2,Rare Holo,Kazuyuki Kano,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-19,19,Suicune,70,Eau,Suicune,De base,Rare Holo,Ryo Ueda,"reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-20,20,Florizarre,130,Plante,Herbizarre,Niveau 2,Rare Holo,Kazuyuki Kano,"normal, reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-21,21,Absol,70,Obscurité,,De base,Rare,Ken Sugimori,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-22,22,Arcanin,100,Feu,Caninos,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-23,23,Branette,80,Psy,Polichombr,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-24,24,Triopikeur,90,Combat,Taupiqueur,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-25,25,Elekable,100,Électrique,Elektek,Niveau 1,Rare,Kouki Saitou,"normal, reverse, holo",Merveilles Secrètes,Diamant & Perle,132
dp3-26,26,Electrode,80,Électrique,Voltorbe,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-27,27,Fouinar,90,Incolore,Fouinette,Niveau 1,Rare,Kagemaru Himeno,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
dp3-28,28,Akwakwak,90,Eau,Psykokwak,Niveau 1,Rare,Ken Sugimori,"normal, reverse",Merveilles Secrètes,Diamant & Perle,132
