id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh4.5-1,1,Yanma,80,Grass,,Basic,Common,Kouki Saitou,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-2,2,Yanmega,120,Grass,Yanma,Stage1,Rare,Souichirou Gunjima,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-3,3,Celebi,70,Grass,,Basic,Rare,Yuu Nishida,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-4,4,Cacnea,70,Grass,,Basic,Common,Uta,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-5,5,Tropius,110,Grass,,Basic,Uncommon,Akira Komayama,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-6,6,Rowlet,50,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-7,7,Dartrix,80,Grass,Rowlet,Stage1,Uncommon,AKIRA EGAWA,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-8,8,Decidueye,140,Grass,Dartrix,Stage2,Rare,Ryota Murayama,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-9,9,Dhelmise V,220,Grass,,Basic,Ultra Rare,Eske Yoshinob,holo,Shining Fates,Sword & Shield,195
swsh4.5-10,10,Dhelmise VMAX,330,Grass,Dhelmise V,VMAX,Ultra Rare,PLANETA Mochizuki,holo,Shining Fates,Sword & Shield,195
swsh4.5-11,11,Grookey,60,Grass,,Basic,Common,Naoki Saito,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-12,12,Thwackey,90,Grass,Grookey,Stage1,Uncommon,0313,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-13,13,Rillaboom,170,Grass,Thwackey,Stage2,Rare,Anesaki Dynamic,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-14,14,Gossifleur,60,Grass,,Basic,Common,Yukiko Baba,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-15,15,Eldegoss,90,Grass,Gossifleur,Stage1,Uncommon,kodama,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-16,16,Zarude,120,Grass,,Basic,Rare,Kouki Saitou,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-17,17,Reshiram,120,Fire,,Basic,Amazing Rare,PLANETA Tsuji,holo,Shining Fates,Sword & Shield,195
swsh4.5-18,18,Cinderace V,210,Fire,,Basic,Holo Rare V,5ban Graphics,holo,Shining Fates,Sword & Shield,195
swsh4.5-19,19,Cinderace VMAX,320,Fire,Cinderace V,VMAX,Holo Rare VMAX,PLANETA Mochizuki,holo,Shining Fates,Sword & Shield,195
swsh4.5-20,20,Horsea,40,Water,,Basic,Common,Taira Akitsu,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-21,21,Kyogre,120,Water,,Basic,Amazing Rare,Anesaki Dynamic,holo,Shining Fates,Sword & Shield,195
swsh4.5-22,22,Buizel,70,Water,,Basic,Common,ryoma uratsuka,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-23,23,Floatzel,110,Water,Buizel,Stage1,Uncommon,AKIRA EGAWA,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-24,24,Manaphy,70,Water,,Basic,Rare,Narumi Sato,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-25,25,Volcanion,130,Water,,Basic,Rare,nagimiso,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-26,26,Chewtle,80,Water,,Basic,Common,sowsow,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-27,27,Drednaw,140,Water,Chewtle,Stage1,Rare,Masakazu Fukuda,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-28,28,Cramorant,90,Water,,Basic,Uncommon,HYOGONOSUKE,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-29,29,Snom,50,Water,,Basic,Common,Tika Matsuno,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-30,30,Frosmoth,90,Water,Snom,Stage1,Holo Rare,Kagemaru Himeno,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-31,31,Shinx,60,Lightning,,Basic,Common,Uta,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-32,32,Luxio,90,Lightning,Shinx,Stage1,Uncommon,NC Empire,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-33,33,Luxray,160,Lightning,Luxio,Stage2,Holo Rare,Hasuno,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-34,34,Rotom,80,Lightning,,Basic,Uncommon,ryoma uratsuka,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-35,35,Morpeko,80,Lightning,,Basic,Common,Saya Tsuruta,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-36,36,Morpeko,80,Lightning,,Basic,Common,Hideki Ishikawa,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-37,37,Morpeko V,170,Lightning,,Basic,Holo Rare V,5ban Graphics,holo,Shining Fates,Sword & Shield,195
swsh4.5-38,38,Morpeko VMAX,300,Lightning,Morpeko V,VMAX,Holo Rare VMAX,PLANETA Mochizuki,holo,Shining Fates,Sword & Shield,195
swsh4.5-39,39,Indeedee V,180,Psychic,,Basic,Holo Rare V,5ban Graphics,holo,Shining Fates,Sword & Shield,195
swsh4.5-40,40,Trapinch,60,Fighting,,Basic,Common,MAHOU,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-41,41,Koffing,60,Darkness,,Basic,Common,Pani Kobayashi,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-42,42,Galarian Weezing,130,Darkness,Koffing,Stage1,Holo Rare,Mitsuhiro Arita,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-43,43,Spinarak,60,Darkness,,Basic,Common,sowsow,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-44,44,Crobat V,180,Darkness,,Basic,Holo Rare V,PLANETA Mochizuki,holo,Shining Fates,Sword & Shield,195
swsh4.5-45,45,Crobat VMAX,300,Darkness,Crobat V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Shining Fates,Sword & Shield,195
swsh4.5-46,46,Yveltal,110,Darkness,,Basic,Amazing Rare,Hasuno,holo,Shining Fates,Sword & Shield,195
swsh4.5-47,47,Nickit,70,Darkness,,Basic,Common,kirisAki,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-48,48,Thievul,100,Darkness,Nickit,Stage1,Holo Rare,Hideki Ishikawa,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-49,49,Cufant,100,Metal,,Basic,Common,0313,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-50,50,Ditto V,170,Colorless,,Basic,Holo Rare V,Saki Hayashiro,holo,Shining Fates,Sword & Shield,195
swsh4.5-51,51,Ditto VMAX,320,Colorless,Ditto V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Shining Fates,Sword & Shield,195
swsh4.5-52,52,Eevee,60,Colorless,,Basic,Common,so-taro,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-53,53,Greedent V,200,Colorless,,Basic,Holo Rare V,PLANETA Igarashi,holo,Shining Fates,Sword & Shield,195
swsh4.5-54,54,Cramorant V,200,Colorless,,Basic,Holo Rare V,aky CG Works,holo,Shining Fates,Sword & Shield,195
swsh4.5-55,55,Cramorant VMAX,320,Colorless,Cramorant V,VMAX,Holo Rare VMAX,PLANETA Tsuji,holo,Shining Fates,Sword & Shield,195
swsh4.5-56,56,Indeedee,100,Colorless,,Basic,Holo Rare,Souichirou Gunjima,"reverse, holo",Shining Fates,Sword & Shield,195
swsh4.5-57,57,Ball Guy,,,,,Uncommon,Hitoshi Ariga,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-58,58,Boss's Orders (Lysandre),,,,,Rare,Ryuta Fuse,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-59,59,Gym Trainer,,,,,Uncommon,Ryuta Fuse,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-60,60,Professor's Research (Professor Juniper),,,,,Rare,Hideki Ishikawa,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-61,61,Rusted Shield,,,,,Uncommon,5ban Graphics,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-62,62,Rusted Sword,,,,,Uncommon,5ban Graphics,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-63,63,Team Yell Towel,,,,,Uncommon,Studio Bora Inc.,"normal, reverse",Shining Fates,Sword & Shield,195
swsh4.5-64,64,Alcremie V,170,Psychic,,Basic,Ultra Rare,Ayaka Yoshida,holo,Shining Fates,Sword & Shield,195
swsh4.5-65,65,Ball Guy,,,,,Ultra Rare,Hitoshi Ariga,holo,Shining Fates,Sword & Shield,195
swsh4.5-66,66,Bird Keeper,,,,,Ultra Rare,Hideki Ishikawa,holo,Shining Fates,Sword & Shield,195
swsh4.5-67,67,Cara Liss,,,,,Ultra Rare,Hitoshi Ariga,holo,Shining Fates,Sword & Shield,195
swsh4.5-68,68,Gym Trainer,,,,,Ultra Rare,nagimiso,holo,Shining Fates,Sword & Shield,195
swsh4.5-69,69,Piers,,,,,Ultra Rare,Megumi Mizutani,holo,Shining Fates,Sword & Shield,195
