id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh4.5-1,1,Yanma,80,Plante,,De base,Commune,Kouki Saitou,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-2,2,Yanmega,120,Plante,Yanma,Niveau 1,Rare,Souichirou Gunjima,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-3,3,Celebi,70,Plante,,De base,Rare,Yuu Nishida,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-4,4,Cacnea,70,Plante,,De base,Commune,Uta,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-5,5,Tropius,110,Plante,,De base,Peu Commune,Akira Komayama,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-6,6,Brindibou,50,Plante,,De base,Commune,HYOGONOSUKE,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-7,7,Efflèche,80,Plante,Brindibou,Niveau 1,Peu Commune,AKIRA EGAWA,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-8,8,Archéduc,140,Plante,Efflèche,Niveau 2,Rare,Ryota Murayama,"reverse, holo",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-9,9,Sinistrail V,220,Plante,,De base,Ultra Rare,Eske Yoshinob,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-10,10,Sinistrail VMAX,330,Plante,Sinistrail-V,ESCOUADE,Ultra Rare,PLANETA Mochizuki,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-11,11,Ouistempo,60,Plante,,De base,Commune,Naoki Saito,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-12,12,Badabouin,90,Plante,Ouistempo,Niveau 1,Peu Commune,0313,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-13,13,Gorythmic,170,Plante,Badabouin,Niveau 2,Rare,Anesaki Dynamic,"reverse, holo",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-14,14,Tournicoton,60,Plante,,De base,Commune,Yukiko Baba,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-15,15,Blancoton,90,Plante,Tournicoton,Niveau 1,Peu Commune,kodama,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-16,16,Zarude,120,Plante,,De base,Rare,Kouki Saitou,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-17,17,Reshiram,120,Feu,,De base,Magnifique,PLANETA Tsuji,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-18,18,Pyrobut V,210,Feu,,De base,Holo Rare V,5ban Graphics,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-19,19,Pyrobut VMAX,320,Feu,Pyrobut-V,ESCOUADE,Holo Rare VMAX,PLANETA Mochizuki,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-20,20,Hypotrempe,40,Eau,,De base,Commune,Taira Akitsu,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-21,21,Kyogre,120,Eau,,De base,Magnifique,Anesaki Dynamic,holo,Destinées Radieuses,Épée et Bouclier,195
swsh4.5-22,22,Mustébouée,70,Eau,,De base,Commune,ryoma uratsuka,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-23,23,Mustéflott,110,Eau,Mustébouée,Niveau 1,Peu Commune,AKIRA EGAWA,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
swsh4.5-24,24,Manaphy,70,Eau,,De base,Rare,Narumi Sato,"normal, reverse",Destinées Radieuses,Épée et Bouclier,195
