id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm3.5-1,1,Bisasam,70,Pflanze,,Basis,Häufig,Mizue,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-2,2,Bisaknosp,100,Pflanze,,Rang 1,Häufig,Kouki Saitou,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-3,3,Bisaflor,160,Pflanze,,Rang 2,Ungewöhnlich,Eske Yoshinob,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-4,4,Knilz,60,Pflanze,,Basis,Häufig,kawayoo,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-5,5,Kapilz,110,Pflanze,,Rang 1,Häufig,Mizue,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-6,6,Venuflibis,100,Pflanze,,Basis,Ungewöhnlich,Tomokazu Komiya,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-7,7,Shaymin,70,Pflanze,,Basis,Selten,Mizue,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-8,8,Viridium,110,Pflanze,,Basis,Selten,kawayoo,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-9,9,Schimmerndes Genesect,130,Pflanze,,Basis,Ultra Selten,Hitoshi Ariga,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-10,10,Entei GX,180,Feuer,,,Selten,5ban Graphics,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-11,11,Qurtel,110,Feuer,,Basis,Häufig,Suwama Chiaki,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-12,12,Ignivor,80,Feuer,,Basis,Häufig,kawayoo,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-13,13,Ramoth,120,Feuer,,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-14,14,Reshiram,130,Feuer,,Basis,Selten,TOKIYA,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-15,15,Flamiau,60,Feuer,,Basis,Häufig,Mitsuhiro Arita,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-16,16,Miezunder,90,Feuer,,Rang 1,Häufig,Shin Nagasawa,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-17,17,Fuegro,170,Feuer,,Rang 2,Ungewöhnlich,Emi Ando,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-18,18,Karnimani,70,Wasser,,Basis,Häufig,TOKIYA,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-19,19,Tyracroc,90,Wasser,,Rang 1,Häufig,Naoki Saito,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-20,20,Impergator,160,Wasser,,Rang 2,Ungewöhnlich,nagimiso,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-21,21,Baldorfish,90,Wasser,,Basis,Häufig,Shin Nagasawa,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-22,22,Bamelin,60,Wasser,,Basis,Häufig,Sekio,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-23,23,Bojelin,100,Wasser,,Rang 1,Ungewöhnlich,Suwama Chiaki,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-24,24,Palkia,130,Wasser,,Basis,Selten,Eske Yoshinob,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-25,25,Manaphy,60,Wasser,,Basis,Selten,Kagemaru Himeno,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-26,26,Keldeo,110,Wasser,,Basis,Selten,kodama,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-27,27,Schimmerndes Volcanion,130,Wasser,,Basis,Ultra Selten,Hitoshi Ariga,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-28,28,Pikachu,60,Elektro,,Basis,Häufig,Kagemaru Himeno,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-29,29,Raichu GX,210,Elektro,,,Ultra Selten,5ban Graphics,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-30,30,Voltobal,60,Elektro,,Basis,Häufig,match,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-31,31,Lektrobal,90,Elektro,,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-32,32,Raikou,120,Elektro,,Basis,Selten,Mitsuhiro Arita,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-33,33,Plusle,70,Elektro,,Basis,Häufig,Tomokazu Komiya,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
sm3.5-34,34,Minun,70,Elektro,,Basis,Häufig,nagimiso,"normal, reverse, holo",Schimmernde Legenden,Sonne & Mond,78
