id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm3.5-1,1,Bulbasaur,70,Grass,,Basic,Common,Mizue,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-2,2,Ivysaur,100,Grass,Bulbasaur,Stage1,Common,Kouki Saitou,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-3,3,Venusaur,160,Grass,Ivysaur,Stage2,Uncommon,Eske Yoshinob,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-4,4,Shroomish,60,Grass,,Basic,Common,kawayoo,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-5,5,Breloom,110,Grass,Shroomish,Stage1,Common,Mizue,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-6,6,Carnivine,100,Grass,,Basic,Uncommon,Tomokazu Komiya,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-7,7,Shaymin,70,Grass,,Basic,Rare,Mizue,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-8,8,Virizion,110,Grass,,Basic,Rare,kawayoo,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-9,9,Shining Genesect,130,Grass,,Basic,Ultra Rare,Hitoshi Ariga,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-10,10,Entei GX,180,Fire,,,Rare,5ban Graphics,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-11,11,Torkoal,110,Fire,,Basic,Common,Suwama Chiaki,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-12,12,Larvesta,80,Fire,,Basic,Common,kawayoo,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-13,13,Volcarona,120,Fire,Larvesta,Stage1,Uncommon,nagimiso,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-14,14,Reshiram,130,Fire,,Basic,Rare,TOKIYA,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-15,15,Litten,60,Fire,,Basic,Common,Mitsuhiro Arita,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-16,16,Torracat,90,Fire,Litten,Stage1,Common,Shin Nagasawa,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-17,17,Incineroar,170,Fire,Torracat,Stage2,Uncommon,Emi Ando,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-18,18,Totodile,70,Water,,Basic,Common,TOKIYA,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-19,19,Croconaw,90,Water,Totodile,Stage1,Common,Naoki Saito,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-20,20,Feraligatr,160,Water,Croconaw,Stage2,Uncommon,nagimiso,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-21,21,Qwilfish,90,Water,,Basic,Common,Shin Nagasawa,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-22,22,Buizel,60,Water,,Basic,Common,Sekio,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-23,23,Floatzel,100,Water,Buizel,Stage1,Uncommon,Suwama Chiaki,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-24,24,Palkia,130,Water,,Basic,Rare,Eske Yoshinob,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-25,25,Manaphy,60,Water,,Basic,Rare,Kagemaru Himeno,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-26,26,Keldeo,110,Water,,Basic,Rare,kodama,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-27,27,Shining Volcanion,130,Water,,Basic,Ultra Rare,Hitoshi Ariga,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-28,28,Pikachu,60,Lightning,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-29,29,Raichu GX,210,Lightning,Pikachu,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-30,30,Voltorb,60,Lightning,,Basic,Common,match,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-31,31,Electrode,90,Lightning,Voltorb,Stage1,Uncommon,Kyoko Umemoto,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-32,32,Raikou,120,Lightning,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-33,33,Plusle,70,Lightning,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-34,34,Minun,70,Lightning,,Basic,Common,nagimiso,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-35,35,Zekrom,130,Lightning,,Basic,Rare,nagimiso,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-36,36,Ekans,70,Psychic,,Basic,Common,DemizuPosuka,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-37,37,Arbok,120,Psychic,Ekans,Stage1,Uncommon,kodama,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-38,38,Jynx,90,Psychic,,Basic,Common,Tomokazu Komiya,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-39,39,Mewtwo GX,190,Psychic,,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-40,40,Shining Mew,30,Psychic,,Basic,Ultra Rare,Sanosuke Sakuma,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-41,41,Latios,110,Psychic,,Basic,Rare,Mitsuhiro Arita,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-42,42,Shining Jirachi,70,Psychic,,Basic,Ultra Rare,Shigenori Negishi,"normal, reverse, holo",Shining Legends,Sun & Moon,78
sm3.5-43,43,Golett,90,Psychic,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Shining Legends,Sun & Moon,78
