id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm3.5-1,1,Bulbizarre,70,Plante,,De base,Commune,Mizue,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-2,2,Herbizarre,100,Plante,Bulbizarre,Niveau 1,Commune,Kouki Saitou,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-3,3,Florizarre,160,Plante,Herbizarre,Niveau 2,Peu Commune,Eske Yoshinob,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-4,4,Balignon,60,Plante,,De base,Commune,kawayoo,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-5,5,Chapignon,110,Plante,Balignon,Niveau 1,Commune,Mizue,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-6,6,Vortente,100,Plante,,De base,Peu Commune,Tomokazu Komiya,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-7,7,Shaymin,70,Plante,,De base,Rare,Mizue,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-8,8,Viridium,110,Plante,,De base,Rare,kawayoo,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-9,9,Genesect Brillant,130,Plante,,De base,Ultra Rare,Hitoshi Ariga,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-10,10,Entei GX,180,Feu,,,Rare,5ban Graphics,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-11,11,Chartor,110,Feu,,De base,Commune,Suwama Chiaki,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-12,12,Pyronille,80,Feu,,De base,Commune,kawayoo,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-13,13,Pyrax,120,Feu,Pyronille,Niveau 1,Peu Commune,nagimiso,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-14,14,Reshiram,130,Feu,,De base,Rare,TOKIYA,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-15,15,Flamiaou,60,Feu,,De base,Commune,Mitsuhiro Arita,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-16,16,Matoufeu,90,Feu,Flamiaou,Niveau 1,Commune,Shin Nagasawa,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-17,17,Félinferno,170,Feu,Matoufeu,Niveau 2,Peu Commune,Emi Ando,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-18,18,Kaiminus,70,Eau,,De base,Commune,TOKIYA,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-19,19,Crocrodil,90,Eau,Kaiminus,Niveau 1,Commune,Naoki Saito,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-20,20,Aligatueur,160,Eau,Crocrodil,Niveau 2,Peu Commune,nagimiso,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-21,21,Qwilfish,90,Eau,,De base,Commune,Shin Nagasawa,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-22,22,Mustébouée,60,Eau,,De base,Commune,Sekio,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
sm3.5-23,23,Mustéflott,100,Eau,Mustébouée,Niveau 1,Peu Commune,Suwama Chiaki,"normal, reverse, holo",Légendes Brillantes,Soleil et Lune,78
