id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A2b-001,001,Weedle,50,Grass,,Basic,One Diamond,Akira Komayama,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-002,002,Kakuna,80,Grass,Weedle,Stage1,Two Diamond,Yuka Morii,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-003,003,Beedrill ex,170,Grass,Kakuna,Stage2,Four Diamond,PLANETA Igarashi,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-004,004,Pinsir,90,Grass,,Basic,One Diamond,Satoshi Shirai,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-005,005,Sprigatito,60,Grass,,Basic,One Diamond,mashu,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-006,006,Floragato,90,Grass,Sprigatito,Stage1,Two Diamond,mashu,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-007,007,Meowscarada,140,Grass,Floragato,Stage2,Three Diamond,mashu,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-008,008,Charmander,60,Fire,,Basic,One Diamond,Megumi Mizutani,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-009,009,Charmeleon,90,Fire,Charmander,Stage1,Two Diamond,kodama,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-010,010,Charizard ex,180,Fire,Charmeleon,Stage2,Four Diamond,PLANETA Igarashi,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-011,011,Magmar,70,Fire,,Basic,One Diamond,Miki Tanaka,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-012,012,Magmortar,120,Fire,Magmar,Stage1,Three Diamond,Miki Tanaka,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-013,013,Paldean Tauros,110,Fire,,Basic,Two Diamond,Minahamu,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-014,014,Tentacool,70,Water,,Basic,One Diamond,Shibuzoh.,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-015,015,Tentacruel,100,Water,Tentacool,Stage1,Two Diamond,match,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-016,016,Buizel,70,Water,,Basic,One Diamond,sui,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-017,017,Floatzel,90,Water,Buizel,Stage1,Two Diamond,Kouki Saitou,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-018,018,Wiglett,60,Water,,Basic,One Diamond,miki kudo,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-019,019,Wugtrio ex,140,Water,Wiglett,Stage1,Four Diamond,PLANETA Tsuji,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-020,020,Dondozo,120,Water,,Basic,Three Diamond,Tomowaka,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-021,021,Tatsugiri,70,Water,,Basic,Two Diamond,Tomowaka,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-022,022,Pikachu ex,120,Lightning,,Basic,Four Diamond,PLANETA Igarashi,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-023,023,Voltorb,70,Lightning,,Basic,One Diamond,Masakazu Fukuda,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-024,024,Electrode,90,Lightning,Voltorb,Stage1,Two Diamond,Shigenori Negishi,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
A2b-025,025,Pachirisu,70,Lightning,,Basic,Two Diamond,imoniii,"normal, reverse, holo",Shining Revelry,Pokémon TCG Pocket,111
