id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
swsh12-001,001,Bluzuk,60,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-002,002,Omot,90,Pflanze,Bluzuk,Rang 1,Ungewöhnlich,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-003,003,Webarak,60,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-004,004,Ariados,90,Pflanze,Webarak,Rang 1,Holografisch Selten,,"reverse, holo",Silberne Sturmwinde,Schwert & Schild,245
swsh12-005,005,Sonnkern,40,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-006,006,Sonnflora,90,Pflanze,Sonnkern,Rang 1,Ungewöhnlich,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-007,007,Serpiroyal V,210,Pflanze,,Basis,Holografisch Selten V,,holo,Silberne Sturmwinde,Schwert & Schild,245
swsh12-008,008,Serpiroyal VSTAR,270,Pflanze,Serpiroyal-V,VSTAR,Holografisch Selten VSTAR,,holo,Silberne Sturmwinde,Schwert & Schild,245
swsh12-009,009,Lilminip,50,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-010,010,Hisui-Dressella,120,Pflanze,Lilminip,Rang 1,Selten,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-011,011,Tarnpignon,50,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-012,012,Hutsassa,90,Pflanze,Tarnpignon,Rang 1,Selten,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-013,013,Fermicula,110,Pflanze,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-014,014,Viridium,110,Pflanze,,Basis,Selten,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-015,015,Brigaron V,230,Pflanze,,Basis,Holografisch Selten V,,holo,Silberne Sturmwinde,Schwert & Schild,245
swsh12-016,016,Strahlendes Fruyal,140,Pflanze,,Basis,"Selten, Strahlend",,holo,Silberne Sturmwinde,Schwert & Schild,245
swsh12-017,017,Vulpix,70,Feuer,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-018,018,Vulnona,110,Feuer,Vulpix,Rang 1,Ungewöhnlich,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-019,019,Fukano,90,Feuer,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-020,020,Arkani,140,Feuer,Fukano,Rang 1,Selten,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-021,021,Ponita,70,Feuer,,Basis,Häufig,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-022,022,Gallopa,100,Feuer,Ponita,Rang 1,Holografisch Selten,,"reverse, holo",Silberne Sturmwinde,Schwert & Schild,245
swsh12-023,023,Victini,70,Feuer,,Basis,Selten,,"normal, reverse",Silberne Sturmwinde,Schwert & Schild,245
swsh12-024,024,Reshiram V,220,Feuer,,Basis,Holografisch Selten V,,holo,Silberne Sturmwinde,Schwert & Schild,245
