id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ecard3-1,1,Aerodactyl,70,Kampf,,Rang 1,Selten,Toshinao Aoki,"normal, reverse",Skyridge,e-Card,182
ecard3-2,2,Simsala,100,Psycho,,Rang 2,Selten,Kimiya Masago,"normal, reverse",Skyridge,e-Card,182
ecard3-3,3,Arkani,80,Feuer,,Rang 1,Selten,Aya Kusube,"normal, reverse",Skyridge,e-Card,182
ecard3-4,4,Arktos,80,Wasser,,Basis,Selten,Hajime Kusajima,"normal, reverse",Skyridge,e-Card,182
ecard3-5,5,Bibor,80,Pflanze,,Rang 2,Selten,Hikaru Koike,"normal, reverse",Skyridge,e-Card,182
ecard3-6,6,Iksbat,90,Pflanze,,Rang 2,Selten,Kimiya Masago,"normal, reverse",Skyridge,e-Card,182
ecard3-7,7,Jugong,80,Wasser,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Skyridge,e-Card,182
ecard3-8,8,Flamara,70,Feuer,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse",Skyridge,e-Card,182
ecard3-9,9,Forstellka,70,Metall,,Rang 1,Selten,Midori Harada,"normal, reverse",Skyridge,e-Card,182
ecard3-10,10,Gengar,100,Psycho,,Rang 2,Selten,Kyoko Umemoto,"normal, reverse",Skyridge,e-Card,182
ecard3-11,11,Garados,90,Wasser,,Rang 1,Selten,Kimiya Masago,"normal, reverse",Skyridge,e-Card,182
ecard3-12,12,Hundemon,70,Unlicht,,Rang 1,Selten,Kimiya Masago,"normal, reverse",Skyridge,e-Card,182
ecard3-13,13,Blitza,70,Elektro,,Rang 1,Selten,Hikaru Koike,"normal, reverse",Skyridge,e-Card,182
ecard3-14,14,Kabutops,90,Kampf,,Rang 2,Selten,Kouki Saitou,"normal, reverse",Skyridge,e-Card,182
ecard3-15,15,Ledian,70,Pflanze,,Rang 1,Selten,Hikaru Koike,"normal, reverse",Skyridge,e-Card,182
ecard3-16,16,Machomei,120,Kampf,,Rang 2,Selten,Naoyo Kimura,"normal, reverse",Skyridge,e-Card,182
ecard3-17,17,Magcargo,80,Feuer,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",Skyridge,e-Card,182
ecard3-18,18,Magcargo,80,Kampf,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Skyridge,e-Card,182
ecard3-19,19,Magneton,80,Elektro,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Skyridge,e-Card,182
ecard3-20,20,Magneton,70,Metall,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Skyridge,e-Card,182
ecard3-21,21,Lavados,80,Feuer,,Basis,Selten,Kouki Saitou,"normal, reverse",Skyridge,e-Card,182
ecard3-22,22,Nidoqueen,110,Pflanze,,Rang 2,Selten,Mitsuhiro Arita,"normal, reverse",Skyridge,e-Card,182
ecard3-23,23,Amoroso,90,Wasser,,Rang 2,Selten,Hajime Kusajima,"normal, reverse",Skyridge,e-Card,182
ecard3-24,24,Keifel,90,Wasser,,Rang 1,Selten,Yuka Morii,"normal, reverse",Skyridge,e-Card,182
ecard3-25,25,Quaxo,110,Wasser,,Rang 2,Selten,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-26,26,Quappo,110,Kampf,,Rang 2,Selten,Naoyo Kimura,"normal, reverse",Skyridge,e-Card,182
ecard3-27,27,Raichu,80,Elektro,,Rang 1,Selten,Yuka Morii,"normal, reverse",Skyridge,e-Card,182
ecard3-28,28,Raikou,70,Elektro,,Basis,Selten,Mitsuhiro Arita,"normal, reverse",Skyridge,e-Card,182
ecard3-29,29,Rizeros,90,Kampf,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Skyridge,e-Card,182
ecard3-30,30,Starmie,80,Psycho,,Rang 1,Selten,CR CG gangs,"normal, reverse",Skyridge,e-Card,182
ecard3-31,31,Stahlos,100,Metall,,Rang 1,Selten,Hikaru Koike,"normal, reverse",Skyridge,e-Card,182
ecard3-32,32,Nachtara,70,Unlicht,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-33,33,Aquana,70,Wasser,,Rang 1,Selten,Naoyo Kimura,"normal, reverse",Skyridge,e-Card,182
ecard3-34,34,Knuddeluff,70,Farblos,,Rang 1,Selten,Hizuki Misono,"normal, reverse",Skyridge,e-Card,182
ecard3-35,35,Xatu,80,Psycho,,Rang 1,Selten,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-36,36,Lektrobal,70,Elektro,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Skyridge,e-Card,182
ecard3-37,37,Kabuto,50,Kampf,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Skyridge,e-Card,182
ecard3-38,38,Maschock,80,Kampf,,Rang 1,Ungewöhnlich,Hisao Nakamura,"normal, reverse",Skyridge,e-Card,182
ecard3-39,39,Traunfugil,50,Psycho,,Basis,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-40,40,Noctuh,70,Farblos,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-41,41,Amonitas,60,Wasser,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Skyridge,e-Card,182
ecard3-42,42,Snobilikat,70,Farblos,,Rang 1,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Skyridge,e-Card,182
ecard3-43,43,Keifel,80,Kampf,,Rang 1,Ungewöhnlich,Shin-ichi Yoshida,"normal, reverse",Skyridge,e-Card,182
ecard3-44,44,Starmie,70,Wasser,,Rang 1,Ungewöhnlich,Kyoko Umemoto,"normal, reverse",Skyridge,e-Card,182
