id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A2-001,001,Myrapla,60,Pflanze,,Basis,Une Diamant,Asako Ito,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-002,002,Duflor,80,Pflanze,,Rang 1,Une Diamant,Shibuzoh.,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-003,003,Blubella,130,Pflanze,,Rang 2,deux Diamant,Naoyo Kimura,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-004,004,Tangela,70,Pflanze,,Basis,Une Diamant,Narumi Sato,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-005,005,Tangoloss,130,Pflanze,,Rang 1,deux Diamant,kodama,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-006,006,Yanma,50,Pflanze,,Basis,Une Diamant,Eri Yamaki,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-007,007,Yanmega-ex,140,Pflanze,,Rang 1,Quatre Diamant,PLANETA Tsuji,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-008,008,Roselia,70,Pflanze,,Basis,Une Diamant,kirisAki,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-009,009,Roserade,100,Pflanze,,Rang 1,deux Diamant,Masakazu Fukuda,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-010,010,Chelast,80,Pflanze,,Basis,Une Diamant,OOYAMA,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-011,011,Chelcarain,100,Pflanze,,Rang 1,deux Diamant,Sumiyoshi Kizuki,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-012,012,Chelterrar,160,Pflanze,,Rang 2,Trois Diamant,kawayoo,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-013,013,Zirpurze,60,Pflanze,,Basis,Une Diamant,Shigenori Negishi,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-014,014,Zirpeise,90,Pflanze,,Rang 1,Une Diamant,Naoyo Kimura,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-015,015,Burmy,60,Pflanze,,Basis,Une Diamant,Mugi Hamada,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-016,016,Burmadame,120,Pflanze,,Rang 1,Une Diamant,Kouki Saitou,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-017,017,Wadribie,50,Pflanze,,Basis,Une Diamant,Yukiko Baba,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-018,018,Honweisel,100,Pflanze,,Rang 1,deux Diamant,chibi,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-019,019,Venuflibis,90,Pflanze,,Basis,deux Diamant,Anesaki Dynamic,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
A2-020,020,Folipurba,90,Pflanze,,Rang 1,Trois Diamant,Kouki Saitou,"normal, reverse, holo",Kollision von Raum und Zeit,Pokémon‑Sammelkartenspiel‑Pocket,207
