id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
A2-001,001,Mystherbe,60,Plante,,De base,Un Diamant,Asako Ito,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-002,002,Ortide,80,Plante,,Niveau 1,Un Diamant,Shibuzoh.,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-003,003,Joliflor,130,Plante,,Niveau 2,Deux Diamants,Naoyo Kimura,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-004,004,Saquedeneu,70,Plante,,De base,Un Diamant,Narumi Sato,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-005,005,Bouldeneu,130,Plante,,Niveau 1,Deux Diamants,kodama,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-006,006,Yanma,50,Plante,,De base,Un Diamant,Eri Yamaki,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-007,007,Yanmega-ex,140,Plante,,Niveau 1,Quatre Diamants,PLANETA Tsuji,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-008,008,Rosélia,70,Plante,,De base,Un Diamant,kirisAki,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-009,009,Roserade,100,Plante,,Niveau 1,Deux Diamants,Masakazu Fukuda,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-010,010,Tortipouss,80,Plante,,De base,Un Diamant,OOYAMA,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
A2-011,011,Boskara,100,Plante,,Niveau 1,Deux Diamants,Sumiyoshi Kizuki,"normal, reverse, holo",Choc Spatio-Temporel,Jeu de Cartes à Collectionner Pokémon Pocket,207
