id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
xy11-1,1,Saquedeneu,80,Plante,,De base,Commune,OOYAMA,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-2,2,Bouldeneu,130,Plante,Saquedeneu,Niveau 1,Peu Commune,kirisAki,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-3,3,Granivol,40,Plante,,De base,Commune,Mina Nakai,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-4,4,Floravol,70,Plante,Granivol,Niveau 1,Peu Commune,Eri Yamaki,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-5,5,Cotovol,90,Plante,Floravol,Niveau 2,Rare,Suwama Chiaki,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-6,6,Yanma,70,Plante,,De base,Commune,match,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-7,7,Yanmega,110,Plante,Yanma,Niveau 1,Rare,Midori Harada,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-8,8,Yanmega TURBO,140,Plante,Yanmega,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-9,9,Grainipiot,50,Plante,,De base,Commune,sui,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-10,10,Pifeuil,70,Plante,Grainipiot,Niveau 1,Peu Commune,Ayaka Yoshida,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-11,11,Tengalice,140,"Plante, Obscurité",Pifeuil,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-12,12,Trompignon,40,Plante,,De base,Commune,Yuka Morii,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-13,13,Gaulet,90,Plante,Trompignon,Niveau 1,Rare,Ken Sugimori,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-14,14,Pyronille,70,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-15,15,Pyrax,110,"Feu, Plante",Pyronille,Niveau 1,Rare,Kouki Saitou,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-16,16,Ponyta,60,Feu,,De base,Commune,Sumiyoshi Kizuki,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-17,17,Galopa,90,Feu,Ponyta,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-18,18,Ouisticram,60,Feu,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-19,19,Chimpenfeu,80,Feu,Ouisticram,Niveau 1,Peu Commune,Mizue,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-20,20,Simiabraz,130,Feu,Chimpenfeu,Niveau 2,Rare,Naoki Saito,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-21,21,Flambusard TURBO,170,Feu,Flambusard,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-22,22,Hélionceau,60,Feu,,De base,Commune,Kyoko Umemoto,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-23,23,Némélios,120,Feu,Hélionceau,Niveau 1,Rare,Yumi,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-24,24,Némélios TURBO,160,Feu,Némélios,TURBO,Ultra Rare,5ban Graphics,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-25,25,Volcanion,130,Feu,,De base,Rare,5ban Graphics,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-26,26,Volcanion EX,180,"Feu, Eau",,De base,Ultra Rare,5ban Graphics,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-27,27,Démanta,100,Eau,,De base,Commune,DemizuPosuka,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-28,28,Sancoki,70,Eau,,De base,Commune,Sanosuke Sakuma,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-29,29,Tritosor,110,Eau,Sancoki,Niveau 1,Rare,Aya Kusube,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-30,30,Moustillon,60,Eau,,De base,Commune,sui,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-31,31,Mateloutre,90,Eau,Moustillon,Niveau 1,Peu Commune,Shin Nagasawa,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-32,32,Clamiral,140,Eau,Mateloutre,Niveau 2,Rare,Naoyo Kimura,"normal, reverse, holo",Offensive Vapeur,XY,116
xy11-33,33,Flingouste,60,Eau,,De base,Commune,Kanako Eo,"normal, reverse, holo",Offensive Vapeur,XY,116
