id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv07-001,001,Bisaflor-ex,340,Pflanze,Bisaknosp,Rang 2,Doppelselten,Saki Hayashiro,holo,Stellarkrone,Karmesin & Purpur,175
sv07-002,002,Ledyba,60,Pflanze,,Basis,Häufig,Whisker,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-003,003,Ledian,90,Pflanze,Ledyba,Rang 1,Selten,Masako Tomii,"reverse, holo",Stellarkrone,Karmesin & Purpur,175
sv07-004,004,Celebi,80,Pflanze,,Basis,Ungewöhnlich,satoma,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-005,005,Liliep,100,Pflanze,Antikes Wurzelfossil,Rang 1,Häufig,Ounishi,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-006,006,Wielie,150,Pflanze,Liliep,Rang 2,Selten,miki kudo,"reverse, holo",Stellarkrone,Karmesin & Purpur,175
sv07-007,007,Venuflibis,110,Pflanze,,Basis,Häufig,Mousho,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-008,008,Schneid-Rotom,90,Pflanze,,Basis,Häufig,Amelicart,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-009,009,Mabula,70,Pflanze,,Basis,Häufig,Jerky,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-010,010,Cottini,60,Pflanze,,Basis,Häufig,Heisuke Kitazawa,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-011,011,Cottomi,90,Pflanze,Cottini,Rang 1,Ungewöhnlich,Yuka Tanaka,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-012,012,Knapfel,40,Pflanze,,Basis,Häufig,Yoriyuki Ikegami,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-013,013,Sirapfel,90,Pflanze,Knapfel,Rang 1,Häufig,Souichirou Gunjima,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-014,014,Hydrapfel-ex,330,Pflanze,Sirapfel,Rang 2,Doppelselten,5ban Graphics,holo,Stellarkrone,Karmesin & Purpur,175
sv07-015,015,Micrick,50,Pflanze,,Basis,Häufig,HYOGONOSUKE,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-016,016,Lextremo,110,Pflanze,Micrick,Rang 1,Häufig,akagi,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-017,017,Tentagra,60,Pflanze,,Basis,Häufig,Tetsu Kayama,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-018,018,Tenterra,140,Pflanze,Tentagra,Rang 1,Ungewöhnlich,DOM,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-019,019,Ponita,70,Feuer,,Basis,Häufig,Atsushi Furusawa,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-020,020,Gallopa,120,Feuer,Ponita,Rang 1,Ungewöhnlich,danciao,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-021,021,Grillmak,70,Feuer,,Basis,Häufig,0313,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-022,022,Reshiram,130,Feuer,,Basis,Ungewöhnlich,Iwamoto05,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-023,023,Molunk,70,Feuer,,Basis,Häufig,Felicia Chen,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-024,024,Amfira,120,Feuer,Molunk,Rang 1,Ungewöhnlich,Taiga Kasai,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-025,025,Tortunator,130,Feuer,,Basis,Häufig,AKIRA EGAWA,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-026,026,Hopplo,70,Feuer,,Basis,Häufig,Cona Nitanda,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-027,027,Kickerlo,90,Feuer,Hopplo,Rang 1,Häufig,aspara,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-028,028,Liberlo-ex,320,Feuer,Kickerlo,Rang 2,Doppelselten,5ban Graphics,holo,Stellarkrone,Karmesin & Purpur,175
sv07-029,029,Knarbon,70,Feuer,,Basis,Häufig,Krgc,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-030,030,Turtok-ex,330,Wasser,Schillok,Rang 2,Doppelselten,PLANETA Igarashi,holo,Stellarkrone,Karmesin & Purpur,175
sv07-031,031,Lapras,130,Wasser,,Basis,Ungewöhnlich,rika,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-032,032,Lapras-ex,220,Wasser,,Basis,Doppelselten,5ban Graphics,holo,Stellarkrone,Karmesin & Purpur,175
sv07-033,033,Marill,70,Wasser,,Basis,Häufig,MARINA Chikazawa,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-034,034,Azumarill,120,Wasser,Marill,Rang 1,Ungewöhnlich,Jerky,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-035,035,Finneon,50,Wasser,,Basis,Häufig,Yukiko Baba,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-036,036,Lumineon,110,Wasser,Finneon,Rang 1,Ungewöhnlich,Shigenori Negishi,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-037,037,Galapaflos,100,Wasser,Antikes Schildfossil,Rang 1,Häufig,takashi shiraishi,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-038,038,Karippas,160,Wasser,Galapaflos,Rang 2,Selten,LINNE,"reverse, holo",Stellarkrone,Karmesin & Purpur,175
sv07-039,039,Froxy,60,Wasser,,Basis,Häufig,MINAMINAMI Take,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-040,040,Amphizel,90,Wasser,Froxy,Rang 1,Ungewöhnlich,Ryuta Fuse,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-041,041,Quajutsu-ex,300,Wasser,Amphizel,Rang 2,Doppelselten,5ban Graphics,holo,Stellarkrone,Karmesin & Purpur,175
sv07-042,042,Krawell,160,Wasser,Krabbox,Rang 1,Ungewöhnlich,nagimiso,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
sv07-043,043,Kamehaps,80,Wasser,,Basis,Häufig,Yuka Morii,"normal, reverse",Stellarkrone,Karmesin & Purpur,175
