id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv07-001,001,Venusaur ex,340,Grass,Ivysaur,Stage2,Double rare,Saki Hayashiro,holo,Stellar Crown,Scarlet & Violet,175
sv07-002,002,Ledyba,60,Grass,,Basic,Common,Whisker,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-003,003,Ledian,90,Grass,Ledyba,Stage1,Rare,Masako Tomii,"reverse, holo",Stellar Crown,Scarlet & Violet,175
sv07-004,004,Celebi,80,Grass,,Basic,Uncommon,satoma,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-005,005,Lileep,100,Grass,Antique Root Fossil,Stage1,Common,Ounishi,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-006,006,Cradily,150,Grass,Lileep,Stage2,Rare,miki kudo,"reverse, holo",Stellar Crown,Scarlet & Violet,175
sv07-007,007,Carnivine,110,Grass,,Basic,Common,Mousho,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-008,008,Mow Rotom,90,Grass,,Basic,Common,Amelicart,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-009,009,Grubbin,70,Grass,,Basic,Common,Jerky,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-010,010,Gossifleur,60,Grass,,Basic,Common,Heisuke Kitazawa,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-011,011,Eldegoss,90,Grass,Gossifleur,Stage1,Uncommon,Yuka Tanaka,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-012,012,Applin,40,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-013,013,Dipplin,90,Grass,Applin,Stage1,Common,Souichirou Gunjima,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-014,014,Hydrapple ex,330,Grass,Dipplin,Stage2,Double rare,5ban Graphics,holo,Stellar Crown,Scarlet & Violet,175
sv07-015,015,Nymble,50,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-016,016,Lokix,110,Grass,Nymble,Stage1,Common,akagi,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-017,017,Toedscool,60,Grass,,Basic,Common,Tetsu Kayama,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-018,018,Toedscruel,140,Grass,Toedscool,Stage1,Uncommon,DOM,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-019,019,Ponyta,70,Fire,,Basic,Common,Atsushi Furusawa,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-020,020,Rapidash,120,Fire,Ponyta,Stage1,Uncommon,danciao,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-021,021,Pansear,70,Fire,,Basic,Common,0313,"normal, reverse",Stellar Crown,Scarlet & Violet,175
sv07-022,022,Reshiram,130,Fire,,Basic,Uncommon,Iwamoto05,"normal, reverse",Stellar Crown,Scarlet & Violet,175
