id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv07-001,001,Florizarre-ex,340,Plante,Herbizarre,Niveau 2,Double rare,Saki Hayashiro,holo,Couronne Stellaire,Écarlate et Violet,175
sv07-002,002,Coxy,60,Plante,,De base,Commune,Whisker,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-003,003,Coxyclaque,90,Plante,Coxy,Niveau 1,Rare,Masako Tomii,"reverse, holo",Couronne Stellaire,Écarlate et Violet,175
sv07-004,004,Celebi,80,Plante,,De base,Peu Commune,satoma,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-005,005,Lilia,100,Plante,Fossile Racine Ancien,Niveau 1,Commune,Ounishi,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-006,006,Vacilys,150,Plante,Lilia,Niveau 2,Rare,miki kudo,"reverse, holo",Couronne Stellaire,Écarlate et Violet,175
sv07-007,007,Vortente,110,Plante,,De base,Commune,Mousho,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-008,008,Motisma Tonte,90,Plante,,De base,Commune,Amelicart,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-009,009,Larvibule,70,Plante,,De base,Commune,Jerky,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-010,010,Tournicoton,60,Plante,,De base,Commune,Heisuke Kitazawa,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-011,011,Blancoton,90,Plante,Tournicoton,Niveau 1,Peu Commune,Yuka Tanaka,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-012,012,Verpom,40,Plante,,De base,Commune,Yoriyuki Ikegami,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-013,013,Pomdramour,90,Plante,Verpom,Niveau 1,Commune,Souichirou Gunjima,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-014,014,Pomdorochi-ex,330,Plante,Pomdramour,Niveau 2,Double rare,5ban Graphics,holo,Couronne Stellaire,Écarlate et Violet,175
sv07-015,015,Lilliterelle,50,Plante,,De base,Commune,HYOGONOSUKE,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-016,016,Gambex,110,Plante,Lilliterelle,Niveau 1,Commune,akagi,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-017,017,Terracool,60,Plante,,De base,Commune,Tetsu Kayama,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-018,018,Terracruel,140,Plante,Terracool,Niveau 1,Peu Commune,DOM,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-019,019,Ponyta,70,Feu,,De base,Commune,Atsushi Furusawa,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-020,020,Galopa,120,Feu,Ponyta,Niveau 1,Peu Commune,danciao,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-021,021,Flamajou,70,Feu,,De base,Commune,0313,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-022,022,Reshiram,130,Feu,,De base,Peu Commune,Iwamoto05,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-023,023,Tritox,70,Feu,,De base,Commune,Felicia Chen,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
sv07-024,024,Malamandre,120,Feu,Tritox,Niveau 1,Peu Commune,Taiga Kasai,"normal, reverse",Couronne Stellaire,Écarlate et Violet,175
