id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp7-1,1,Zwirrfinst,120,Psycho,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-2,2,Impoleon,130,Metall,,Rang 2,"Selten, Holografisch",Kouki Saitou,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-3,3,Panferno,120,Kampf,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-4,4,Lumineon,80,Wasser,,Rang 1,"Selten, Holografisch",Kent Kanetsuna,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-5,5,Magnezone,120,Metall,,Rang 2,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-6,6,Magnezone,120,Elektro,,Rang 2,"Selten, Holografisch",Tomoaki Imakuni,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-7,7,Traunmagil,80,Psycho,,Rang 1,"Selten, Holografisch",Midori Harada,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-8,8,Raichu,90,Elektro,,Rang 1,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-9,9,Regigigas,100,Farblos,,Basis,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-10,10,Gewaldro,110,Pflanze,,Rang 2,"Selten, Holografisch",Suwama Chiaki,"normal, reverse, holo",Sturmtief,Diamant & Perl,106
dp7-11,11,Chelterrar,140,Kampf,,Rang 2,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Sturmtief,Diamant & Perl,106
dp7-12,12,Rexblisar,100,Wasser,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-13,13,Bronzong,90,Psycho,,Rang 1,Selten,Kyoko Umemoto,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-14,14,Kinoso,80,Pflanze,,Rang 1,Selten,Suwama Chiaki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-15,15,Piondragi,110,Unlicht,,Rang 1,Selten,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-16,16,Drifzepeli,90,Psycho,,Rang 1,Selten,Hajime Kusajima,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-17,17,Zwirrfinst,120,Psycho,,Rang 2,Selten,Tomoaki Imakuni,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-18,18,Gengar,110,Psycho,,Rang 2,Selten,Hajime Kusajima,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-19,19,Garados,130,Wasser,,Rang 1,Selten,Midori Harada,"normal, reverse, holo",Sturmtief,Diamant & Perl,106
dp7-20,20,Machomei,130,Kampf,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-21,21,Mamutel,140,Kampf,,Rang 2,Selten,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-22,22,Gallopa,80,Feuer,,Rang 1,Selten,Suwama Chiaki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-23,23,Roserade,90,Psycho,,Rang 1,Selten,Mitsuhiro Arita,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-24,24,Brutalanda,140,Farblos,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-25,25,Scherox,100,Pflanze,,Rang 1,Selten,Midori Harada,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-26,26,Skuntank,100,Unlicht,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-27,27,Staraptor,120,Farblos,,Rang 2,Selten,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-28,28,Stahlos,130,Metall,,Rang 1,Selten,Naoyo Kimura,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-29,29,Tangoloss,110,Pflanze,,Rang 1,Selten,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-30,30,Despotar,140,Unlicht,,Rang 2,Selten,Kagemaru Himeno,"normal, reverse, holo",Sturmtief,Diamant & Perl,106
dp7-31,31,Honweisel,100,Pflanze,,Rang 1,Selten,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-32,32,Bidifas,100,Wasser,,Rang 1,Ungewöhnlich,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-33,33,Knospi,40,Psycho,,Basis,Ungewöhnlich,Yuka Morii,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-34,34,Zwirrklop,80,Psycho,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-35,35,Zwirrklop,80,Psycho,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-36,36,Lektrobal,90,Elektro,,Rang 1,Ungewöhnlich,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-37,37,Lektrobal,80,Elektro,,Rang 1,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-38,38,Porenta,70,Farblos,,Basis,Ungewöhnlich,Sumiyoshi Kizuki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-39,39,Reptain,80,Pflanze,,Rang 1,Ungewöhnlich,Naoyo Kimura,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-40,40,Alpollo,80,Psycho,,Rang 1,Ungewöhnlich,Yukiko Baba,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-41,41,Maschock,80,Kampf,,Rang 1,Ungewöhnlich,Sachiko Adachi,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-42,42,Magneton,80,Metall,,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-43,43,Magneton,80,Elektro,,Rang 1,Ungewöhnlich,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-44,44,Miltank,70,Farblos,,Basis,Ungewöhnlich,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-45,45,Pichu,50,Elektro,,Basis,Ungewöhnlich,Atsuko Nishida,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-46,46,Keifel,90,Kampf,,Rang 1,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-47,47,Pupitar,80,Kampf,,Rang 1,Ungewöhnlich,Hajime Kusajima,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-48,48,Zobiris,60,Unlicht,,Basis,Ungewöhnlich,Kyoko Umemoto,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-49,49,Sichlor,60,Pflanze,,Basis,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-50,50,Draschel,90,Farblos,,Rang 1,Ungewöhnlich,Tomokazu Komiya,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-51,51,Panzaeron,80,Metall,,Basis,Ungewöhnlich,Kagemaru Himeno,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-52,52,Staravia,70,Farblos,,Rang 1,Ungewöhnlich,Midori Harada,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-53,53,Kindwurm,50,Farblos,,Basis,Häufig,Aya Kusube,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-54,54,Bidiza,60,Farblos,,Basis,Häufig,Yuka Morii,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-55,55,Bronzel,60,Psycho,,Basis,Häufig,Miki Tanaka,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-56,56,Kikugi,50,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-57,57,Wadribie,50,Pflanze,,Basis,Häufig,Miki Tanaka,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-58,58,Driftlon,50,Psycho,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-59,59,Zwirrlicht,50,Psycho,,Basis,Häufig,Kouki Saitou,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-60,60,Zwirrlicht,50,Psycho,,Basis,Häufig,Sachiko Adachi,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-61,61,Finneon,50,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-62,62,Nebulak,50,Psycho,,Basis,Häufig,Aya Kusube,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-63,63,Larvitar,50,Kampf,,Basis,Häufig,Yuka Morii,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-64,64,Machollo,60,Kampf,,Basis,Häufig,Midori Harada,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-65,65,Karpador,30,Wasser,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-66,66,Magnetilo,50,Metall,,Basis,Häufig,Aya Kusube,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-67,67,Magnetilo,50,Elektro,,Basis,Häufig,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-68,68,Traunfugil,60,Psycho,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-69,69,Onix,90,Kampf,,Basis,Häufig,Kyoko Umemoto,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-70,70,Pikachu,70,Elektro,,Basis,Häufig,Hajime Kusajima,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-71,71,Ponita,50,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-72,72,Roselia,70,Psycho,,Basis,Häufig,Sumiyoshi Kizuki,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-73,73,Pionskora,60,Pflanze,,Basis,Häufig,Sachiko Adachi,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-74,74,Shnebedeck,50,Wasser,,Basis,Häufig,Kagemaru Himeno,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-75,75,Staralili,50,Farblos,,Basis,Häufig,Atsuko Nishida,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-76,76,Skunkapuh,60,Unlicht,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-77,77,Quiekel,50,Kampf,,Basis,Häufig,Yukiko Baba,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-78,78,Tangela,70,Pflanze,,Basis,Häufig,Yukiko Baba,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-79,79,Geckarbor,50,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-80,80,Voltobal,60,Elektro,,Basis,Häufig,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-81,81,Voltobal,60,Elektro,,Basis,Häufig,Miki Tanaka,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-82,82,Leitmetall-Mine,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-83,83,Energie-Koppler,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-84,84,Energie-Umschalter,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-85,85,Superball,,,,,Ungewöhnlich,Kent Kanetsuna,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-86,86,Luxusball,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-87,87,Charlies Anfrage,,,,,Ungewöhnlich,Ken Sugimori,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-88,88,Poké-Puster +,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-89,89,Poké-Zieher +,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-90,90,Poké-Heiler +,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-91,91,Premierball,,,,,Ungewöhnlich,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-92,92,Trank,,,,,Häufig,Shin-ichi Yoshikawa,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-93,93,Tausch,,,,,Häufig,Ryo Ueda,"normal, reverse",Sturmtief,Diamant & Perl,106
dp7-94,94,Zyklon-Energie,,,,,Ungewöhnlich,Takumi Akabane,"normal, reverse",Sturmtief,Diamant & Perl,106
