id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
dp7-1,1,Noctunoir,120,Psy,Teraclope,Niveau 2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Tempête,Diamant & Perle,106
dp7-2,2,Pingoléon,130,Métal,Prinplouf,Niveau 2,Rare Holo,Kouki Saitou,"reverse, holo",Tempête,Diamant & Perle,106
dp7-3,3,Simiabraz,120,Combat,Chimpenfeu,Niveau 2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Tempête,Diamant & Perle,106
dp7-4,4,Luminéon,80,Eau,Ecayon,Niveau 1,Rare Holo,Kent Kanetsuna,"reverse, holo",Tempête,Diamant & Perle,106
dp7-5,5,Magnézone,120,Métal,Magneton,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Tempête,Diamant & Perle,106
dp7-6,6,Magnézone,120,Électrique,Magneton,Niveau 2,Rare Holo,Tomoaki Imakuni,"reverse, holo",Tempête,Diamant & Perle,106
dp7-7,7,Magirêve,80,Psy,Feuforêve,Niveau 1,Rare Holo,Midori Harada,"reverse, holo",Tempête,Diamant & Perle,106
dp7-8,8,Raichu,90,Électrique,Pikachu,Niveau 1,Rare Holo,Kagemaru Himeno,"reverse, holo",Tempête,Diamant & Perle,106
dp7-9,9,Regigigas,100,Incolore,Regigigas,De base,Rare Holo,Masakazu Fukuda,"reverse, holo",Tempête,Diamant & Perle,106
dp7-10,10,Jungko,110,Plante,Massko,Niveau 2,Rare Holo,Suwama Chiaki,"normal, reverse, holo",Tempête,Diamant & Perle,106
dp7-11,11,Torterra,140,Combat,Boskara,Niveau 2,Rare Holo,Masakazu Fukuda,"reverse, holo",Tempête,Diamant & Perle,106
dp7-12,12,Blizzaroi,100,Eau,Blizzi,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Tempête,Diamant & Perle,106
dp7-13,13,Archéodong,90,Psy,Archéomire,Niveau 1,Rare,Kyoko Umemoto,"normal, reverse",Tempête,Diamant & Perle,106
dp7-14,14,Ceriflor,80,Plante,Ceribou,Niveau 1,Rare,Suwama Chiaki,"normal, reverse",Tempête,Diamant & Perle,106
dp7-15,15,Drascore,110,Obscurité,Rapion,Niveau 1,Rare,Kent Kanetsuna,"normal, reverse",Tempête,Diamant & Perle,106
dp7-16,16,Grodrive,90,Psy,Baudrive,Niveau 1,Rare,Hajime Kusajima,"normal, reverse",Tempête,Diamant & Perle,106
dp7-17,17,Noctunoir,120,Psy,Teraclope,Niveau 2,Rare,Tomoaki Imakuni,"normal, reverse",Tempête,Diamant & Perle,106
dp7-18,18,Ectoplasma,110,Psy,Spectrum,Niveau 2,Rare,Hajime Kusajima,"normal, reverse",Tempête,Diamant & Perle,106
dp7-19,19,Leviator,130,Eau,Magicarpe,Niveau 1,Rare,Midori Harada,"normal, reverse, holo",Tempête,Diamant & Perle,106
dp7-20,20,Mackogneur,130,Combat,Machopeur,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse",Tempête,Diamant & Perle,106
dp7-21,21,Mammochon,140,Combat,Chochignon,Niveau 2,Rare,Kent Kanetsuna,"normal, reverse",Tempête,Diamant & Perle,106
dp7-22,22,Galopa,80,Feu,Ponyta,Niveau 1,Rare,Suwama Chiaki,"normal, reverse",Tempête,Diamant & Perle,106
dp7-23,23,Roserade,90,Psy,Roselia,Niveau 1,Rare,Mitsuhiro Arita,"normal, reverse",Tempête,Diamant & Perle,106
dp7-24,24,Drattak,140,Incolore,Drackhaus,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse",Tempête,Diamant & Perle,106
dp7-25,25,Cizayox,100,Plante,Insécateur,Niveau 1,Rare,Midori Harada,"normal, reverse",Tempête,Diamant & Perle,106
dp7-26,26,Moufflair,100,Obscurité,Moufouette,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Tempête,Diamant & Perle,106
dp7-27,27,Etouraptor,120,Incolore,Etourvol,Niveau 2,Rare,Kouki Saitou,"normal, reverse",Tempête,Diamant & Perle,106
dp7-28,28,Steelix,130,Métal,Onix,Niveau 1,Rare,Naoyo Kimura,"normal, reverse",Tempête,Diamant & Perle,106
dp7-29,29,Bouldeneu,110,Plante,Saquedeneu,Niveau 1,Rare,Kouki Saitou,"normal, reverse",Tempête,Diamant & Perle,106
dp7-30,30,Tyranocif,140,Obscurité,Ymphect,Niveau 2,Rare,Kagemaru Himeno,"normal, reverse, holo",Tempête,Diamant & Perle,106
dp7-31,31,Apireine,100,Plante,Apitrini,Niveau 1,Rare,Kent Kanetsuna,"normal, reverse",Tempête,Diamant & Perle,106
dp7-32,32,Castorno,100,Eau,Keunotor,Niveau 1,Peu Commune,Kouki Saitou,"normal, reverse",Tempête,Diamant & Perle,106
dp7-33,33,Rozbouton,40,Psy,Rozbouton,De base,Peu Commune,Yuka Morii,"normal, reverse",Tempête,Diamant & Perle,106
dp7-34,34,Teraclope,80,Psy,Skélénox,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse",Tempête,Diamant & Perle,106
dp7-35,35,Teraclope,80,Psy,Skélénox,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Tempête,Diamant & Perle,106
dp7-36,36,Electrode,90,Électrique,Voltorbe,Niveau 1,Peu Commune,Kent Kanetsuna,"normal, reverse",Tempête,Diamant & Perle,106
dp7-37,37,Electrode,80,Électrique,Voltorbe,Niveau 1,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Tempête,Diamant & Perle,106
dp7-38,38,Canarticho,70,Incolore,Canarticho,De base,Peu Commune,Sumiyoshi Kizuki,"normal, reverse",Tempête,Diamant & Perle,106
dp7-39,39,Massko,80,Plante,Arcko,Niveau 1,Peu Commune,Naoyo Kimura,"normal, reverse",Tempête,Diamant & Perle,106
dp7-40,40,Spectrum,80,Psy,Fantominus,Niveau 1,Peu Commune,Yukiko Baba,"normal, reverse",Tempête,Diamant & Perle,106
dp7-41,41,Machopeur,80,Combat,Machoc,Niveau 1,Peu Commune,Sachiko Adachi,"normal, reverse",Tempête,Diamant & Perle,106
