id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm1-1,1,Caterpie,50,Grass,,Basic,Common,Kanako Eo,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-2,2,Metapod,80,Grass,Caterpie,Stage1,Uncommon,Yuka Morii,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-3,3,Butterfree,130,Grass,Metapod,Stage2,Rare,chibi,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-4,4,Paras,60,Grass,,Basic,Common,Ayaka Yoshida,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-5,5,Parasect,110,Grass,Paras,Stage1,Rare,Eri Yamaki,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-6,6,Pinsir,110,Grass,,Basic,Uncommon,DemizuPosuka,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-7,7,Surskit,50,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-8,8,Masquerain,90,Grass,Surskit,Stage1,Rare,miki kudo,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-9,9,Rowlet,60,Grass,,Basic,Common,Megumi Mizutani,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-10,10,Dartrix,80,Grass,Rowlet,Stage1,Uncommon,Mizue,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-11,11,Decidueye,140,Grass,Dartrix,Stage2,Rare,Kouki Saitou,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-12,12,Decidueye GX,240,Grass,Dartrix,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-13,13,Grubbin,70,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-14,14,Fomantis,60,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-15,15,Lurantis GX,210,Grass,Fomantis,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-16,16,Morelull,60,Grass,,Basic,Common,Saya Tsuruta,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-17,17,Shiinotic,100,Grass,Morelull,Stage1,Rare,Mizue,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-18,18,Bounsweet,60,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-19,19,Steenee,90,Grass,Bounsweet,Stage1,Uncommon,Mizue,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-20,20,Tsareena,140,Grass,Steenee,Stage2,Rare,Shin Nagasawa,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-21,21,Growlithe,80,Fire,,Basic,Common,MAHOU,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-22,22,Arcanine,130,Fire,Growlithe,Stage1,Rare,kodama,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-23,23,Torkoal,110,Fire,,Basic,Common,sui,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-24,24,Litten,70,Fire,,Basic,Common,Akira Komayama,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-25,25,Torracat,90,Fire,Litten,Stage1,Uncommon,TOKIYA,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-26,26,Incineroar,160,Fire,Torracat,Stage2,Rare,Hitoshi Ariga,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
sm1-27,27,Incineroar GX,250,Fire,Torracat,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Sun & Moon,Sun & Moon,172
