id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl3-1,1,Absol G,70,Unlicht,,Basis,"Selten, Holografisch",Yusuke Ishikawa,"reverse, holo",Ultimative Sieger,Platin,153
pl3-2,2,Lohgock FB,80,Feuer,,Basis,"Selten, Holografisch",Motofumi Fujiwara,"reverse, holo",Ultimative Sieger,Platin,153
pl3-3,3,Drifzepeli FB,80,Psycho,,Basis,"Selten, Holografisch",Lee HyunJung,"reverse, holo",Ultimative Sieger,Platin,153
pl3-4,4,Elevoltek FB,90,Elektro,,Basis,"Selten, Holografisch",Hironobu Yoshida,"reverse, holo",Ultimative Sieger,Platin,153
pl3-5,5,Knakrack,130,Farblos,,Rang 2,"Selten, Holografisch",Mitsuhiro Arita,"reverse, holo",Ultimative Sieger,Platin,153
pl3-6,6,Magbrant,110,Feuer,,Rang 1,"Selten, Holografisch",Naoyo Kimura,"reverse, holo",Ultimative Sieger,Platin,153
pl3-7,7,Metagross,130,Metall,,Rang 2,"Selten, Holografisch",Kagemaru Himeno,"reverse, holo",Ultimative Sieger,Platin,153
pl3-8,8,Rayquaza C,100,Farblos,,Basis,"Selten, Holografisch",kawayoo,"reverse, holo",Ultimative Sieger,Platin,153
pl3-9,9,Regigigas FB,100,Farblos,,Basis,"Selten, Holografisch",Shin Nagasawa,"reverse, holo",Ultimative Sieger,Platin,153
pl3-10,10,Rihornior,140,Kampf,,Rang 2,"Selten, Holografisch",Hajime Kusajima,"reverse, holo",Ultimative Sieger,Platin,153
pl3-11,11,Staraptor FB,80,Farblos,,Basis,"Selten, Holografisch",Hiroki Fuchino,"reverse, holo",Ultimative Sieger,Platin,153
pl3-12,12,Sumpex,130,Wasser,,Rang 2,"Selten, Holografisch",Kagemaru Himeno,"normal, reverse, holo",Ultimative Sieger,Platin,153
pl3-13,13,Bisaflor,140,Pflanze,,Rang 2,"Selten, Holografisch",Kouki Saitou,"normal, reverse, holo",Ultimative Sieger,Platin,153
pl3-14,14,Yanmega,100,Pflanze,,Rang 1,"Selten, Holografisch",Masakazu Fukuda,"reverse, holo",Ultimative Sieger,Platin,153
