id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
pl3-1,1,Absol G,70,Darkness,,Basic,Rare Holo,Yusuke Ishikawa,"reverse, holo",Supreme Victors,Platinum,153
pl3-2,2,Blaziken FB,80,Fire,,Basic,Rare Holo,Motofumi Fujiwara,"reverse, holo",Supreme Victors,Platinum,153
pl3-3,3,Drifblim FB,80,Psychic,,Basic,Rare Holo,Lee HyunJung,"reverse, holo",Supreme Victors,Platinum,153
pl3-4,4,Electivire FB,90,Lightning,,Basic,Rare Holo,Hironobu Yoshida,"reverse, holo",Supreme Victors,Platinum,153
pl3-5,5,Garchomp,130,Colorless,Gabite,Stage2,Rare Holo,Mitsuhiro Arita,"reverse, holo",Supreme Victors,Platinum,153
pl3-6,6,Magmortar,110,Fire,Magmar,Stage1,Rare Holo,Naoyo Kimura,"reverse, holo",Supreme Victors,Platinum,153
pl3-7,7,Metagross,130,Metal,Metang,Stage2,Rare Holo,Kagemaru Himeno,"reverse, holo",Supreme Victors,Platinum,153
pl3-8,8,Rayquaza C,100,Colorless,,Basic,Rare Holo,kawayoo,"reverse, holo",Supreme Victors,Platinum,153
pl3-9,9,Regigigas FB,100,Colorless,,Basic,Rare Holo,Shin Nagasawa,"reverse, holo",Supreme Victors,Platinum,153
pl3-10,10,Rhyperior,140,Fighting,Rhydon,Stage2,Rare Holo,Hajime Kusajima,"reverse, holo",Supreme Victors,Platinum,153
pl3-11,11,Staraptor FB,80,Colorless,,Basic,Rare Holo,Hiroki Fuchino,"reverse, holo",Supreme Victors,Platinum,153
pl3-12,12,Swampert,130,Water,Marshtomp,Stage2,Rare Holo,Kagemaru Himeno,"normal, reverse, holo",Supreme Victors,Platinum,153
pl3-13,13,Venusaur,140,Grass,Ivysaur,Stage2,Rare Holo,Kouki Saitou,"normal, reverse, holo",Supreme Victors,Platinum,153
pl3-14,14,Yanmega,100,Grass,Yanma,Stage1,Rare Holo,Masakazu Fukuda,"reverse, holo",Supreme Victors,Platinum,153
pl3-15,15,Arcanine G,90,Fire,,Basic,Rare,Yusuke Ishikawa,"normal, reverse, holo",Supreme Victors,Platinum,153
pl3-16,16,Articuno,100,Water,,Basic,Rare,Mitsuhiro Arita,"reverse, holo",Supreme Victors,Platinum,153
pl3-17,17,Butterfree FB,90,Grass,,Basic,Rare,Lee HyunJung,"normal, reverse",Supreme Victors,Platinum,153
pl3-18,18,Camerupt,120,Fire,Numel,Stage1,Rare,Yukiko Baba,"reverse, holo",Supreme Victors,Platinum,153
pl3-19,19,Camerupt G,100,Fire,,Basic,Rare,Ryota Saito,"reverse, holo",Supreme Victors,Platinum,153
pl3-20,20,Charizard G,100,Fire,,Basic,Rare,Wataru Kawahara,"reverse, holo",Supreme Victors,Platinum,153
pl3-21,21,Chimecho,70,Psychic,,Basic,Rare,Yukiko Baba,"reverse, holo",Supreme Victors,Platinum,153
pl3-22,22,Claydol,90,Psychic,Baltoy,Stage1,Rare,Kouki Saitou,"reverse, holo",Supreme Victors,Platinum,153
pl3-23,23,Crawdaunt G,80,Darkness,,Basic,Rare,Wataru Kawahara,"reverse, holo",Supreme Victors,Platinum,153
pl3-24,24,Dewgong,100,Water,Seel,Stage1,Rare,Kanako Eo,"reverse, holo",Supreme Victors,Platinum,153
pl3-25,25,Dodrio,80,Colorless,Doduo,Stage1,Rare,Kouki Saitou,"reverse, holo",Supreme Victors,Platinum,153
pl3-26,26,Dusknoir FB,90,Psychic,,Basic,Rare,Motofumi Fujiwara,"normal, reverse",Supreme Victors,Platinum,153
pl3-27,27,Empoleon FB,90,Water,,Basic,Rare,Hiroki Fuchino,"normal, reverse",Supreme Victors,Platinum,153
pl3-28,28,Exploud,130,Colorless,Loudred,Stage2,Rare,Masakazu Fukuda,"reverse, holo",Supreme Victors,Platinum,153
pl3-29,29,Honchkrow,90,Darkness,Murkrow,Stage1,Rare,Mitsuhiro Arita,"reverse, holo",Supreme Victors,Platinum,153
pl3-30,30,Lickilicky C,90,Colorless,,Basic,Rare,kawayoo,"reverse, holo",Supreme Victors,Platinum,153
pl3-31,31,Lucario C,90,Fighting,,Basic,Rare,kawayoo,"reverse, holo",Supreme Victors,Platinum,153
pl3-32,32,Lunatone,70,Psychic,,Basic,Rare,Naoyo Kimura,"reverse, holo",Supreme Victors,Platinum,153
pl3-33,33,Mawile,70,Metal,,Basic,Rare,Suwama Chiaki,"reverse, holo",Supreme Victors,Platinum,153
pl3-34,34,Medicham,90,Psychic,Meditite,Stage1,Rare,Masakazu Fukuda,"reverse, holo",Supreme Victors,Platinum,153
pl3-35,35,Milotic C,90,Water,,Basic,Rare,kawayoo,"normal, reverse, holo",Supreme Victors,Platinum,153
pl3-36,36,Moltres,100,Fire,,Basic,Rare,Kouki Saitou,"reverse, holo",Supreme Victors,Platinum,153
pl3-37,37,Mr. Mime,70,Psychic,,Basic,Rare,Kouki Saitou,"reverse, holo",Supreme Victors,Platinum,153
pl3-38,38,Parasect,80,Grass,Paras,Stage1,Rare,Kagemaru Himeno,"reverse, holo",Supreme Victors,Platinum,153
pl3-39,39,Primeape,90,Fighting,Mankey,Stage1,Rare,Midori Harada,"reverse, holo",Supreme Victors,Platinum,153
