id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv08-001,001,Owei,30,Pflanze,,Basis,Häufig,Tetsu Kayama,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-002,002,Owei,50,Pflanze,,Basis,Häufig,OKUBO,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-003,003,Kokowei,130,Pflanze,Owei,Rang 1,Ungewöhnlich,Oswaldo KATO,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-004,004,Fermicula-ex,190,Pflanze,,Basis,Doppelselten,PLANETA Tsuji,holo,Stürmische Funken,Karmesin & Purpur,252
sv08-005,005,Purmel,40,Pflanze,,Basis,Häufig,Iori Suzuki,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-006,006,Puponcho,80,Pflanze,Purmel,Rang 1,Häufig,tono,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-007,007,Vivillon,120,Pflanze,Puponcho,Rang 2,Ungewöhnlich,Amelicart,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-008,008,Bubungus,60,Pflanze,,Basis,Häufig,Tomokazu Komiya,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-009,009,Lamellux,110,Pflanze,Bubungus,Rang 1,Ungewöhnlich,Aya Kusube,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-010,010,Moruda,130,Pflanze,,Basis,Häufig,Mori Yuu,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-011,011,Zarude,120,Pflanze,,Basis,Selten,GOSSAN,"reverse, holo",Stürmische Funken,Karmesin & Purpur,252
sv08-012,012,Chilingel,70,Pflanze,,Basis,Häufig,Julie Hang,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-013,013,Relluk,40,Pflanze,,Basis,Häufig,Toshinao Aoki,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-014,014,Skarabaks,70,Pflanze,Relluk,Rang 1,Selten,Masako Tomii,"reverse, holo",Stürmische Funken,Karmesin & Purpur,252
sv08-015,015,Chongjian,130,Pflanze,,Basis,Ungewöhnlich,danciao,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-016,016,Vulpix,70,Feuer,,Basis,Häufig,Narumi Sato,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-017,017,Vulnona,120,Feuer,Vulpix,Rang 1,Ungewöhnlich,Kamome Shirahama,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-018,018,Paldea-Tauros,130,Feuer,,Basis,Ungewöhnlich,Taiga Kasai,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-019,019,Ho-Oh,130,Feuer,,Basis,Ungewöhnlich,kodama,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-020,020,Formeo Sonnenform,70,Feuer,,Basis,Häufig,osare,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-021,021,Victini,70,Feuer,,Basis,Ungewöhnlich,0313,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-022,022,Grillmak,60,Feuer,,Basis,Häufig,Wintr Wandr,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-023,023,Grillchita,90,Feuer,Grillmak,Rang 1,Häufig,Taiga Kasai,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-024,024,Ignivor,70,Feuer,,Basis,Häufig,MARINA Chikazawa,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-025,025,Ramoth,140,Feuer,Ignivor,Rang 1,Häufig,matazo,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-026,026,Choreogel,90,Feuer,,Basis,Häufig,Heisuke Kitazawa,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-027,027,Thermopod,80,Feuer,,Basis,Häufig,Minahamu,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-028,028,Infernopod,130,Feuer,Thermopod,Rang 1,Häufig,Aliya Chen,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-029,029,Krokel,80,Feuer,,Basis,Häufig,Tomomi Ozaki,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-030,030,Lokroko,110,Feuer,Krokel,Rang 1,Häufig,Atsuya Uki,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-031,031,Skelokrok,180,Feuer,Lokroko,Rang 2,Selten,akagi,"reverse, holo",Stürmische Funken,Karmesin & Purpur,252
sv08-032,032,Knarbon,70,Feuer,,Basis,Häufig,Kariya,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-033,033,Knarbon,80,Feuer,,Basis,Häufig,Mékayu,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-034,034,Crimanzo,140,Feuer,Knarbon,Rang 1,Ungewöhnlich,DOM,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-035,035,Azugladis,140,Feuer,Knarbon,Rang 1,Ungewöhnlich,kantaro,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-036,036,Azugladis-ex,270,Feuer,Knarbon,Rang 1,Doppelselten,5ban Graphics,holo,Stürmische Funken,Karmesin & Purpur,252
sv08-037,037,Halupenjo-ex,260,Feuer,Chilingel,Rang 1,Doppelselten,PLANETA Mochizuki,holo,Stürmische Funken,Karmesin & Purpur,252
sv08-038,038,Keilflamme,130,Feuer,,Basis,Selten,AKIRA EGAWA,"reverse, holo",Stürmische Funken,Karmesin & Purpur,252
sv08-039,039,Paldea-Tauros,130,Wasser,,Basis,Ungewöhnlich,toi8,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-040,040,Mantax,110,Wasser,,Basis,Häufig,satoma,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-041,041,Barschwa,30,Wasser,,Basis,Häufig,Kedamahadaitai Yawarakai,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-042,042,Milotic-ex,270,Wasser,Barschwa,Rang 1,Doppelselten,hncl,holo,Stürmische Funken,Karmesin & Purpur,252
sv08-043,043,Seemops,70,Wasser,,Basis,Häufig,Teeziro,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-044,044,Seejong,100,Wasser,Seemops,Rang 1,Häufig,Mina Nakai,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-045,045,Walraisa,170,Wasser,Seejong,Rang 2,Ungewöhnlich,Mitsuhiro Arita,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-046,046,Schalellos,70,Wasser,,Basis,Häufig,Shinya Komatsu,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-047,047,Frigometri,90,Wasser,,Basis,Häufig,sui,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-048,048,Schwarzes Kyurem-ex,230,Wasser,,Basis,Doppelselten,kawayoo,holo,Stürmische Funken,Karmesin & Purpur,252
sv08-049,049,Knirfish,110,Wasser,,Basis,Ungewöhnlich,Shibuzoh.,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-050,050,Kwaks,60,Wasser,,Basis,Häufig,Saboteri,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-051,051,Fuentente,100,Wasser,Kwaks,Rang 1,Häufig,OKACHEKE,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-052,052,Bailonda,170,Wasser,Fuentente,Rang 2,Ungewöhnlich,nagimiso,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-053,053,Flaniwal,100,Wasser,,Basis,Häufig,Ayako Ozaki,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
sv08-054,054,Kolowal,180,Wasser,Flaniwal,Rang 1,Häufig,Uta,"normal, reverse",Stürmische Funken,Karmesin & Purpur,252
