id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv08-001,001,Exeggcute,30,Grass,,Basic,Common,Tetsu Kayama,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-002,002,Exeggcute,50,Grass,,Basic,Common,OKUBO,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-003,003,Exeggutor,130,Grass,Exeggcute,Stage1,Uncommon,Oswaldo KATO,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-004,004,Durant ex,190,Grass,,Basic,Double rare,PLANETA Tsuji,holo,Surging Sparks,Scarlet & Violet,252
sv08-005,005,Scatterbug,40,Grass,,Basic,Common,Iori Suzuki,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-006,006,Spewpa,80,Grass,Scatterbug,Stage1,Common,tono,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-007,007,Vivillon,120,Grass,Spewpa,Stage2,Uncommon,Amelicart,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-008,008,Morelull,60,Grass,,Basic,Common,Tomokazu Komiya,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-009,009,Shiinotic,110,Grass,Morelull,Stage1,Uncommon,Aya Kusube,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-010,010,Dhelmise,130,Grass,,Basic,Common,Mori Yuu,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-011,011,Zarude,120,Grass,,Basic,Rare,GOSSAN,"reverse, holo",Surging Sparks,Scarlet & Violet,252
sv08-012,012,Capsakid,70,Grass,,Basic,Common,Julie Hang,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-013,013,Rellor,40,Grass,,Basic,Common,Toshinao Aoki,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-014,014,Rabsca,70,Grass,Rellor,Stage1,Rare,Masako Tomii,"reverse, holo",Surging Sparks,Scarlet & Violet,252
sv08-015,015,Wo-Chien,130,Grass,,Basic,Uncommon,danciao,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-016,016,Vulpix,70,Fire,,Basic,Common,Narumi Sato,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-017,017,Ninetales,120,Fire,Vulpix,Stage1,Uncommon,Kamome Shirahama,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-018,018,Paldean Tauros,130,Fire,,Basic,Uncommon,Taiga Kasai,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-019,019,Ho-Oh,130,Fire,,Basic,Uncommon,kodama,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-020,020,Castform Sunny Form,70,Fire,,Basic,Common,osare,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-021,021,Victini,70,Fire,,Basic,Uncommon,0313,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-022,022,Pansear,60,Fire,,Basic,Common,Wintr Wandr,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-023,023,Simisear,90,Fire,Pansear,Stage1,Common,Taiga Kasai,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-024,024,Larvesta,70,Fire,,Basic,Common,MARINA Chikazawa,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-025,025,Volcarona,140,Fire,Larvesta,Stage1,Common,matazo,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-026,026,Oricorio,90,Fire,,Basic,Common,Heisuke Kitazawa,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-027,027,Sizzlipede,80,Fire,,Basic,Common,Minahamu,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-028,028,Centiskorch,130,Fire,Sizzlipede,Stage1,Common,Aliya Chen,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-029,029,Fuecoco,80,Fire,,Basic,Common,Tomomi Ozaki,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-030,030,Crocalor,110,Fire,Fuecoco,Stage1,Common,Atsuya Uki,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-031,031,Skeledirge,180,Fire,Crocalor,Stage2,Rare,akagi,"reverse, holo",Surging Sparks,Scarlet & Violet,252
sv08-032,032,Charcadet,70,Fire,,Basic,Common,Kariya,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-033,033,Charcadet,80,Fire,,Basic,Common,Mékayu,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-034,034,Armarouge,140,Fire,Charcadet,Stage1,Uncommon,DOM,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-035,035,Ceruledge,140,Fire,Charcadet,Stage1,Uncommon,kantaro,"normal, reverse",Surging Sparks,Scarlet & Violet,252
sv08-036,036,Ceruledge ex,270,Fire,Charcadet,Stage1,Double rare,5ban Graphics,holo,Surging Sparks,Scarlet & Violet,252
sv08-037,037,Scovillain ex,260,Fire,Capsakid,Stage1,Double rare,PLANETA Mochizuki,holo,Surging Sparks,Scarlet & Violet,252
sv08-038,038,Gouging Fire,130,Fire,,Basic,Rare,AKIRA EGAWA,"reverse, holo",Surging Sparks,Scarlet & Violet,252
sv08-039,039,Paldean Tauros,130,Water,,Basic,Uncommon,toi8,"normal, reverse",Surging Sparks,Scarlet & Violet,252
