id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv08-001,001,Noeunoeuf,30,Plante,,De base,Commune,Tetsu Kayama,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-002,002,Noeunoeuf,50,Plante,,De base,Commune,OKUBO,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-003,003,Noadkoko,130,Plante,Noeunoeuf,Niveau 1,Peu Commune,Oswaldo KATO,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-004,004,Fermite-ex,190,Plante,,De base,Double rare,PLANETA Tsuji,holo,Étincelles Déferlantes,Écarlate et Violet,252
sv08-005,005,Lépidonille,40,Plante,,De base,Commune,Iori Suzuki,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-006,006,Pérégrain,80,Plante,Lépidonille,Niveau 1,Commune,tono,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-007,007,Prismillon,120,Plante,Pérégrain,Niveau 2,Peu Commune,Amelicart,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-008,008,Spododo,60,Plante,,De base,Commune,Tomokazu Komiya,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-009,009,Lampignon,110,Plante,Spododo,Niveau 1,Peu Commune,Aya Kusube,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-010,010,Sinistrail,130,Plante,,De base,Commune,Mori Yuu,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-011,011,Zarude,120,Plante,,De base,Rare,GOSSAN,"reverse, holo",Étincelles Déferlantes,Écarlate et Violet,252
sv08-012,012,Pimito,70,Plante,,De base,Commune,Julie Hang,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-013,013,Léboulérou,40,Plante,,De base,Commune,Toshinao Aoki,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-014,014,Bérasca,70,Plante,Léboulérou,Niveau 1,Rare,Masako Tomii,"reverse, holo",Étincelles Déferlantes,Écarlate et Violet,252
sv08-015,015,Chongjian,130,Plante,,De base,Peu Commune,danciao,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-016,016,Goupix,70,Feu,,De base,Commune,Narumi Sato,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-017,017,Feunard,120,Feu,Goupix,Niveau 1,Peu Commune,Kamome Shirahama,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-018,018,Tauros de Paldea,130,Feu,,De base,Peu Commune,Taiga Kasai,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
sv08-019,019,Ho-Oh,130,Feu,,De base,Peu Commune,kodama,"normal, reverse",Étincelles Déferlantes,Écarlate et Violet,252
