id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
ex4-1,1,Team Aqua's Cacturne,80,"Grass, Darkness",,Stage1,Rare,K. Utsunomiya,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-2,2,Team Aqua's Crawdaunt,80,"Water, Darkness",,Stage1,Rare,Nakaoka,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-3,3,Team Aqua's Kyogre,100,"Water, Darkness",,Basic,Rare,K. Hoshiba,"normal, reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-4,4,Team Aqua's Manectric,70,"Lightning, Darkness",,Stage1,Rare,K. Utsunomiya,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-5,5,Team Aqua's Sharpedo,70,"Water, Darkness",,Stage1,Rare,Katsura Tabata,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-6,6,Team Aqua's Walrein,120,"Water, Darkness",,Stage2,Rare,Ken Ikuji,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-7,7,Team Magma's Aggron,120,"Fighting, Darkness",,Stage2,Rare,Hiromichi Sugiyama,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-8,8,Team Magma's Claydol,80,"Psychic, Darkness",,Stage1,Rare,Zu-Ka,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-9,9,Team Magma's Groudon,100,"Fighting, Darkness",,Basic,Rare,Kazuo Yazawa,"normal, reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-10,10,Team Magma's Houndoom,70,"Fire, Darkness",,Stage1,Rare,Ken Ikuji,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-11,11,Team Magma's Rhydon,90,"Fighting, Darkness",,Stage1,Rare,T. Honda,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-12,12,Team Magma's Torkoal,80,"Fire, Darkness",,Basic,Rare,K. Hoshiba,"reverse, holo",Team Magma vs Team Aqua,EX,97
ex4-13,13,Raichu,80,Lightning,,Stage1,Rare,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-14,14,Team Aqua's Crawdaunt,80,Water,,Stage1,Rare,Nakaoka,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-15,15,Team Aqua's Mightyena,70,Darkness,,Stage1,Rare,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-16,16,Team Aqua's Sealeo,70,Water,,Stage1,Rare,T. Honda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-17,17,Team Aqua's Seviper,80,Grass,,Basic,Rare,Jungo Suzuki,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-18,18,Team Aqua's Sharpedo,70,Water,,Stage1,Rare,Katsura Tabata,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-19,19,Team Magma's Camerupt,80,Fire,,Stage1,Rare,Katsura Tabata,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-20,20,Team Magma's Lairon,80,Fighting,,Stage1,Rare,Hiromichi Sugiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-21,21,Team Magma's Mightyena,70,Darkness,,Stage1,Rare,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-22,22,Team Magma's Rhydon,80,Fighting,,Stage1,Rare,T. Honda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-23,23,Team Magma's Zangoose,70,Colorless,,Basic,Rare,Zu-Ka,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-24,24,Team Aqua's Cacnea,50,"Grass, Darkness",,Basic,Uncommon,K. Utsunomiya,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-25,25,Team Aqua's Carvanha,50,Water,,Basic,Uncommon,Mt. TBT,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-26,26,Team Aqua's Corphish,50,Water,,Basic,Uncommon,Jungo Suzuki,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-27,27,Team Aqua's Electrike,50,Lightning,,Basic,Uncommon,M. Akiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-28,28,Team Aqua's Lanturn,80,Lightning,,Stage1,Uncommon,Jungo Suzuki,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-29,29,Team Aqua's Manectric,80,Lightning,,Stage1,Uncommon,K. Utsunomiya,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-30,30,Team Aqua's Mightyena,80,Darkness,,Stage1,Uncommon,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-31,31,Team Aqua's Sealeo,80,Water,,Stage1,Uncommon,T. Honda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-32,32,Team Magma's Baltoy,50,Psychic,,Basic,Uncommon,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-33,33,Team Magma's Claydol,80,Fighting,,Stage1,Uncommon,Zu-Ka,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-34,34,Team Magma's Houndoom,70,Fire,,Stage1,Uncommon,Ken Ikuji,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-35,35,Team Magma's Houndour,50,Fire,,Basic,Uncommon,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-36,36,Team Magma's Lairon,70,Fighting,,Stage1,Uncommon,Hiromichi Sugiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-37,37,Team Magma's Mightyena,80,Darkness,,Stage1,Uncommon,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-38,38,Team Magma's Rhyhorn,50,Fighting,,Basic,Uncommon,Mt. TBT,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-39,39,Bulbasaur,50,Grass,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-40,40,Cubone,50,Fighting,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-41,41,Jigglypuff,50,Colorless,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-42,42,Meowth,50,Colorless,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-43,43,Pikachu,50,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-44,44,Psyduck,40,Water,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-45,45,Slowpoke,50,Psychic,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-46,46,Squirtle,50,Water,,Basic,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-47,47,Team Aqua's Carvanha,40,Water,,Basic,Common,Yosuke Da Silva,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-48,48,Team Aqua's Carvanha,50,Water,,Basic,Common,Hiromichi Sugiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-49,49,Team Aqua's Chinchou,50,Lightning,,Basic,Common,Kazuo Yazawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-50,50,Team Aqua's Corphish,50,Water,,Basic,Common,Jungo Suzuki,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-51,51,Team Aqua's Corphish,50,Water,,Basic,Common,Jungo Suzuki,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-52,52,Team Aqua's Electrike,50,Lightning,,Basic,Common,M. Akiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-53,53,Team Aqua's Electrike,50,Lightning,,Basic,Common,M. Akiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-54,54,Team Aqua's Poochyena,40,Darkness,,Basic,Common,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-55,55,Team Aqua's Poochyena,50,Darkness,,Basic,Common,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-56,56,Team Aqua's Spheal,40,Water,,Basic,Common,Nakaoka,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-57,57,Team Aqua's Spheal,50,Water,,Basic,Common,Nakaoka,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-58,58,Team Magma's Aron,50,Fighting,,Basic,Common,Katsura Tabata,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-59,59,Team Magma's Aron,50,Fighting,,Basic,Common,Katsura Tabata,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-60,60,Team Magma's Baltoy,50,Fighting,,Basic,Common,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-61,61,Team Magma's Baltoy,50,Fighting,,Basic,Common,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-62,62,Team Magma's Houndour,50,Fire,,Basic,Common,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-63,63,Team Magma's Houndour,50,Fire,,Basic,Common,Atsuko Ujiie,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-64,64,Team Magma's Numel,50,Fire,,Basic,Common,Katsura Tabata,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-65,65,Team Magma's Poochyena,40,Darkness,,Basic,Common,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-66,66,Team Magma's Poochyena,50,Darkness,,Basic,Common,Shin-ichi Yoshikawa,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-67,67,Team Magma's Rhyhorn,50,Fighting,,Basic,Common,Yosuke Da Silva,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-68,68,Team Magma's Rhyhorn,60,Fighting,,Basic,Common,Yosuke Da Silva,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-69,69,Team Aqua Schemer,,,,,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-70,70,Team Magma Schemer,,,,,Common,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-71,71,Archie,,,,,Uncommon,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-72,72,Dual Ball,,,,,Uncommon,"Big Mama"" Tagawa""","normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-73,73,Maxie,,,,,Uncommon,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-74,74,Strength Charm,,,,,Uncommon,Keiji Kinebuchi,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-75,75,Team Aqua Ball,,,,,Uncommon,Ryo Ueda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-76,76,Team Aqua Belt,,,,,Uncommon,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-77,77,Team Aqua Conspirator,,,,,Uncommon,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-78,78,Team Aqua Hideout,,,,,Uncommon,Hiromichi Sugiyama,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-79,79,Team Aqua's Technical Machine 01,,,,,Uncommon,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-80,80,Team Magma Ball,,,,,Uncommon,Ryo Ueda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-81,81,Team Magma Belt,,,,,Uncommon,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-82,82,Team Magma Conspirator,,,,,Uncommon,Ken Sugimori,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-83,83,Team Magma Hideout,,,,,Uncommon,Ken Ikuji,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-84,84,Team Magma's Technical Machine 01,,,,,Uncommon,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-85,85,Warp Point,,,,,Uncommon,Keiji Kinebuchi,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-86,86,Aqua Energy,,,,,Uncommon,Takumi Akabane,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-87,87,Magma Energy,,,,,Uncommon,Takumi Akabane,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-88,88,Double Rainbow Energy,,,,,Rare,Takumi Akabane,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-89,89,Blaziken ex,150,Fire,,,Rare,Hikaru Koike,holo,Team Magma vs Team Aqua,EX,97
ex4-90,90,Cradily ex,150,Grass,,,Rare,Ryo Ueda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-91,91,Entei ex,100,Fire,,,Rare,Ryo Ueda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-92,92,Raikou ex,100,Lightning,,,Rare,Ryo Ueda,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-93,93,Sceptile ex,150,Grass,,,Rare,Hikaru Koike,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-94,94,Suicune ex,100,Water,,,Rare,Ryo Ueda,holo,Team Magma vs Team Aqua,EX,97
ex4-95,95,Swampert ex,150,Fighting,,,Rare,Hikaru Koike,holo,Team Magma vs Team Aqua,EX,97
ex4-96,96,Absol,70,Darkness,,Basic,Rare,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
ex4-97,97,Jirachi,50,Psychic,,Basic,Rare,Mitsuhiro Arita,"normal, reverse",Team Magma vs Team Aqua,EX,97
