id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm9-1,1,Celebi & Bisaflor GX,270,Pflanze,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-2,2,Hornliu,40,Pflanze,,Basis,Häufig,Shibuzoh.,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-3,3,Hornliu,50,Pflanze,,Basis,Häufig,SATOSHI NAKAI,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-4,4,Kokuna,80,Pflanze,,Rang 1,Ungewöhnlich,Yuka Morii,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-5,5,Bibor,130,Pflanze,,Rang 2,Selten,You Iribi,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-6,6,Paras,70,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-7,7,Parasek,100,Pflanze,,Rang 1,Selten,Satoshi Shirai,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-8,8,Owei,50,Pflanze,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-9,9,Pinsir,120,Pflanze,,Basis,Selten,Eri Yamaki,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-10,10,Shaymin ◇,80,Pflanze,,Basis,Selten,kawayoo,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-11,11,Glumanda,50,Feuer,,Basis,Häufig,Naoyo Kimura,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-12,12,Glumanda,70,Feuer,,Basis,Häufig,Atsuko Nishida,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-13,13,Glutexo,90,Feuer,,Rang 1,Ungewöhnlich,Ayaka Yoshida,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-14,14,Glurak,150,Feuer,,Rang 2,Selten,Masakazu Fukuda,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-15,15,Vulpix,60,Feuer,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-16,16,Vulnona,100,Feuer,,Rang 1,Selten,You Iribi,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-17,17,Ponita,70,Feuer,,Basis,Häufig,Saya Tsuruta,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-18,18,Gallopa,100,Feuer,,Rang 1,Ungewöhnlich,Shigenori Negishi,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-19,19,Lavados,120,Feuer,,Basis,Selten,Shin Nagasawa,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-20,20,Flamiau,60,Feuer,,Basis,Häufig,sui,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-21,21,Miezunder,90,Feuer,,Rang 1,Ungewöhnlich,Sanosuke Sakuma,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-22,22,Schiggy,50,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-23,23,Schiggy,70,Wasser,,Basis,Häufig,HYOGONOSUKE,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-24,24,Schillok,90,Wasser,,Rang 1,Ungewöhnlich,Misa Tsutsui,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-25,25,Turtok,160,Wasser,,Rang 2,Selten,Hitoshi Ariga,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-26,26,Enton,60,Wasser,,Basis,Häufig,Kouki Saitou,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-27,27,Entoron,110,Wasser,,Rang 1,Ungewöhnlich,Masakazu Fukuda,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-28,28,Sterndu,50,Wasser,,Basis,Häufig,Ken Sugimori,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-29,29,Karpador,30,Wasser,,Basis,Häufig,sui,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-30,30,Garados,150,Wasser,,Rang 1,Selten,Hasuno,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-31,31,Lapras,130,Wasser,,Basis,Selten,Ken Sugimori,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-32,32,Arktos,110,Wasser,,Basis,Selten,Yusuke Ohmura,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-33,33,Pikachu & Zekrom GX,240,Elektro,,,Ultra Selten,Mitsuhiro Arita,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-34,34,Alola-Kleinstein,60,Elektro,,Basis,Häufig,Yukiko Baba,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
sm9-35,35,Alola-Kleinstein,70,Elektro,,Basis,Häufig,Yuka Morii,"normal, reverse, holo",Teams Sind Trumpf,Sonne & Mond,196
