id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm9-1,1,Celebi & Venusaur GX,270,Grass,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-2,2,Weedle,40,Grass,,Basic,Common,Shibuzoh.,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-3,3,Weedle,50,Grass,,Basic,Common,SATOSHI NAKAI,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-4,4,Kakuna,80,Grass,Weedle,Stage1,Uncommon,Yuka Morii,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-5,5,Beedrill,130,Grass,Kakuna,Stage2,Rare,You Iribi,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-6,6,Paras,70,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-7,7,Parasect,100,Grass,Paras,Stage1,Rare,Satoshi Shirai,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-8,8,Exeggcute,50,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-9,9,Pinsir,120,Grass,,Basic,Rare,Eri Yamaki,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-10,10,Shaymin ◇,80,Grass,,Basic,Rare,kawayoo,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-11,11,Charmander,50,Fire,,Basic,Common,Naoyo Kimura,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-12,12,Charmander,70,Fire,,Basic,Common,Atsuko Nishida,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-13,13,Charmeleon,90,Fire,Charmander,Stage1,Uncommon,Ayaka Yoshida,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-14,14,Charizard,150,Fire,Charmeleon,Stage2,Rare,Masakazu Fukuda,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-15,15,Vulpix,60,Fire,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-16,16,Ninetales,100,Fire,Vulpix,Stage1,Rare,You Iribi,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-17,17,Ponyta,70,Fire,,Basic,Common,Saya Tsuruta,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-18,18,Rapidash,100,Fire,Ponyta,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-19,19,Moltres,120,Fire,,Basic,Rare,Shin Nagasawa,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-20,20,Litten,60,Fire,,Basic,Common,sui,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-21,21,Torracat,90,Fire,Litten,Stage1,Uncommon,Sanosuke Sakuma,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-22,22,Squirtle,50,Water,,Basic,Common,sui,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-23,23,Squirtle,70,Water,,Basic,Common,HYOGONOSUKE,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-24,24,Wartortle,90,Water,Squirtle,Stage1,Uncommon,Misa Tsutsui,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-25,25,Blastoise,160,Water,Wartortle,Stage2,Rare,Hitoshi Ariga,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-26,26,Psyduck,60,Water,,Basic,Common,Kouki Saitou,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-27,27,Golduck,110,Water,Psyduck,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-28,28,Staryu,50,Water,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-29,29,Magikarp,30,Water,,Basic,Common,sui,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-30,30,Gyarados,150,Water,Magikarp,Stage1,Rare,Hasuno,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-31,31,Lapras,130,Water,,Basic,Rare,Ken Sugimori,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-32,32,Articuno,110,Water,,Basic,Rare,Yusuke Ohmura,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-33,33,Pikachu & Zekrom GX,240,Lightning,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-34,34,Alolan Geodude,60,Lightning,,Basic,Common,Yukiko Baba,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-35,35,Alolan Geodude,70,Lightning,,Basic,Common,Yuka Morii,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-36,36,Alolan Graveler,100,Lightning,Alolan Geodude,Stage1,Uncommon,Misa Tsutsui,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-37,37,Alolan Golem,180,Lightning,Alolan Graveler,Stage2,Rare,kawayoo,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-38,38,Voltorb,50,Lightning,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-39,39,Electrode,90,Lightning,Voltorb,Stage1,Rare,Asako Ito,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-40,40,Zapdos,110,Lightning,,Basic,Rare,kawayoo,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-41,41,Mareep,60,Lightning,,Basic,Common,Akira Komayama,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-42,42,Flaaffy,90,Lightning,Mareep,Stage1,Uncommon,Shibuzoh.,"normal, reverse, holo",Team Up,Sun & Moon,196
sm9-43,43,Ampharos GX,240,Lightning,Flaaffy,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Team Up,Sun & Moon,196
