id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm9-1,1,Celebi et Florizarre GX,270,Plante,,,Ultra Rare,Mitsuhiro Arita,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-2,2,Aspicot,40,Plante,,De base,Commune,Shibuzoh.,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-3,3,Aspicot,50,Plante,,De base,Commune,SATOSHI NAKAI,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-4,4,Coconfort,80,Plante,Aspicot,Niveau 1,Peu Commune,Yuka Morii,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-5,5,Dardargnan,130,Plante,Coconfort,Niveau 2,Rare,You Iribi,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-6,6,Paras,70,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-7,7,Parasect,100,Plante,Paras,Niveau 1,Rare,Satoshi Shirai,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-8,8,Noeunoeuf,50,Plante,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-9,9,Scarabrute,120,Plante,,De base,Rare,Eri Yamaki,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-10,10,Shaymin ◇,80,Plante,,De base,Rare,kawayoo,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-11,11,Salamèche,50,Feu,,De base,Commune,Naoyo Kimura,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-12,12,Salamèche,70,Feu,,De base,Commune,Atsuko Nishida,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-13,13,Reptincel,90,Feu,Salamèche,Niveau 1,Peu Commune,Ayaka Yoshida,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-14,14,Dracaufeu,150,Feu,Reptincel,Niveau 2,Rare,Masakazu Fukuda,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-15,15,Goupix,60,Feu,,De base,Commune,Ken Sugimori,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-16,16,Feunard,100,Feu,Goupix,Niveau 1,Rare,You Iribi,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-17,17,Ponyta,70,Feu,,De base,Commune,Saya Tsuruta,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-18,18,Galopa,100,Feu,Ponyta,Niveau 1,Peu Commune,Shigenori Negishi,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-19,19,Sulfura,120,Feu,,De base,Rare,Shin Nagasawa,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-20,20,Flamiaou,60,Feu,,De base,Commune,sui,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-21,21,Matoufeu,90,Feu,Flamiaou,Niveau 1,Peu Commune,Sanosuke Sakuma,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-22,22,Carapuce,50,Eau,,De base,Commune,sui,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-23,23,Carapuce,70,Eau,,De base,Commune,HYOGONOSUKE,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-24,24,Carabaffe,90,Eau,Carapuce,Niveau 1,Peu Commune,Misa Tsutsui,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-25,25,Tortank,160,Eau,Carabaffe,Niveau 2,Rare,Hitoshi Ariga,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-26,26,Psykokwak,60,Eau,,De base,Commune,Kouki Saitou,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
sm9-27,27,Akwakwak,110,Eau,Psykokwak,Niveau 1,Peu Commune,Masakazu Fukuda,"normal, reverse, holo",Duo de Choc,Soleil et Lune,196
