id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv05-001,001,Scyther,90,Grass,,Basic,Common,Dsuke,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-002,002,Pineco,70,Grass,,Basic,Common,Midori Harada,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-003,003,Seedot,60,Grass,,Basic,Common,Asako Ito,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-004,004,Nuzleaf,90,Grass,Seedot,Stage1,Common,Lee HyunJung,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-005,005,Shiftry,150,Grass,Nuzleaf,Stage2,Uncommon,Souichirou Gunjima,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-006,006,Shroomish,60,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-007,007,Breloom,120,Grass,Shroomish,Stage1,Common,Taiga Kasai,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-008,008,Roselia,60,Grass,,Basic,Common,Tomomi Ozaki,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-009,009,Roserade,130,Grass,Roselia,Stage1,Uncommon,Gapao,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-010,010,Turtwig,80,Grass,,Basic,Common,OKACHEKE,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-011,011,Grotle,120,Grass,Turtwig,Stage1,Common,Uninori,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-012,012,Torterra ex,340,Grass,Grotle,Stage2,Double rare,PLANETA Tsuji,holo,Temporal Forces,Scarlet & Violet,218
sv05-013,013,Shaymin,70,Grass,,Basic,Uncommon,Atsushi Furusawa,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-014,014,Cottonee,60,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-015,015,Whimsicott,100,Grass,Cottonee,Stage1,Rare,Mizue,"reverse, holo",Temporal Forces,Scarlet & Violet,218
sv05-016,016,Deerling,70,Grass,,Basic,Common,Rond,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-017,017,Sawsbuck,130,Grass,Deerling,Stage1,Uncommon,Akira Komayama,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-018,018,Grubbin,70,Grass,,Basic,Common,Kagemaru Himeno,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-019,019,Dhelmise,130,Grass,,Basic,Uncommon,Saya Tsuruta,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-020,020,Bramblin,50,Grass,,Basic,Common,Tetsu Kayama,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-021,021,Brambleghast,100,Grass,Bramblin,Stage1,Rare,otumami,"reverse, holo",Temporal Forces,Scarlet & Violet,218
sv05-022,022,Scovillain ex,260,Grass,Capsakid,Stage1,Double rare,PLANETA Mochizuki,holo,Temporal Forces,Scarlet & Violet,218
sv05-023,023,Rellor,50,Grass,,Basic,Common,Saboteri,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-024,024,Rabsca,70,Grass,Rellor,Stage1,Uncommon,mingo,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-025,025,Iron Leaves ex,220,Grass,,Basic,Double rare,5ban Graphics,holo,Temporal Forces,Scarlet & Violet,218
sv05-026,026,Ponyta,70,Fire,,Basic,Common,takashi shiraishi,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-027,027,Rapidash,110,Fire,Ponyta,Stage1,Uncommon,Ryota Murayama,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-028,028,Slugma,80,Fire,,Basic,Common,Haru Akasaka,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-029,029,Magcargo,120,Fire,Slugma,Stage1,Rare,Mitsuhiro Arita,"reverse, holo",Temporal Forces,Scarlet & Violet,218
sv05-030,030,Victini,80,Fire,,Basic,Common,Shibuzoh.,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-031,031,Heatmor,110,Fire,,Basic,Common,Masakazu Fukuda,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-032,032,Litten,70,Fire,,Basic,Common,REND,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-033,033,Torracat,100,Fire,Litten,Stage1,Common,Saya Tsuruta,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-034,034,Incineroar ex,320,Fire,Torracat,Stage2,Double rare,N-DESIGN Inc.,holo,Temporal Forces,Scarlet & Violet,218
sv05-035,035,Turtonator,120,Fire,,Basic,Common,Shigenori Negishi,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-036,036,Sizzlipede,80,Fire,,Basic,Common,Yukiko Baba,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-037,037,Centiskorch,140,Fire,Sizzlipede,Stage1,Uncommon,Krgc,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-038,038,Gouging Fire ex,230,Fire,,Basic,Double rare,5ban Graphics,holo,Temporal Forces,Scarlet & Violet,218
sv05-039,039,Totodile,70,Water,,Basic,Common,MINAMINAMI Take,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-040,040,Croconaw,90,Water,Totodile,Stage1,Common,Jerky,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-041,041,Feraligatr,180,Water,Croconaw,Stage2,Rare,GOSSAN,"reverse, holo",Temporal Forces,Scarlet & Violet,218
sv05-042,042,Carvanha,50,Water,,Basic,Common,Souichirou Gunjima,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-043,043,Sharpedo,120,Water,Carvanha,Stage1,Uncommon,Shinji Kanda,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-044,044,Keldeo,110,Water,,Basic,Uncommon,satoma,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-045,045,Snom,50,Water,,Basic,Common,Orca,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-046,046,Frosmoth,110,Water,Snom,Stage1,Common,rika,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-047,047,Wiglett,60,Water,,Basic,Common,OKUBO,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-048,048,Finizen,80,Water,,Basic,Common,HYOGONOSUKE,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-049,049,Palafin,150,Water,Finizen,Stage1,Uncommon,DOM,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-050,050,Walking Wake ex,220,Water,,Basic,Double rare,takuyoa,holo,Temporal Forces,Scarlet & Violet,218
sv05-051,051,Pikachu,70,Lightning,,Basic,Common,kodama,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-052,052,Raichu,130,Lightning,Pikachu,Stage1,Common,cochi8i,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-053,053,Electabuzz,90,Lightning,,Basic,Common,Uta,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-054,054,Electivire,140,Lightning,Electabuzz,Stage1,Uncommon,Yuya Oka,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-055,055,Charjabug,100,Lightning,Grubbin,Stage1,Common,Misa Tsutsui,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-056,056,Vikavolt,160,Lightning,Charjabug,Stage2,Uncommon,Hitoshi Ariga,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-057,057,Zeraora,120,Lightning,,Basic,Uncommon,kantaro,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-058,058,Yamper,70,Lightning,,Basic,Common,kurumitsu,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-059,059,Boltund,120,Lightning,Yamper,Stage1,Uncommon,Oswaldo KATO,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-060,060,Wugtrio ex,250,Lightning,Wiglett,Stage1,Double rare,5ban Graphics,holo,Temporal Forces,Scarlet & Violet,218
sv05-061,061,Iron Hands,140,Lightning,,Basic,Uncommon,Souichirou Gunjima,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-062,062,Iron Thorns,140,Lightning,,Basic,Rare,Takeshi Nakamura,"reverse, holo",Temporal Forces,Scarlet & Violet,218
sv05-063,063,Mr. Mime,90,Psychic,,Basic,Common,Nelnal,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-064,064,Marill,70,Psychic,,Basic,Common,yuu,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-065,065,Azumarill,130,Psychic,Marill,Stage1,Common,Makura Tami,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-066,066,Girafarig,90,Psychic,,Basic,Common,matazo,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-067,067,Latias,110,Psychic,,Basic,Uncommon,Takumi Wada,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-068,068,Bronzor,80,Psychic,,Basic,Common,Kedamahadaitai Yawarakai,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-069,069,Bronzong,110,Psychic,Bronzor,Stage1,Uncommon,Katsunori Sato,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-070,070,Solosis,40,Psychic,,Basic,Common,Cona Nitanda,"normal, reverse",Temporal Forces,Scarlet & Violet,218
sv05-071,071,Duosion,80,Psychic,Solosis,Stage1,Common,mele,"normal, reverse",Temporal Forces,Scarlet & Violet,218
