id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv05-001,001,Insécateur,90,Plante,,De base,Commune,Dsuke,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-002,002,Pomdepik,70,Plante,,De base,Commune,Midori Harada,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-003,003,Grainipiot,60,Plante,,De base,Commune,Asako Ito,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-004,004,Pifeuil,90,Plante,Grainipiot,Niveau 1,Commune,Lee HyunJung,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-005,005,Tengalice,150,Plante,Pifeuil,Niveau 2,Peu Commune,Souichirou Gunjima,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-006,006,Balignon,60,Plante,,De base,Commune,Yoriyuki Ikegami,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-007,007,Chapignon,120,Plante,Balignon,Niveau 1,Commune,Taiga Kasai,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-008,008,Rosélia,60,Plante,,De base,Commune,Tomomi Ozaki,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-009,009,Roserade,130,Plante,Rosélia,Niveau 1,Peu Commune,Gapao,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-010,010,Tortipouss,80,Plante,,De base,Commune,OKACHEKE,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-011,011,Boskara,120,Plante,Tortipouss,Niveau 1,Commune,Uninori,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-012,012,Torterra-ex,340,Plante,Boskara,Niveau 2,Double rare,PLANETA Tsuji,holo,Forces Temporelles,Écarlate et Violet,218
sv05-013,013,Shaymin,70,Plante,,De base,Peu Commune,Atsushi Furusawa,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-014,014,Doudouvet,60,Plante,,De base,Commune,Kyoko Umemoto,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-015,015,Farfaduvet,100,Plante,Doudouvet,Niveau 1,Rare,Mizue,"reverse, holo",Forces Temporelles,Écarlate et Violet,218
sv05-016,016,Vivaldaim,70,Plante,,De base,Commune,Rond,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-017,017,Haydaim,130,Plante,Vivaldaim,Niveau 1,Peu Commune,Akira Komayama,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-018,018,Larvibule,70,Plante,,De base,Commune,Kagemaru Himeno,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-019,019,Sinistrail,130,Plante,,De base,Peu Commune,Saya Tsuruta,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-020,020,Virovent,50,Plante,,De base,Commune,Tetsu Kayama,"normal, reverse",Forces Temporelles,Écarlate et Violet,218
sv05-021,021,Virevorreur,100,Plante,Virovent,Niveau 1,Rare,otumami,"reverse, holo",Forces Temporelles,Écarlate et Violet,218
