id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
hgss4-1,1,Aggron,140,Metal,Lairon,Stage2,Rare Holo,Kagemaru Himeno,holo,Triumphant,HeartGold & SoulSilver,103
hgss4-2,2,Altaria,90,Colorless,Swablu,Stage1,Rare Holo,Ryo Ueda,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-3,3,Celebi,70,Psychic,,Basic,Rare Holo,Shin Nagasawa,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-4,4,Drapion,100,Darkness,Skorupi,Stage1,Rare Holo,Sumiyoshi Kizuki,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-5,5,Mamoswine,140,Water,Piloswine,Stage2,Rare Holo,Kagemaru Himeno,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-6,6,Nidoking,140,Fighting,Nidorino,Stage2,Rare Holo,match,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-7,7,Porygon-Z,110,Colorless,Porygon2,Stage2,Rare Holo,Kouki Saitou,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-8,8,Rapidash,90,Fire,Ponyta,Stage1,Rare Holo,Kyoko Umemoto,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-9,9,Solrock,70,Fighting,,Basic,Rare Holo,Kouki Saitou,"reverse, holo",Triumphant,HeartGold & SoulSilver,103
hgss4-10,10,Spiritomb,60,Psychic,,Basic,Rare Holo,Shizurow,,Triumphant,HeartGold & SoulSilver,103
hgss4-11,11,Venomoth,80,Grass,Venonat,Stage1,Rare Holo,Hideaki Hakozaki,holo,Triumphant,HeartGold & SoulSilver,103
hgss4-12,12,Victreebel,110,Grass,Weepinbell,Stage2,Rare Holo,Midori Harada,holo,Triumphant,HeartGold & SoulSilver,103
hgss4-13,13,Ambipom,80,Colorless,Aipom,Stage1,Rare,Naoyo Kimura,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-14,14,Banette,80,Psychic,Shuppet,Stage1,Rare,Ryo Ueda,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-15,15,Bronzong,90,Metal,Bronzor,Stage1,Rare,Yuka Morii,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-16,16,Carnivine,80,Grass,,Basic,Rare,Ryo Ueda,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-17,17,Ditto,40,Colorless,,Basic,Rare,match,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-18,18,Dragonite,140,Colorless,Dragonair,Stage2,Rare,Mitsuhiro Arita,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-19,19,Dugtrio,80,Fighting,Diglett,Stage1,Rare,Shizurow,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-20,20,Electivire,100,Lightning,Electabuzz,Stage1,Rare,TOKIYA,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-21,21,Elekid,30,Lightning,,Basic,Rare,TOKIYA,reverse,Triumphant,HeartGold & SoulSilver,103
hgss4-22,22,Golduck,90,Water,Psyduck,Stage1,Rare,Naoki Saito,normal,Triumphant,HeartGold & SoulSilver,103
hgss4-23,23,Grumpig,90,Psychic,Spoink,Stage1,Rare,Yukiko Baba,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-24,24,Kricketune,80,Grass,Kricketot,Stage1,Rare,Tomokazu Komiya,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-25,25,Lunatone,60,Fighting,,Basic,Rare,Kouki Saitou,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-26,26,Machamp,130,Fighting,Machoke,Stage2,Rare,Shin Nagasawa,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-27,27,Magmortar,100,Fire,Magmar,Stage1,Rare,Masakazu Fukuda,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-28,28,Nidoqueen,130,Psychic,Nidorina,Stage2,Rare,sui,normal,Triumphant,HeartGold & SoulSilver,103
hgss4-29,29,Pidgeot,120,Colorless,Pidgeotto,Stage2,Rare,Suwama Chiaki,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-30,30,Sharpedo,90,Darkness,Carvanha,Stage1,Rare,MAHOU,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-31,31,Wailord,180,Water,Wailmer,Stage1,Rare,Hajime Kusajima,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-32,32,Dragonair,80,Colorless,Dratini,Stage1,Uncommon,Mitsuhiro Arita,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-33,33,Electabuzz,70,Lightning,,Basic,Uncommon,TOKIYA,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-34,34,Electrode,80,Lightning,Voltorb,Stage1,Uncommon,Masakazu Fukuda,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-35,35,Haunter,70,Psychic,Gastly,Stage1,Uncommon,Takashi Yamaguchi,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
hgss4-36,36,Kangaskhan,80,Colorless,,Basic,Uncommon,Mitsuhiro Arita,"normal, reverse",Triumphant,HeartGold & SoulSilver,103
