id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv06-001,001,Tangela,80,Pflanze,,Basis,Häufig,Yoriyuki Ikegami,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-002,002,Tangoloss,150,Pflanze,Tangela,Rang 1,Häufig,LINNE,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-003,003,Pinsir,110,Pflanze,,Basis,Häufig,HYOGONOSUKE,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-004,004,Webarak,60,Pflanze,,Basis,Häufig,Saya Tsuruta,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-005,005,Ariados,90,Pflanze,Webarak,Rang 1,Ungewöhnlich,Anesaki Dynamic,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-006,006,Sonnkern,40,Pflanze,,Basis,Häufig,Naoyo Kimura,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-007,007,Sonnflora,100,Pflanze,Sonnkern,Rang 1,Ungewöhnlich,Ounishi,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-008,008,Skaraborn,120,Pflanze,,Basis,Ungewöhnlich,Toshinao Aoki,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-009,009,Volbeat,70,Pflanze,,Basis,Häufig,Orca,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-010,010,Illumise,70,Pflanze,,Basis,Häufig,Orca,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-011,011,Folipurba,120,Pflanze,Evoli,Rang 1,Ungewöhnlich,Kuroimori,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-012,012,Paragoni,70,Pflanze,,Basis,Häufig,Katsunori Sato,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-013,013,Trombork,120,Pflanze,Paragoni,Rang 1,Häufig,Oswaldo KATO,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-014,014,Chimpep,70,Pflanze,,Basis,Häufig,Tomomi Ozaki,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-015,015,Chimstix,100,Pflanze,Chimpep,Rang 1,Häufig,GOSSAN,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-016,016,Gortrom,180,Pflanze,Chimstix,Rang 2,Ungewöhnlich,toriyufu,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-017,017,Knapfel,40,Pflanze,,Basis,Häufig,OKUBO,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-018,018,Sirapfel,80,Pflanze,Knapfel,Rang 1,Ungewöhnlich,Saboteri,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-019,019,Eisenblatt,120,Pflanze,,Basis,Selten,Mitsuhiro Arita,"reverse, holo",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-020,020,Mortcha,30,Pflanze,,Basis,Häufig,MINAMINAMI Take,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
sv06-021,021,Mortcha,40,Pflanze,,Basis,Häufig,Souichirou Gunjima,"normal, reverse",Maskerade im Zwielicht,Karmesin & Purpur,226
