id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv06-001,001,Tangela,80,Grass,,Basic,Common,Yoriyuki Ikegami,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-002,002,Tangrowth,150,Grass,Tangela,Stage1,Common,LINNE,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-003,003,Pinsir,110,Grass,,Basic,Common,HYOGONOSUKE,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-004,004,Spinarak,60,Grass,,Basic,Common,Saya Tsuruta,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-005,005,Ariados,90,Grass,Spinarak,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-006,006,Sunkern,40,Grass,,Basic,Common,Naoyo Kimura,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-007,007,Sunflora,100,Grass,Sunkern,Stage1,Uncommon,Ounishi,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-008,008,Heracross,120,Grass,,Basic,Uncommon,Toshinao Aoki,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-009,009,Volbeat,70,Grass,,Basic,Common,Orca,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-010,010,Illumise,70,Grass,,Basic,Common,Orca,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-011,011,Leafeon,120,Grass,Eevee,Stage1,Uncommon,Kuroimori,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-012,012,Phantump,70,Grass,,Basic,Common,Katsunori Sato,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-013,013,Trevenant,120,Grass,Phantump,Stage1,Common,Oswaldo KATO,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-014,014,Grookey,70,Grass,,Basic,Common,Tomomi Ozaki,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-015,015,Thwackey,100,Grass,Grookey,Stage1,Common,GOSSAN,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-016,016,Rillaboom,180,Grass,Thwackey,Stage2,Uncommon,toriyufu,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-017,017,Applin,40,Grass,,Basic,Common,OKUBO,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-018,018,Dipplin,80,Grass,Applin,Stage1,Uncommon,Saboteri,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-019,019,Iron Leaves,120,Grass,,Basic,Rare,Mitsuhiro Arita,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-020,020,Poltchageist,30,Grass,,Basic,Common,MINAMINAMI Take,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-021,021,Poltchageist,40,Grass,,Basic,Common,Souichirou Gunjima,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-022,022,Sinistcha,70,Grass,Poltchageist,Stage1,Rare,Kouki Saitou,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-023,023,Sinistcha ex,240,Grass,Poltchageist,Stage1,Double rare,aky CG Works,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-024,024,Teal Mask Ogerpon,110,Grass,,Basic,Rare,Sanosuke Sakuma,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-025,025,Teal Mask Ogerpon ex,210,Grass,,Basic,Double rare,5ban Graphics,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-026,026,Vulpix,70,Fire,,Basic,Common,sowsow,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-027,027,Ninetales,120,Fire,Vulpix,Stage1,Common,KEIICHIRO ITO,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-028,028,Slugma,80,Fire,,Basic,Common,Gapao,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-029,029,Magcargo ex,270,Fire,Slugma,Stage1,Double rare,PLANETA Mochizuki,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-030,030,Torkoal,130,Fire,,Basic,Common,Teeziro,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-031,031,Chimchar,60,Fire,,Basic,Common,Jerky,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-032,032,Monferno,90,Fire,Chimchar,Stage1,Common,Scav,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-033,033,Infernape,140,Fire,Monferno,Stage2,Rare,Takumi Wada,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-034,034,Darumaka,80,Fire,,Basic,Common,osare,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-035,035,Darmanitan,140,Fire,Darumaka,Stage1,Uncommon,OKUBO,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-036,036,Litwick,60,Fire,,Basic,Common,Saya Tsuruta,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-037,037,Lampent,80,Fire,Litwick,Stage1,Common,Rond,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-038,038,Chandelure,130,Fire,Lampent,Stage2,Rare,saino misaki,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-039,039,Chi-Yu,110,Fire,,Basic,Uncommon,Oku,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-040,040,Hearthflame Mask Ogerpon ex,210,Fire,,Basic,Double rare,5ban Graphics,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-041,041,Poliwag,60,Water,,Basic,Common,Kedamahadaitai Yawarakai,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-042,042,Poliwhirl,100,Water,Poliwag,Stage1,Common,OKACHEKE,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-043,043,Poliwrath,170,Water,Poliwhirl,Stage2,Uncommon,Nisota Niso,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-044,044,Goldeen,50,Water,,Basic,Common,saino misaki,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-045,045,Seaking,90,Water,Goldeen,Stage1,Common,Gemi,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-046,046,Jynx,90,Water,,Basic,Common,Gapao,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-047,047,Corphish,80,Water,,Basic,Common,Kouki Saitou,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-048,048,Crawdaunt,130,Water,Corphish,Stage1,Common,Kurata So,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-049,049,Feebas,30,Water,,Basic,Common,Scav,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-050,050,Milotic,120,Water,Feebas,Stage1,Uncommon,Taira Akitsu,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-051,051,Snorunt,60,Water,,Basic,Common,Mékayu,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-052,052,Glalie,120,Water,Snorunt,Stage1,Uncommon,Oku,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-053,053,Froslass,90,Water,Snorunt,Stage1,Rare,Makura Tami,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-054,054,Glaceon,120,Water,Eevee,Stage1,Uncommon,rika,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-055,055,Phione,70,Water,,Basic,Common,aspara,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-056,056,Froakie,60,Water,,Basic,Common,Yuka Morii,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-057,057,Frogadier,90,Water,Froakie,Stage1,Common,Hitoshi Ariga,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-058,058,Cramorant,110,Water,,Basic,Uncommon,OKACHEKE,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-059,059,Finizen,70,Water,,Basic,Common,Narumi Sato,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-060,060,Palafin,100,Water,Finizen,Stage1,Uncommon,Ligton,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-061,061,Palafin ex,340,Water,Finizen,Stage1,Double rare,PLANETA Mochizuki,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-062,062,Iron Bundle,90,Water,,Basic,Uncommon,nagimiso,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-063,063,Walking Wake,130,Water,,Basic,Rare,kawayoo,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-064,064,Wellspring Mask Ogerpon ex,210,Water,,Basic,Double rare,5ban Graphics,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-065,065,Zapdos,120,Lightning,,Basic,Rare,GOSSAN,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-066,066,Shinx,60,Lightning,,Basic,Common,Yuu Nishida,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-067,067,Luxio,90,Lightning,Shinx,Stage1,Common,Takumi Wada,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-068,068,Luxray ex,310,Lightning,Luxio,Stage2,Double rare,PLANETA Yamashita,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-069,069,Emolga,60,Lightning,,Basic,Common,Shimaris Yukichi,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-070,070,Helioptile,60,Lightning,,Basic,Common,Taiga Kayama,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-071,071,Heliolisk,100,Lightning,Helioptile,Stage1,Common,Atsuya Uki,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-072,072,Morpeko,70,Lightning,,Basic,Uncommon,kodama,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-073,073,Tadbulb,50,Lightning,,Basic,Common,nisimono,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-074,074,Bellibolt,140,Lightning,Tadbulb,Stage1,Uncommon,Mina Nakai,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-075,075,Wattrel,60,Lightning,,Basic,Common,Teeziro,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-076,076,Kilowattrel,120,Lightning,Wattrel,Stage1,Uncommon,Anesaki Dynamic,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-077,077,Iron Thorns ex,230,Lightning,,Basic,Double rare,PLANETA Mochizuki,holo,Twilight Masquerade,Scarlet & Violet,226
sv06-078,078,Clefairy,60,Psychic,,Basic,Common,Sanosuke Sakuma,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-079,079,Clefable,120,Psychic,Clefairy,Stage1,Uncommon,satoma,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-080,080,Abra,40,Psychic,,Basic,Common,Kariya,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-081,081,Kadabra,80,Psychic,Abra,Stage1,Common,Uninori,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-082,082,Alakazam,140,Psychic,Kadabra,Stage2,Rare,Masako Tomii,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-083,083,Girafarig,100,Psychic,,Basic,Common,Shinji Kanda,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-084,084,Farigiraf,140,Psychic,Girafarig,Stage1,Uncommon,Dsuke,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-085,085,Chimecho,70,Psychic,,Basic,Common,Mousho,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-086,086,Flabébé,40,Psychic,,Basic,Common,Yukiko Baba,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-087,087,Floette,70,Psychic,Flabébé,Stage1,Common,mingo,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-088,088,Florges,140,Psychic,Floette,Stage2,Uncommon,Ligton,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-089,089,Swirlix,50,Psychic,,Basic,Common,Akira Komayama,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-090,090,Slurpuff,120,Psychic,Swirlix,Stage1,Uncommon,mingo,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-091,091,Sandygast,90,Psychic,,Basic,Common,Asako Ito,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-092,092,Palossand,150,Psychic,Sandygast,Stage1,Common,Uta,"normal, reverse",Twilight Masquerade,Scarlet & Violet,226
sv06-093,093,Enamorus,120,Psychic,,Basic,Rare,DOM,"reverse, holo",Twilight Masquerade,Scarlet & Violet,226
sv06-094,094,Scream Tail ex,190,Psychic,,Basic,Double rare,akagi,holo,Twilight Masquerade,Scarlet & Violet,226
