id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sv06-001,001,Saquedeneu,80,Plante,,De base,Commune,Yoriyuki Ikegami,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-002,002,Bouldeneu,150,Plante,Saquedeneu,Niveau 1,Commune,LINNE,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-003,003,Scarabrute,110,Plante,,De base,Commune,HYOGONOSUKE,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-004,004,Mimigal,60,Plante,,De base,Commune,Saya Tsuruta,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-005,005,Migalos,90,Plante,Mimigal,Niveau 1,Peu Commune,Anesaki Dynamic,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-006,006,Tournegrin,40,Plante,,De base,Commune,Naoyo Kimura,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-007,007,Héliatronc,100,Plante,Tournegrin,Niveau 1,Peu Commune,Ounishi,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-008,008,Scarhino,120,Plante,,De base,Peu Commune,Toshinao Aoki,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-009,009,Muciole,70,Plante,,De base,Commune,Orca,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-010,010,Lumivole,70,Plante,,De base,Commune,Orca,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-011,011,Phyllali,120,Plante,Évoli,Niveau 1,Peu Commune,Kuroimori,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-012,012,Brocélôme,70,Plante,,De base,Commune,Katsunori Sato,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-013,013,Desséliande,120,Plante,Brocélôme,Niveau 1,Commune,Oswaldo KATO,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-014,014,Ouistempo,70,Plante,,De base,Commune,Tomomi Ozaki,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-015,015,Badabouin,100,Plante,Ouistempo,Niveau 1,Commune,GOSSAN,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-016,016,Gorythmic,180,Plante,Badabouin,Niveau 2,Peu Commune,toriyufu,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-017,017,Verpom,40,Plante,,De base,Commune,OKUBO,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-018,018,Pomdramour,80,Plante,Verpom,Niveau 1,Peu Commune,Saboteri,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-019,019,Vert-de-Fer,120,Plante,,De base,Rare,Mitsuhiro Arita,"reverse, holo",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-020,020,Poltchageist,30,Plante,,De base,Commune,MINAMINAMI Take,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-021,021,Poltchageist,40,Plante,,De base,Commune,Souichirou Gunjima,"normal, reverse",Mascarade Crépusculaire,Écarlate et Violet,226
sv06-022,022,Théffroyable,70,Plante,Poltchageist,Niveau 1,Rare,Kouki Saitou,"reverse, holo",Mascarade Crépusculaire,Écarlate et Violet,226
