id,localId,name,hp,types,evolveFrom,stage,rarity,illustrator,variants,set_name,set_series,set_cardCount
sm5-1,1,Exeggcute,50,Grass,,Basic,Common,kawayoo,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-2,2,Yanma,70,Grass,,Basic,Common,Akira Komayama,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-3,3,Yanmega,120,Grass,Yanma,Stage1,Uncommon,SATOSHI NAKAI,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-4,4,Roselia,70,Grass,,Basic,Common,Kyoko Umemoto,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-5,5,Roserade,100,Grass,Roselia,Stage1,Rare,Mitsuhiro Arita,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-6,6,Turtwig,70,Grass,,Basic,Common,Ken Sugimori,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-7,7,Turtwig,80,Grass,,Basic,Common,OOYAMA,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-8,8,Grotle,110,Grass,Turtwig,Stage1,Uncommon,Shigenori Negishi,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-9,9,Torterra,180,Grass,Grotle,Stage2,Rare,kawayoo,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-10,10,Cherubi,50,Grass,,Basic,Common,Asako Ito,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-11,11,Cherrim,80,Grass,Cherubi,Stage1,Uncommon,MAHOU,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-12,12,Carnivine,90,Grass,,Basic,Common,Anesaki Dynamic,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-13,13,Leafeon GX,200,Grass,Eevee,,Ultra Rare,5ban Graphics,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-14,14,Mow Rotom,90,Grass,,Basic,Rare,kawayoo,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-15,15,Shaymin,80,Grass,,Basic,Rare,Mizue,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-16,16,Dewpider,60,Grass,,Basic,Common,Midori Harada,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
sm5-17,17,Araquanid,100,Grass,Dewpider,Stage1,Rare,Shin Nagasawa,"normal, reverse, holo",Ultra Prism,Sun & Moon,173
